"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20200930-175427-workloada-256-client.csv 1 400",,,,"Date:","30 Sep 2020 16:54:33 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 16:54:33,1.337,1.055,96.024,0.002,0.0,1.582,344879104.0,43139072.0,644653056.0,35874549760.0,21950.455,9433.853,0.0,0.0
30-09 16:54:34,0.062,0.0,99.938,0.0,0.0,0.0,344879104.0,43139072.0,644653056.0,35874549760.0,0.0,0.0,514.0,542.0
30-09 16:54:35,0.0,0.062,99.938,0.0,0.0,0.0,344449024.0,43139072.0,644653056.0,35874979840.0,0.0,0.0,191.0,257.0
30-09 16:54:36,0.063,0.0,99.937,0.0,0.0,0.0,344449024.0,43139072.0,644653056.0,35874979840.0,0.0,0.0,191.0,191.0
30-09 16:54:37,0.125,0.0,99.875,0.0,0.0,0.0,344068096.0,43139072.0,644653056.0,35875360768.0,0.0,0.0,191.0,191.0
30-09 16:54:38,0.0,0.0,100.0,0.0,0.0,0.0,343805952.0,43139072.0,644653056.0,35875622912.0,0.0,0.0,191.0,191.0
30-09 16:54:39,0.063,0.0,99.937,0.0,0.0,0.0,343805952.0,43151360.0,644640768.0,35875622912.0,0.0,49152.0,9500.0,5354.0
30-09 16:54:40,0.0,0.0,100.0,0.0,0.0,0.0,343793664.0,43151360.0,644653056.0,35875622912.0,0.0,4096.0,151.0,160.0
30-09 16:54:41,0.0,0.0,100.0,0.0,0.0,0.0,343793664.0,43151360.0,644653056.0,35875622912.0,0.0,0.0,91.0,100.0
30-09 16:54:42,0.0,0.0,100.0,0.0,0.0,0.0,343793664.0,43151360.0,644653056.0,35875622912.0,0.0,0.0,251.0,251.0
