"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20200930-173311-workloada-32-node20.csv 1 400",,,,"Date:","30 Sep 2020 16:33:18 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 16:33:18,3.621,1.827,92.963,0.025,0.0,1.565,36348411904.0,17989632.0,290340864.0,250478592.0,22277.845,442545.702,0.0,0.0
30-09 16:33:19,0.188,0.0,99.812,0.0,0.0,0.0,36348108800.0,17989632.0,290385920.0,250736640.0,0.0,0.0,7344.0,6692.0
30-09 16:33:20,0.063,0.063,99.874,0.0,0.0,0.0,36348108800.0,18001920.0,290373632.0,250736640.0,0.0,49152.0,4837.0,5138.0
30-09 16:33:21,0.063,0.063,99.874,0.0,0.0,0.0,36348096512.0,18001920.0,290385920.0,250736640.0,0.0,0.0,5690.0,5979.0
30-09 16:33:22,0.063,0.125,99.812,0.0,0.0,0.0,36348096512.0,18001920.0,290385920.0,250736640.0,0.0,0.0,6654.0,7074.0
30-09 16:33:23,0.126,0.0,99.811,0.0,0.0,0.063,36348063744.0,18001920.0,290385920.0,250769408.0,0.0,40960.0,15173.0,20527.0
30-09 16:33:24,0.063,0.063,99.875,0.0,0.0,0.0,36348063744.0,18001920.0,290385920.0,250769408.0,0.0,0.0,4872.0,5041.0
30-09 16:33:25,2.572,0.314,96.989,0.0,0.0,0.125,36363788288.0,17674240.0,265809920.0,259948544.0,0.0,401408.0,5040.0,5131.0
30-09 16:33:26,2.327,0.126,97.547,0.0,0.0,0.0,36362969088.0,17674240.0,265449472.0,261128192.0,0.0,0.0,5289.0,5868.0
30-09 16:33:27,0.063,0.0,99.937,0.0,0.0,0.0,36356128768.0,17682432.0,265441280.0,267968512.0,0.0,221184.0,9695.0,9047.0
30-09 16:33:28,0.063,0.125,99.812,0.0,0.0,0.0,36347412480.0,17682432.0,265318400.0,276807680.0,0.0,0.0,5122.0,5486.0
30-09 16:33:29,0.126,0.0,99.874,0.0,0.0,0.0,36347158528.0,17682432.0,265318400.0,277061632.0,0.0,0.0,7292.0,7571.0
30-09 16:33:30,0.627,0.063,99.248,0.0,0.0,0.063,36350603264.0,17682432.0,265318400.0,273616896.0,0.0,0.0,4839.0,5279.0
30-09 16:33:31,0.126,0.189,99.623,0.0,0.0,0.063,36351275008.0,17682432.0,265318400.0,272945152.0,0.0,0.0,13908.0,19780.0
30-09 16:33:32,0.125,0.0,99.875,0.0,0.0,0.0,36347740160.0,17682432.0,265318400.0,276480000.0,0.0,0.0,3106.0,3781.0
30-09 16:33:33,0.251,0.0,99.749,0.0,0.0,0.0,36347445248.0,17682432.0,265318400.0,276774912.0,0.0,0.0,7964.0,8304.0
30-09 16:33:34,0.063,0.063,99.875,0.0,0.0,0.0,36347445248.0,17682432.0,265318400.0,276774912.0,0.0,0.0,4452.0,4219.0
30-09 16:33:35,0.063,0.0,99.937,0.0,0.0,0.0,36347478016.0,17682432.0,265318400.0,276742144.0,0.0,0.0,6590.0,6665.0
30-09 16:33:36,0.063,0.0,99.812,0.0,0.0,0.126,36347412480.0,17682432.0,265318400.0,276807680.0,0.0,0.0,14214.0,19485.0
30-09 16:33:37,0.314,0.063,99.623,0.0,0.0,0.0,36347445248.0,17682432.0,265318400.0,276774912.0,4096.0,0.0,10837.0,12013.0
30-09 16:33:38,0.125,0.0,99.875,0.0,0.0,0.0,36347375616.0,17682432.0,265322496.0,276840448.0,0.0,0.0,7754.0,6672.0
30-09 16:33:39,0.188,0.063,99.749,0.0,0.0,0.0,36347375616.0,17682432.0,265322496.0,276840448.0,16384.0,0.0,5527.0,5194.0
30-09 16:33:40,0.562,0.125,99.188,0.0,0.0,0.125,36347359232.0,17682432.0,265338880.0,276840448.0,0.0,0.0,9164.0,8446.0
30-09 16:33:41,5.184,10.218,80.541,0.0,0.0,4.057,36353474560.0,17682432.0,265469952.0,270594048.0,0.0,0.0,461827.0,589391.0
30-09 16:33:42,6.841,16.723,69.932,0.0,0.0,6.503,36354105344.0,17682432.0,266125312.0,269307904.0,0.0,0.0,767049.0,930300.0
30-09 16:33:43,7.572,20.412,63.704,0.082,0.0,8.230,36350500864.0,17690624.0,266067968.0,272961536.0,0.0,102400.0,930409.0,1147735.0
30-09 16:33:44,8.731,19.852,63.427,0.0,0.0,7.990,36350001152.0,17698816.0,266584064.0,272936960.0,0.0,188416.0,963317.0,1183224.0
30-09 16:33:45,5.016,12.226,76.176,0.078,0.0,6.505,36349927424.0,17715200.0,266690560.0,272887808.0,0.0,32768.0,693015.0,860932.0
30-09 16:33:46,8.050,19.917,62.573,0.0,0.0,9.461,36350676992.0,17715200.0,267149312.0,271679488.0,0.0,0.0,1018551.0,1253482.0
30-09 16:33:47,5.538,12.769,76.077,0.0,0.0,5.615,36350738432.0,17715200.0,267153408.0,271613952.0,0.0,0.0,755460.0,963759.0
30-09 16:33:48,8.505,20.974,60.776,0.0,0.0,9.744,36349788160.0,17731584.0,267083776.0,272617472.0,0.0,679936.0,1053305.0,1303605.0
30-09 16:33:49,7.897,22.028,59.933,0.0,0.0,10.141,36349808640.0,17731584.0,267481088.0,272199680.0,0.0,0.0,1090966.0,1338265.0
30-09 16:33:50,8.778,21.903,59.065,0.0,0.0,10.254,36349468672.0,17739776.0,267874304.0,272138240.0,0.0,860160.0,1080238.0,1363053.0
30-09 16:33:51,8.850,23.656,57.486,0.0,0.0,10.008,36349734912.0,17739776.0,268136448.0,271609856.0,0.0,0.0,1105384.0,1404575.0
30-09 16:33:52,8.696,21.165,59.311,0.0,0.0,10.829,36350230528.0,17739776.0,268267520.0,270983168.0,0.0,0.0,1090511.0,1356195.0
30-09 16:33:53,8.131,20.704,61.023,0.084,0.0,10.059,36349517824.0,17747968.0,268206080.0,271749120.0,0.0,200704.0,1072828.0,1365048.0
30-09 16:33:54,9.331,19.323,61.354,0.0,0.0,9.992,36349177856.0,17747968.0,268599296.0,271695872.0,0.0,0.0,1099198.0,1367494.0
30-09 16:33:55,8.278,19.205,62.334,0.0,0.0,10.182,36349120512.0,17772544.0,268992512.0,271335424.0,0.0,348160.0,1088464.0,1298976.0
30-09 16:33:56,9.188,20.180,59.639,0.0,0.0,10.993,36352262144.0,17772544.0,269123584.0,268062720.0,0.0,0.0,1128979.0,1416304.0
30-09 16:33:57,8.964,21.793,57.812,0.0,0.0,11.431,36350959616.0,17772544.0,269516800.0,268972032.0,0.0,0.0,1126473.0,1402460.0
30-09 16:33:58,9.388,23.265,56.816,0.082,0.0,10.449,36351016960.0,17788928.0,269688832.0,268726272.0,0.0,970752.0,1135162.0,1406246.0
30-09 16:33:59,8.079,21.929,59.852,0.0,0.0,10.140,36351217664.0,17788928.0,269975552.0,268238848.0,0.0,0.0,1096955.0,1354326.0
30-09 16:34:00,5.391,14.297,74.375,0.0,0.0,5.938,36351160320.0,17797120.0,269975552.0,268288000.0,0.0,954368.0,727675.0,866963.0
30-09 16:34:01,8.663,21.287,59.736,0.0,0.0,10.314,36352372736.0,17797120.0,270106624.0,266944512.0,0.0,0.0,1112011.0,1385407.0
30-09 16:34:02,8.124,21.441,60.050,0.0,0.0,10.385,36350668800.0,17797120.0,270368768.0,268386304.0,0.0,0.0,1075967.0,1348820.0
30-09 16:34:03,8.138,21.141,60.906,0.0,0.0,9.815,36349194240.0,17805312.0,270598144.0,269623296.0,0.0,180224.0,1057608.0,1325781.0
30-09 16:34:04,8.168,21.370,59.488,0.0,0.0,10.974,36349784064.0,17805312.0,270729216.0,268902400.0,0.0,0.0,1134774.0,1436131.0
30-09 16:34:05,8.872,23.217,56.882,0.166,0.0,10.862,36350824448.0,17829888.0,271024128.0,267542528.0,0.0,319488.0,1044544.0,1340723.0
30-09 16:34:06,8.550,22.464,58.424,0.0,0.0,10.562,36350951424.0,17829888.0,271155200.0,267284480.0,0.0,0.0,1115018.0,1361850.0
