"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-100224-workloadb-128-client.csv 1 400",,,,"Date:","01 Oct 2020 09:02:30 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 09:02:30,0.865,0.748,97.850,0.008,0.0,0.529,314171392.0,23494656.0,382242816.0,36187312128.0,94572.386,7208.787,0.0,0.0
01-10 09:02:31,0.0,0.0,100.0,0.0,0.0,0.0,314167296.0,23494656.0,382271488.0,36187287552.0,0.0,0.0,151.0,160.0
01-10 09:02:32,0.0,0.063,99.937,0.0,0.0,0.0,314011648.0,23494656.0,382271488.0,36187443200.0,0.0,0.0,448.0,583.0
01-10 09:02:33,0.0,0.0,100.0,0.0,0.0,0.0,314011648.0,23494656.0,382271488.0,36187443200.0,0.0,0.0,191.0,191.0
01-10 09:02:34,0.187,0.0,99.751,0.062,0.0,0.0,314011648.0,23506944.0,382259200.0,36187443200.0,0.0,53248.0,291.0,282.0
01-10 09:02:35,0.063,0.0,99.937,0.0,0.0,0.0,314011648.0,23506944.0,382259200.0,36187443200.0,0.0,0.0,91.0,100.0
01-10 09:02:36,0.0,0.0,99.939,0.0,0.0,0.061,313991168.0,23506944.0,382271488.0,36187451392.0,0.0,0.0,391.0,373.0
01-10 09:02:37,0.389,0.195,99.416,0.0,0.0,0.0,319959040.0,23506944.0,382271488.0,36181483520.0,0.0,0.0,3733.0,2720.0
01-10 09:02:38,1.967,1.904,95.876,0.063,0.0,0.190,368533504.0,23621632.0,382156800.0,36132909056.0,0.0,458752.0,52369.0,66794.0
01-10 09:02:39,1.405,2.810,95.594,0.064,0.0,0.128,376782848.0,23621632.0,382357504.0,36124459008.0,0.0,274432.0,1249.0,1501.0
01-10 09:02:40,2.299,3.831,93.550,0.128,0.0,0.192,359927808.0,23687168.0,382402560.0,36141203456.0,0.0,675840.0,7526.0,7936.0
01-10 09:02:41,10.096,1.981,87.923,0.0,0.0,0.0,412188672.0,23687168.0,382500864.0,36088844288.0,0.0,0.0,2950.0,1939.0
01-10 09:02:42,12.492,2.370,85.138,0.0,0.0,0.0,709267456.0,23687168.0,382504960.0,35791761408.0,0.0,0.0,317608.0,8386.0
01-10 09:02:43,18.799,8.179,71.306,0.0,0.0,1.715,1256308736.0,23687168.0,382504960.0,35244720128.0,0.0,0.0,550736.0,205259.0
01-10 09:02:44,36.759,12.348,45.682,0.0,0.0,5.211,1309544448.0,23687168.0,382537728.0,35191451648.0,0.0,0.0,3577778.0,577206.0
01-10 09:02:45,43.647,14.070,34.458,0.0,0.0,7.825,1378377728.0,23687168.0,382537728.0,35122618368.0,0.0,0.0,5596496.0,861068.0
01-10 09:02:46,36.236,12.500,44.101,0.0,0.0,7.163,1411600384.0,23695360.0,382537728.0,35089387520.0,0.0,81920.0,6330326.0,1038048.0
01-10 09:02:47,36.005,11.005,45.109,0.0,0.0,7.880,1464614912.0,23695360.0,382537728.0,35036372992.0,0.0,0.0,6838764.0,1129131.0
01-10 09:02:48,12.068,6.305,76.746,0.0,0.0,4.881,1503744000.0,23695360.0,382537728.0,34997243904.0,0.0,0.0,7516913.0,1354211.0
01-10 09:02:49,7.056,5.511,83.199,0.0,0.0,4.234,1551060992.0,23695360.0,382537728.0,34949926912.0,0.0,0.0,7545348.0,1370016.0
01-10 09:02:50,8.802,5.493,81.072,0.0,0.0,4.633,1585307648.0,23695360.0,382537728.0,34915680256.0,0.0,0.0,7771348.0,1390807.0
