"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-095515-workloadb-64-node20.csv 1 400",,,,"Date:","01 Oct 2020 08:55:21 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 08:55:21,2.586,3.771,91.542,0.100,0.0,2.000,36356919296.0,14176256.0,227241984.0,308883456.0,140026.441,389943.881,0.0,0.0
01-10 08:55:22,0.188,0.0,99.687,0.0,0.0,0.125,36356530176.0,14176256.0,227237888.0,309276672.0,0.0,0.0,23521.0,35165.0
01-10 08:55:23,0.439,0.063,99.498,0.0,0.0,0.0,36356530176.0,14176256.0,227237888.0,309276672.0,0.0,0.0,4605.0,4603.0
01-10 08:55:24,0.188,0.0,99.812,0.0,0.0,0.0,36356562944.0,14188544.0,227225600.0,309243904.0,0.0,49152.0,4014.0,3675.0
01-10 08:55:25,0.126,0.063,99.812,0.0,0.0,0.0,36356558848.0,14188544.0,227237888.0,309235712.0,0.0,0.0,4510.0,4215.0
01-10 08:55:26,0.126,0.063,99.811,0.0,0.0,0.0,36356591616.0,14188544.0,227237888.0,309202944.0,0.0,0.0,11007.0,21971.0
01-10 08:55:27,0.125,0.125,99.749,0.0,0.0,0.0,36356591616.0,14188544.0,227237888.0,309202944.0,0.0,0.0,6138.0,6419.0
01-10 08:55:28,0.0,0.0,99.937,0.0,0.0,0.063,36356591616.0,14188544.0,227237888.0,309202944.0,0.0,0.0,6874.0,7085.0
01-10 08:55:29,0.126,0.063,99.812,0.0,0.0,0.0,36356624384.0,14188544.0,227237888.0,309170176.0,0.0,0.0,7713.0,7139.0
01-10 08:55:30,0.063,0.0,99.937,0.0,0.0,0.0,36356624384.0,14188544.0,227237888.0,309170176.0,0.0,0.0,5063.0,5331.0
01-10 08:55:31,0.063,0.063,99.812,0.0,0.0,0.063,36356657152.0,14188544.0,227237888.0,309137408.0,0.0,0.0,7408.0,7251.0
01-10 08:55:32,0.188,0.0,99.812,0.0,0.0,0.0,36356689920.0,14188544.0,227237888.0,309104640.0,0.0,0.0,8439.0,8336.0
01-10 08:55:33,0.125,0.063,99.812,0.0,0.0,0.0,36356689920.0,14188544.0,227237888.0,309104640.0,0.0,0.0,5752.0,5610.0
01-10 08:55:34,0.063,0.0,99.937,0.0,0.0,0.0,36356722688.0,14188544.0,227237888.0,309071872.0,0.0,0.0,6928.0,6648.0
01-10 08:55:35,0.0,0.0,100.0,0.0,0.0,0.0,36356722688.0,14188544.0,227237888.0,309071872.0,0.0,0.0,3533.0,3480.0
01-10 08:55:36,0.125,0.125,99.687,0.0,0.0,0.063,36356513792.0,14188544.0,227237888.0,309280768.0,0.0,40960.0,5127.0,4601.0
01-10 08:55:37,0.126,0.0,99.874,0.0,0.0,0.0,36356374528.0,14188544.0,227237888.0,309420032.0,0.0,0.0,6912.0,6587.0
01-10 08:55:38,0.251,0.063,99.686,0.0,0.0,0.0,36356337664.0,14192640.0,227237888.0,309452800.0,0.0,4096.0,15768.0,21911.0
01-10 08:55:39,0.377,0.063,99.560,0.0,0.0,0.0,36356370432.0,14192640.0,227237888.0,309420032.0,0.0,0.0,10393.0,11095.0
01-10 08:55:40,0.313,0.063,99.624,0.0,0.0,0.0,36356337664.0,14192640.0,227237888.0,309452800.0,0.0,0.0,5939.0,5562.0
01-10 08:55:41,0.063,0.0,99.937,0.0,0.0,0.0,36356337664.0,14192640.0,227237888.0,309452800.0,0.0,0.0,4145.0,4578.0
01-10 08:55:42,0.376,0.125,99.498,0.0,0.0,0.0,36356472832.0,14192640.0,227237888.0,309317632.0,0.0,0.0,9864.0,8935.0
01-10 08:55:43,2.201,2.201,95.016,0.0,0.0,0.583,36357554176.0,14192640.0,227237888.0,308236288.0,0.0,0.0,59216.0,112091.0
01-10 08:55:44,7.166,15.459,71.337,0.0,0.0,6.039,36361715712.0,14200832.0,227360768.0,303943680.0,0.0,28672.0,640363.0,1038364.0
01-10 08:55:45,8.775,19.868,63.990,0.0,0.0,7.368,36363386880.0,14200832.0,227500032.0,302133248.0,0.0,0.0,875025.0,1418576.0
01-10 08:55:46,10.465,21.013,58.389,0.0,0.0,10.133,36364574720.0,14209024.0,227508224.0,300929024.0,0.0,40960.0,995824.0,1654607.0
01-10 08:55:47,9.806,21.799,58.833,0.0,0.0,9.562,36363177984.0,14209024.0,227508224.0,302325760.0,0.0,0.0,1009303.0,1642392.0
01-10 08:55:48,10.800,24.160,51.760,0.0,0.0,13.280,36362862592.0,14217216.0,227508224.0,302632960.0,0.0,20480.0,1313127.0,2211492.0
01-10 08:55:49,12.077,25.201,50.242,0.0,0.0,12.480,36362641408.0,14241792.0,227672064.0,302665728.0,0.0,98304.0,1414665.0,2319820.0
01-10 08:55:50,11.316,25.120,51.525,0.0,0.0,12.039,36362186752.0,14241792.0,227803136.0,302989312.0,0.0,0.0,1308510.0,2247841.0
01-10 08:55:51,13.020,23.843,50.431,0.0,0.0,12.706,36362862592.0,14241792.0,227934208.0,302182400.0,0.0,0.0,1439712.0,2378766.0
01-10 08:55:52,12.721,23.994,50.081,0.0,0.0,13.205,36362788864.0,14241792.0,227934208.0,302256128.0,0.0,0.0,1457709.0,2364891.0
01-10 08:55:53,11.569,24.960,51.347,0.0,0.0,12.124,36362543104.0,14241792.0,228196352.0,302239744.0,0.0,0.0,1354409.0,2195414.0
01-10 08:55:54,11.870,23.171,52.195,0.081,0.0,12.683,36363231232.0,14266368.0,227819520.0,301903872.0,0.0,237568.0,1387100.0,2307334.0
01-10 08:55:55,12.058,23.633,51.527,0.0,0.0,12.781,36364697600.0,14266368.0,228089856.0,300167168.0,0.0,0.0,1389075.0,2232787.0
01-10 08:55:56,12.271,24.382,49.801,0.0,0.0,13.546,36365512704.0,14274560.0,227905536.0,299528192.0,0.0,114688.0,1423578.0,2401513.0
01-10 08:55:57,12.431,25.964,47.364,0.0,0.0,14.241,36369137664.0,14274560.0,228036608.0,295772160.0,0.0,0.0,1443116.0,2424616.0
01-10 08:55:58,11.120,23.440,52.480,0.0,0.0,12.960,36366872576.0,14282752.0,228167680.0,297897984.0,0.0,20480.0,1370719.0,2283521.0
01-10 08:55:59,11.812,22.666,51.875,0.080,0.0,13.567,36365598720.0,14299136.0,228118528.0,299204608.0,0.0,135168.0,1459006.0,2388603.0
01-10 08:56:00,11.422,23.642,52.157,0.0,0.0,12.780,36365262848.0,14299136.0,228118528.0,299540480.0,0.0,0.0,1386030.0,2294214.0
01-10 08:56:01,12.710,22.142,51.239,0.0,0.0,13.909,36365471744.0,14299136.0,228249600.0,299200512.0,0.0,0.0,1450036.0,2356279.0
01-10 08:56:02,12.641,22.303,51.852,0.0,0.0,13.205,36365029376.0,14299136.0,228380672.0,299511808.0,0.0,0.0,1400865.0,2250327.0
01-10 08:56:03,10.683,21.606,55.743,0.0,0.0,11.968,36364222464.0,14299136.0,228642816.0,300056576.0,0.0,0.0,1276631.0,2085722.0
01-10 08:56:04,7.110,14.220,70.795,0.0,0.0,7.875,36364406784.0,14331904.0,228450304.0,300032000.0,0.0,258048.0,997322.0,1636319.0
01-10 08:56:05,11.968,21.687,53.333,0.0,0.0,13.012,36365361152.0,14331904.0,228409344.0,299118592.0,0.0,0.0,1459703.0,2349676.0
01-10 08:56:06,11.886,25.594,48.494,0.0,0.0,14.025,36365479936.0,14340096.0,228225024.0,299175936.0,0.0,118784.0,1425874.0,2379880.0
01-10 08:56:07,12.138,24.437,50.161,0.0,0.0,13.264,36364759040.0,14340096.0,228356096.0,299765760.0,0.0,0.0,1440390.0,2439087.0
01-10 08:56:08,10.959,25.060,50.524,0.0,0.0,13.457,36364414976.0,14348288.0,228487168.0,299970560.0,0.0,20480.0,1428293.0,2337450.0
01-10 08:56:09,13.845,24.525,47.547,0.079,0.0,14.003,36375158784.0,14372864.0,228380672.0,289308672.0,0.0,159744.0,1409021.0,2349594.0
01-10 08:56:10,14.320,25.554,47.943,0.0,0.0,12.184,36376379392.0,14372864.0,228446208.0,288022528.0,0.0,0.0,1320463.0,2248550.0
01-10 08:56:11,11.147,23.506,51.939,0.0,0.0,13.409,36376559616.0,14372864.0,228577280.0,287711232.0,0.0,0.0,1361226.0,2210998.0
01-10 08:56:12,10.522,24.551,51.142,0.0,0.0,13.785,36362964992.0,14372864.0,228712448.0,301170688.0,0.0,0.0,1433516.0,2340988.0
01-10 08:56:13,11.907,24.779,49.879,0.0,0.0,13.435,36363091968.0,14372864.0,228843520.0,300912640.0,0.0,0.0,1423759.0,2420947.0
01-10 08:56:14,10.908,25.796,49.045,0.080,0.0,14.172,36363280384.0,14405632.0,228728832.0,300806144.0,0.0,274432.0,1410664.0,2286246.0
01-10 08:56:15,11.680,24.560,50.320,0.0,0.0,13.440,36363390976.0,14405632.0,228757504.0,300666880.0,0.0,0.0,1440370.0,2398975.0
01-10 08:56:16,11.679,24.736,50.608,0.0,0.0,12.976,36363415552.0,14413824.0,228581376.0,300810240.0,0.0,241664.0,1474688.0,2453673.0
01-10 08:56:17,10.628,24.235,50.966,0.0,0.0,14.171,36363087872.0,14413824.0,228712448.0,301006848.0,0.0,0.0,1399714.0,2329646.0
01-10 08:56:18,10.518,24.353,51.861,0.0,0.0,13.269,36363493376.0,14422016.0,228843520.0,300462080.0,0.0,20480.0,1434165.0,2327277.0
01-10 08:56:19,12.430,24.861,48.845,0.080,0.0,13.785,36370513920.0,14438400.0,228741120.0,293527552.0,0.0,86016.0,1450599.0,2367002.0
01-10 08:56:20,7.668,17.252,66.693,0.0,0.0,8.387,36370161664.0,14438400.0,228806656.0,293814272.0,0.0,0.0,920034.0,1512279.0
01-10 08:56:21,11.848,25.355,49.289,0.0,0.0,13.507,36370702336.0,14438400.0,228937728.0,293142528.0,0.0,8192.0,1458921.0,2441381.0
01-10 08:56:22,11.290,24.032,50.887,0.0,0.0,13.790,36364689408.0,14438400.0,229068800.0,299024384.0,0.0,0.0,1400251.0,2296921.0
01-10 08:56:23,12.062,25.672,48.248,0.0,0.0,14.018,36368441344.0,14438400.0,229068800.0,295272448.0,0.0,0.0,1426215.0,2370454.0
01-10 08:56:24,14.956,22.673,47.653,0.0,0.0,14.718,36374679552.0,14471168.0,229076992.0,288993280.0,0.0,237568.0,1392178.0,2363692.0
01-10 08:56:25,11.803,23.443,50.820,0.0,0.0,13.934,36374478848.0,14471168.0,229101568.0,289169408.0,0.0,0.0,1418612.0,2441891.0
01-10 08:56:26,10.922,24.191,50.890,0.081,0.0,13.916,36375461888.0,14479360.0,228855808.0,288423936.0,0.0,118784.0,1408053.0,2316100.0
01-10 08:56:27,12.916,23.721,50.122,0.0,0.0,13.241,36367044608.0,14479360.0,228921344.0,296775680.0,0.0,0.0,1468471.0,2416095.0
01-10 08:56:28,12.162,23.211,50.397,0.0,0.0,14.229,36365950976.0,14487552.0,229183488.0,297598976.0,0.0,24576.0,1391095.0,2355393.0
01-10 08:56:29,12.581,23.620,50.406,0.0,0.0,13.393,36363927552.0,14503936.0,229068800.0,299720704.0,0.0,139264.0,1364449.0,2289096.0
01-10 08:56:30,10.138,23.601,51.825,0.0,0.0,14.436,36363636736.0,14503936.0,229265408.0,299814912.0,0.0,0.0,1352323.0,2229943.0
01-10 08:56:31,11.275,22.712,51.307,0.0,0.0,14.706,36364029952.0,14503936.0,229265408.0,299421696.0,0.0,0.0,1448563.0,2333191.0
01-10 08:56:32,12.520,23.089,50.976,0.0,0.0,13.415,36363116544.0,14503936.0,229396480.0,300204032.0,0.0,0.0,1424275.0,2339943.0
01-10 08:56:33,11.365,24.285,51.349,0.0,0.0,13.001,36362915840.0,14503936.0,229527552.0,300273664.0,0.0,0.0,1416277.0,2300806.0
01-10 08:56:34,11.569,24.881,48.494,0.079,0.0,14.976,36363706368.0,14520320.0,229482496.0,299511808.0,0.0,147456.0,1455722.0,2395316.0
01-10 08:56:35,17.398,22.267,48.444,0.0,0.0,11.891,36364197888.0,14528512.0,229695488.0,298799104.0,0.0,94208.0,1367961.0,2289822.0
01-10 08:56:36,10.568,24.259,50.841,0.0,0.0,14.331,36364406784.0,14536704.0,229449728.0,298827776.0,0.0,118784.0,1361926.0,2311763.0
01-10 08:56:37,6.845,13.021,73.289,0.0,0.0,6.845,36362031104.0,14536704.0,229515264.0,301137920.0,0.0,0.0,864389.0,1499430.0
01-10 08:56:38,11.489,24.515,51.375,0.081,0.0,12.540,36362018816.0,14544896.0,229646336.0,301010944.0,0.0,20480.0,1382811.0,2299036.0
01-10 08:56:39,12.843,25.525,48.465,0.0,0.0,13.166,36367581184.0,14569472.0,229613568.0,295456768.0,0.0,364544.0,1452421.0,2299347.0
01-10 08:56:40,11.619,23.638,50.721,0.0,0.0,14.022,36367622144.0,14569472.0,229679104.0,295350272.0,0.0,0.0,1454816.0,2365098.0
01-10 08:56:41,12.054,25.377,49.564,0.0,0.0,13.006,36367519744.0,14569472.0,229941248.0,295190528.0,0.0,8192.0,1467416.0,2439611.0
