"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-104432-workloadc-256-client.csv 1 400",,,,"Date:","01 Oct 2020 09:44:38 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 09:44:38,1.820,1.590,95.418,0.006,0.0,1.166,320864256.0,26787840.0,444190720.0,36115378176.0,68307.339,8117.466,0.0,0.0
01-10 09:44:39,0.125,0.0,99.875,0.0,0.0,0.0,320708608.0,26787840.0,444198912.0,36115525632.0,0.0,4096.0,91.0,100.0
01-10 09:44:40,0.0,0.0,100.0,0.0,0.0,0.0,320708608.0,26787840.0,444198912.0,36115525632.0,0.0,0.0,151.0,160.0
01-10 09:44:41,0.0,0.0,100.0,0.0,0.0,0.0,320323584.0,26787840.0,444219392.0,36115890176.0,0.0,0.0,460.0,611.0
01-10 09:44:42,0.0,0.065,99.935,0.0,0.0,0.0,320323584.0,26787840.0,444219392.0,36115890176.0,0.0,0.0,291.0,282.0
01-10 09:44:43,0.0,0.0,100.0,0.0,0.0,0.0,320315392.0,26787840.0,444219392.0,36115898368.0,0.0,0.0,291.0,282.0
01-10 09:44:44,0.062,0.0,99.938,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,49152.0,91.0,100.0
01-10 09:44:45,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,191.0,191.0
01-10 09:44:46,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,191.0,191.0
01-10 09:44:47,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,548.0,670.0
01-10 09:44:48,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,91.0,100.0
01-10 09:44:49,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,36864.0,381.0,282.0
01-10 09:44:50,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,1342.0,1334.0
01-10 09:44:51,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,351.0,342.0
01-10 09:44:52,0.0,0.0,100.0,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,447.0,586.0
01-10 09:44:53,0.0,0.063,99.937,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,91.0,100.0
01-10 09:44:54,0.062,0.0,99.938,0.0,0.0,0.0,320303104.0,26800128.0,444219392.0,36115898368.0,0.0,0.0,351.0,342.0
01-10 09:44:55,0.627,0.251,99.060,0.0,0.0,0.063,321937408.0,26800128.0,444219392.0,36114264064.0,0.0,0.0,3376.0,2290.0
01-10 09:44:56,2.038,2.293,95.350,0.064,0.0,0.255,371974144.0,26902528.0,444116992.0,36064227328.0,0.0,507904.0,52239.0,66613.0
01-10 09:44:57,2.510,3.732,93.115,0.193,0.0,0.450,396963840.0,26935296.0,444272640.0,36039049216.0,0.0,528384.0,12330.0,18885.0
01-10 09:44:58,3.631,2.611,93.376,0.0,0.0,0.382,376713216.0,26963968.0,444350464.0,36059193344.0,0.0,229376.0,6566.0,7456.0
01-10 09:44:59,8.671,1.863,89.403,0.0,0.0,0.064,444788736.0,26963968.0,444448768.0,35991019520.0,0.0,0.0,331.0,1198.0
01-10 09:45:00,10.513,2.787,86.447,0.0,0.0,0.253,749907968.0,26963968.0,444452864.0,35685896192.0,0.0,0.0,316421.0,7744.0
01-10 09:45:01,17.730,10.410,70.450,0.0,0.0,1.410,1260449792.0,26963968.0,444452864.0,35175354368.0,0.0,0.0,775725.0,275260.0
01-10 09:45:02,27.317,20.139,49.826,0.0,0.0,2.718,1345404928.0,26963968.0,444526592.0,35090325504.0,0.0,0.0,2588970.0,405335.0
01-10 09:45:03,36.804,20.535,34.996,0.0,0.0,7.664,1416994816.0,26963968.0,444526592.0,35018735616.0,0.0,0.0,7106398.0,837492.0
01-10 09:45:04,22.581,15.659,58.804,0.0,0.0,2.957,1507532800.0,26972160.0,444526592.0,34928189440.0,0.0,77824.0,7345820.0,873207.0
01-10 09:45:05,39.665,18.122,32.751,0.0,0.0,9.461,1585131520.0,26972160.0,444526592.0,34850590720.0,0.0,0.0,9316439.0,1213380.0
01-10 09:45:06,37.102,20.283,35.901,0.0,0.0,6.714,1631879168.0,26972160.0,444526592.0,34803843072.0,0.0,0.0,9075843.0,1234668.0
01-10 09:45:07,12.710,8.070,74.781,0.0,0.0,4.438,1645903872.0,26972160.0,444526592.0,34789818368.0,0.0,0.0,10107000.0,1628255.0
01-10 09:45:08,8.558,7.143,79.650,0.0,0.0,4.650,1658671104.0,26972160.0,444526592.0,34777051136.0,0.0,0.0,10158344.0,1650655.0
01-10 09:45:09,10.220,6.814,76.887,0.0,0.0,6.079,1678495744.0,26972160.0,444526592.0,34757226496.0,0.0,8192.0,10182183.0,1627635.0
01-10 09:45:10,9.176,5.718,78.923,0.0,0.0,6.184,1733234688.0,26972160.0,444526592.0,34702487552.0,0.0,0.0,10383171.0,1692285.0
01-10 09:45:11,7.375,6.379,80.664,0.0,0.0,5.581,1746563072.0,26972160.0,444526592.0,34689159168.0,0.0,0.0,10039017.0,1645021.0
01-10 09:45:12,7.148,5.462,81.591,0.0,0.0,5.799,1753374720.0,26972160.0,444526592.0,34682347520.0,0.0,0.0,10160628.0,1649172.0
01-10 09:45:13,7.528,5.396,80.346,0.0,0.0,6.729,1755004928.0,26972160.0,444526592.0,34680717312.0,0.0,0.0,10811647.0,1758448.0
01-10 09:45:14,7.351,6.358,80.397,0.066,0.0,5.828,1760849920.0,26980352.0,444526592.0,34674864128.0,0.0,36864.0,10321155.0,1684475.0
01-10 09:45:15,8.003,6.389,79.085,0.0,0.0,6.523,1802309632.0,26980352.0,444526592.0,34633404416.0,0.0,0.0,11309895.0,1829298.0
01-10 09:45:16,7.186,7.917,79.907,0.0,0.0,4.990,1836756992.0,26980352.0,444526592.0,34598957056.0,0.0,0.0,9769726.0,1586499.0
01-10 09:45:17,7.636,5.710,80.212,0.0,0.0,6.441,1839747072.0,26980352.0,444526592.0,34595966976.0,0.0,0.0,10280149.0,1662501.0
01-10 09:45:18,8.088,6.083,80.882,0.0,0.0,4.947,1842139136.0,26980352.0,444526592.0,34593574912.0,0.0,0.0,10513698.0,1700826.0
01-10 09:45:19,8.101,6.906,79.349,0.0,0.0,5.644,1844404224.0,26980352.0,444526592.0,34591309824.0,0.0,0.0,10365490.0,1689022.0
01-10 09:45:20,6.769,6.166,81.702,0.0,0.0,5.362,1847037952.0,26980352.0,444526592.0,34588676096.0,0.0,0.0,10413595.0,1698070.0
01-10 09:45:21,7.605,5.871,80.520,0.0,0.0,6.004,1855279104.0,26980352.0,444526592.0,34580434944.0,0.0,0.0,10592282.0,1699497.0
01-10 09:45:22,8.456,7.248,78.792,0.0,0.0,5.503,1885253632.0,26980352.0,444526592.0,34550460416.0,0.0,0.0,11069979.0,1781739.0
01-10 09:45:23,7.094,8.322,79.127,0.0,0.0,5.457,1936715776.0,26988544.0,444526592.0,34498990080.0,0.0,20480.0,11026772.0,1787208.0
01-10 09:45:24,7.253,6.179,82.471,0.0,0.0,4.097,1950203904.0,26988544.0,444526592.0,34485501952.0,0.0,0.0,9887128.0,1601434.0
01-10 09:45:25,5.270,4.545,86.825,0.0,0.0,3.360,1951055872.0,26988544.0,444526592.0,34484649984.0,0.0,0.0,7111144.0,1167484.0
01-10 09:45:26,7.060,6.178,82.281,0.0,0.0,4.481,1950416896.0,26988544.0,444526592.0,34485288960.0,0.0,0.0,10449572.0,1691914.0
01-10 09:45:27,7.283,6.339,81.659,0.0,0.0,4.720,1951989760.0,26988544.0,444526592.0,34483716096.0,0.0,0.0,10033127.0,1654468.0
01-10 09:45:28,7.801,5.582,81.708,0.0,0.0,4.909,1951629312.0,26988544.0,444526592.0,34484076544.0,0.0,0.0,10234182.0,1663623.0
01-10 09:45:29,8.412,6.242,80.733,0.0,0.0,4.613,1954996224.0,26988544.0,444526592.0,34480709632.0,0.0,0.0,11031091.0,1759682.0
01-10 09:45:30,8.952,6.300,79.178,0.0,0.0,5.570,1965584384.0,26988544.0,444526592.0,34470121472.0,0.0,462848.0,9948220.0,1596257.0
01-10 09:45:31,11.022,7.548,75.752,0.0,0.0,5.678,1976565760.0,26988544.0,444526592.0,34459140096.0,0.0,0.0,11078232.0,1763653.0
01-10 09:45:32,8.506,7.904,77.629,0.0,0.0,5.961,1996132352.0,26988544.0,444526592.0,34439573504.0,0.0,0.0,10018973.0,1604182.0
01-10 09:45:33,7.949,7.348,78.824,0.0,0.0,5.878,1997082624.0,26988544.0,444526592.0,34438623232.0,0.0,0.0,10681879.0,1718267.0
01-10 09:45:34,8.579,6.233,79.021,0.0,0.0,6.166,1997893632.0,26996736.0,444526592.0,34437804032.0,0.0,86016.0,11235703.0,1821153.0
01-10 09:45:35,7.522,6.649,79.919,0.0,0.0,5.910,1998090240.0,26996736.0,444526592.0,34437607424.0,0.0,0.0,11042655.0,1795061.0
01-10 09:45:36,7.682,6.146,80.294,0.0,0.0,5.878,1998712832.0,26996736.0,444526592.0,34436984832.0,0.0,0.0,10799661.0,1748381.0
01-10 09:45:37,7.040,7.450,80.314,0.0,0.0,5.195,1998778368.0,26996736.0,444526592.0,34436919296.0,0.0,0.0,11202381.0,1800153.0
01-10 09:45:38,7.327,6.581,80.597,0.0,0.0,5.495,1999953920.0,26996736.0,444526592.0,34435743744.0,0.0,0.0,10898924.0,1780337.0
01-10 09:45:39,7.495,5.942,81.296,0.0,0.0,5.267,2002419712.0,27004928.0,444518400.0,34433277952.0,0.0,20480.0,10450479.0,1694185.0
01-10 09:45:40,7.839,6.339,80.982,0.0,0.0,4.840,2015178752.0,27004928.0,444526592.0,34420510720.0,0.0,0.0,10803172.0,1735925.0
01-10 09:45:41,6.887,5.942,82.309,0.0,0.0,4.862,2021048320.0,27004928.0,444526592.0,34414641152.0,0.0,0.0,10013662.0,1632285.0
01-10 09:45:42,7.353,6.350,80.147,0.0,0.0,6.150,2020622336.0,27004928.0,444526592.0,34415067136.0,0.0,0.0,10956762.0,1752384.0
01-10 09:45:43,7.939,6.805,78.252,0.0,0.0,7.005,2021081088.0,27004928.0,444526592.0,34414608384.0,0.0,0.0,11649298.0,1884085.0
01-10 09:45:44,7.739,5.653,80.619,0.0,0.0,5.989,2020884480.0,27004928.0,444526592.0,34414804992.0,0.0,0.0,10567389.0,1721942.0
01-10 09:45:45,7.755,6.667,80.476,0.0,0.0,5.102,2022813696.0,27004928.0,444526592.0,34412875776.0,0.0,0.0,10767506.0,1744961.0
01-10 09:45:46,7.327,5.292,81.615,0.0,0.0,5.767,2022191104.0,27004928.0,444526592.0,34413498368.0,0.0,0.0,10244782.0,1677584.0
01-10 09:45:47,7.970,6.676,79.768,0.0,0.0,5.586,2022412288.0,27004928.0,444526592.0,34413277184.0,0.0,0.0,11162781.0,1811788.0
01-10 09:45:48,6.859,5.281,81.962,0.0,0.0,5.898,2022854656.0,27004928.0,444526592.0,34412834816.0,0.0,0.0,10711689.0,1740758.0
01-10 09:45:49,6.563,6.766,80.785,0.0,0.0,5.886,2029924352.0,27004928.0,444526592.0,34405765120.0,0.0,0.0,10438699.0,1696517.0
01-10 09:45:50,6.297,6.160,81.588,0.0,0.0,5.955,2031222784.0,27004928.0,444526592.0,34404466688.0,0.0,0.0,10723319.0,1755738.0
01-10 09:45:51,6.807,5.990,80.803,0.0,0.0,6.399,2030993408.0,27004928.0,444526592.0,34404696064.0,0.0,0.0,10998822.0,1794098.0
01-10 09:45:52,7.427,6.752,79.136,0.0,0.0,6.685,2030403584.0,27004928.0,444526592.0,34405285888.0,0.0,0.0,11425582.0,1850961.0
01-10 09:45:53,6.487,5.383,82.954,0.0,0.0,5.176,2030600192.0,27004928.0,444526592.0,34405089280.0,0.0,0.0,10487662.0,1710811.0
01-10 09:45:54,6.011,5.874,83.060,0.068,0.0,4.986,2030948352.0,27013120.0,444526592.0,34404732928.0,0.0,16384.0,9940645.0,1618210.0
01-10 09:45:55,6.826,5.666,81.843,0.0,0.0,5.666,2031833088.0,27013120.0,444526592.0,34403848192.0,0.0,0.0,10706084.0,1737188.0
01-10 09:45:56,7.385,6.853,80.240,0.0,0.0,5.522,2030817280.0,27013120.0,444526592.0,34404864000.0,0.0,0.0,10067286.0,1649389.0
01-10 09:45:57,7.211,6.939,80.612,0.0,0.0,5.238,2032029696.0,27013120.0,444526592.0,34403651584.0,0.0,0.0,10513776.0,1713751.0
01-10 09:45:58,6.567,6.297,80.907,0.0,0.0,6.229,2034589696.0,27013120.0,444526592.0,34401091584.0,0.0,0.0,10630316.0,1723876.0
01-10 09:45:59,6.795,7.528,79.347,0.0,0.0,6.329,2035294208.0,27013120.0,444526592.0,34400387072.0,0.0,0.0,10690188.0,1750649.0
01-10 09:46:00,6.748,6.478,80.769,0.0,0.0,6.005,2035195904.0,27013120.0,444526592.0,34400485376.0,0.0,16384.0,10310974.0,1674975.0
01-10 09:46:01,7.385,6.233,80.285,0.0,0.0,6.098,2034606080.0,27013120.0,444526592.0,34401075200.0,0.0,0.0,10783713.0,1754071.0
01-10 09:46:02,7.362,6.680,80.504,0.0,0.0,5.453,2034311168.0,27013120.0,444526592.0,34401370112.0,0.0,0.0,11216701.0,1811746.0
01-10 09:46:03,6.417,6.417,81.016,0.0,0.0,6.150,2035359744.0,27013120.0,444526592.0,34400321536.0,0.0,0.0,9928660.0,1628889.0
01-10 09:46:04,7.515,6.093,80.162,0.0,0.0,6.229,2034204672.0,27021312.0,444526592.0,34401468416.0,0.0,20480.0,10943787.0,1777267.0
01-10 09:46:05,6.658,7.128,80.430,0.0,0.0,5.783,2035187712.0,27021312.0,444526592.0,34400485376.0,0.0,61440.0,10419665.0,1714777.0
01-10 09:46:06,6.769,6.166,81.434,0.0,0.0,5.630,2034335744.0,27021312.0,444526592.0,34401337344.0,0.0,0.0,9979288.0,1632742.0
01-10 09:46:07,7.224,6.622,79.465,0.0,0.0,6.689,2040180736.0,27021312.0,444526592.0,34395492352.0,0.0,0.0,10845770.0,1748320.0
01-10 09:46:08,7.385,7.119,79.108,0.0,0.0,6.387,2042081280.0,27021312.0,444526592.0,34393591808.0,0.0,0.0,10910692.0,1769052.0
01-10 09:46:09,7.268,6.191,80.686,0.0,0.0,5.855,2042122240.0,27021312.0,444526592.0,34393550848.0,0.0,0.0,10386160.0,1701336.0
01-10 09:46:10,6.952,6.818,80.348,0.0,0.0,5.882,2041991168.0,27021312.0,444526592.0,34393681920.0,0.0,8192.0,10477359.0,1710034.0
01-10 09:46:11,6.869,6.801,80.067,0.0,0.0,6.263,2041368576.0,27021312.0,444526592.0,34394304512.0,0.0,0.0,10813749.0,1762397.0
01-10 09:46:12,6.962,6.348,80.819,0.0,0.0,5.870,2041008128.0,27021312.0,444526592.0,34394664960.0,0.0,0.0,11096597.0,1801024.0
01-10 09:46:13,7.928,7.528,77.815,0.0,0.0,6.729,2041167872.0,27021312.0,444526592.0,34394505216.0,0.0,0.0,11149680.0,1796404.0
01-10 09:46:14,6.711,7.047,80.470,0.0,0.0,5.772,2040799232.0,27029504.0,444526592.0,34394865664.0,0.0,16384.0,10522952.0,1724727.0
