"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node11",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-104432-workloadc-256-node11.csv 1 400",,,,"Date:","01 Oct 2020 09:44:48 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 09:44:48,4.811,8.561,81.515,0.034,0.0,5.079,36378238976.0,21721088.0,240242688.0,267018240.0,84039.577,218265.264,0.0,0.0
01-10 09:44:49,0.188,0.063,99.750,0.0,0.0,0.0,36378042368.0,21721088.0,240238592.0,267218944.0,0.0,0.0,6274.0,6247.0
01-10 09:44:50,0.063,0.0,99.937,0.0,0.0,0.0,36377976832.0,21721088.0,240238592.0,267284480.0,0.0,0.0,6613.0,6398.0
01-10 09:44:51,0.188,0.0,99.812,0.0,0.0,0.0,36377997312.0,21733376.0,240238592.0,267251712.0,0.0,49152.0,5743.0,5934.0
01-10 09:44:52,0.125,0.063,99.812,0.0,0.0,0.0,36377997312.0,21733376.0,240238592.0,267251712.0,0.0,0.0,5341.0,5263.0
01-10 09:44:53,0.063,0.063,99.811,0.0,0.0,0.063,36378030080.0,21733376.0,240238592.0,267218944.0,0.0,0.0,6234.0,5873.0
01-10 09:44:54,0.188,0.125,99.686,0.0,0.0,0.0,36378275840.0,21749760.0,240230400.0,266964992.0,0.0,61440.0,6603.0,7171.0
01-10 09:44:55,0.251,0.0,99.749,0.0,0.0,0.0,36378267648.0,21749760.0,240238592.0,266964992.0,0.0,0.0,5046.0,5777.0
01-10 09:44:56,0.125,0.0,99.812,0.0,0.0,0.063,36378234880.0,21749760.0,240238592.0,266997760.0,0.0,0.0,10811.0,21519.0
01-10 09:44:57,0.315,0.315,99.370,0.0,0.0,0.0,36378267648.0,21749760.0,240238592.0,266964992.0,0.0,0.0,10123.0,12193.0
01-10 09:44:58,0.063,0.125,99.812,0.0,0.0,0.0,36378267648.0,21749760.0,240238592.0,266964992.0,0.0,0.0,8300.0,7827.0
01-10 09:44:59,0.125,0.188,99.687,0.0,0.0,0.0,36378300416.0,21749760.0,240238592.0,266932224.0,0.0,0.0,5551.0,5932.0
01-10 09:45:00,0.189,0.063,99.685,0.0,0.0,0.063,36378222592.0,21749760.0,240238592.0,267010048.0,0.0,0.0,10593.0,9801.0
01-10 09:45:01,2.046,6.344,90.791,0.0,0.0,0.819,36382236672.0,21749760.0,240238592.0,262995968.0,0.0,0.0,111573.0,293609.0
01-10 09:45:02,9.779,19.401,61.593,0.0,0.0,9.227,36392841216.0,21749760.0,240238592.0,252391424.0,0.0,0.0,862133.0,1643706.0
01-10 09:45:03,12.581,29.274,43.710,0.0,0.0,14.435,36394115072.0,21749760.0,240238592.0,251117568.0,0.0,0.0,1499163.0,2868813.0
01-10 09:45:04,14.821,30.967,36.973,0.0,0.0,17.239,36393242624.0,21749760.0,240238592.0,251990016.0,0.0,0.0,1713331.0,3232489.0
01-10 09:45:05,15.991,28.156,39.327,0.0,0.0,16.526,36393242624.0,21749760.0,240238592.0,251990016.0,0.0,0.0,1850404.0,3360620.0
01-10 09:45:06,15.027,28.582,36.716,0.0,0.0,19.675,36390182912.0,21749760.0,240238592.0,255049728.0,0.0,0.0,1975845.0,3541295.0
01-10 09:45:07,15.093,22.532,24.821,0.0,0.0,37.554,36390191104.0,21749760.0,240238592.0,255041536.0,0.0,0.0,2021206.0,3817312.0
01-10 09:45:08,15.925,27.623,36.453,0.0,0.0,20.0,36390526976.0,21749760.0,240238592.0,254705664.0,0.0,0.0,2028476.0,3690951.0
01-10 09:45:09,15.924,25.493,30.972,0.0,0.0,27.611,36390281216.0,21749760.0,240238592.0,254951424.0,0.0,0.0,2119842.0,3816153.0
01-10 09:45:10,17.660,30.113,35.396,0.0,0.0,16.830,36389617664.0,21749760.0,240238592.0,255614976.0,0.0,0.0,2268948.0,4076454.0
01-10 09:45:11,16.704,27.964,33.482,0.0,0.0,21.849,36390223872.0,21749760.0,240238592.0,255008768.0,0.0,0.0,2067295.0,3691591.0
01-10 09:45:12,15.701,25.459,29.347,0.0,0.0,29.494,36390346752.0,21749760.0,240238592.0,254885888.0,0.0,0.0,2223410.0,3856790.0
01-10 09:45:13,14.029,26.482,33.983,0.0,0.0,25.506,36390526976.0,21749760.0,240238592.0,254705664.0,0.0,0.0,1998640.0,3784726.0
01-10 09:45:14,15.747,22.787,25.472,0.0,0.0,35.994,36390973440.0,21749760.0,240238592.0,254259200.0,0.0,0.0,2049291.0,3880706.0
