"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-115140-workloadf-256-node20.csv 1 400",,,,"Date:","01 Oct 2020 10:52:38 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 10:52:38,4.324,7.747,82.974,0.151,0.0,4.804,36332740608.0,9035776.0,299859968.0,265584640.0,267307.057,416113.990,0.0,0.0
01-10 10:52:39,0.125,0.0,99.875,0.0,0.0,0.0,36332224512.0,9035776.0,299098112.0,266862592.0,0.0,0.0,4486.0,4372.0
01-10 10:52:40,0.0,0.0,100.0,0.0,0.0,0.0,36332224512.0,9035776.0,299098112.0,266862592.0,0.0,0.0,3815.0,3703.0
01-10 10:52:41,0.126,0.0,99.874,0.0,0.0,0.0,36332257280.0,9035776.0,299098112.0,266829824.0,4096.0,0.0,9256.0,8015.0
01-10 10:52:42,0.0,0.063,99.874,0.0,0.0,0.063,36332179456.0,9048064.0,299036672.0,266956800.0,0.0,69632.0,5434.0,5562.0
01-10 10:52:43,0.063,0.063,99.811,0.0,0.0,0.063,36332212224.0,9048064.0,299036672.0,266924032.0,0.0,0.0,6672.0,6223.0
01-10 10:52:44,0.125,0.0,99.875,0.0,0.0,0.0,36332212224.0,9048064.0,299036672.0,266924032.0,0.0,0.0,5014.0,5157.0
01-10 10:52:45,0.063,0.0,99.937,0.0,0.0,0.0,36332212224.0,9048064.0,299036672.0,266924032.0,0.0,0.0,8046.0,7864.0
01-10 10:52:46,0.188,0.125,99.687,0.0,0.0,0.0,36332179456.0,9048064.0,299036672.0,266956800.0,0.0,0.0,6481.0,6270.0
01-10 10:52:47,0.189,0.0,99.811,0.0,0.0,0.0,36332212224.0,9048064.0,299036672.0,266924032.0,0.0,0.0,7079.0,7109.0
01-10 10:52:48,0.125,0.063,99.749,0.0,0.0,0.063,36332306432.0,9048064.0,299036672.0,266829824.0,0.0,0.0,5365.0,5436.0
01-10 10:52:49,0.063,0.0,99.812,0.063,0.0,0.063,36332306432.0,9048064.0,299036672.0,266829824.0,4096.0,0.0,12745.0,18683.0
01-10 10:52:50,0.314,0.0,99.686,0.0,0.0,0.0,36332335104.0,9048064.0,299040768.0,266797056.0,122880.0,0.0,5483.0,5476.0
01-10 10:52:51,0.063,0.063,99.811,0.0,0.0,0.063,36332265472.0,9048064.0,299143168.0,266764288.0,24576.0,0.0,9203.0,10270.0
01-10 10:52:52,0.063,0.0,99.875,0.063,0.0,0.0,36332089344.0,9048064.0,299159552.0,266924032.0,4096.0,0.0,4631.0,4972.0
01-10 10:52:53,0.188,0.063,99.687,0.0,0.0,0.063,36332072960.0,9048064.0,299175936.0,266924032.0,20480.0,0.0,24330.0,35061.0
01-10 10:52:54,0.314,0.063,99.561,0.0,0.0,0.063,36332437504.0,9048064.0,299225088.0,266510336.0,110592.0,0.0,7246.0,6108.0
01-10 10:52:55,3.997,3.797,91.272,0.067,0.0,0.866,36345544704.0,9048064.0,299241472.0,253386752.0,90112.0,0.0,92185.0,233316.0
01-10 10:52:56,9.163,18.327,64.064,0.080,0.0,8.367,36349124608.0,9048064.0,299507712.0,249540608.0,167936.0,0.0,862316.0,1200294.0
01-10 10:52:57,21.275,23.425,33.641,0.077,0.0,21.582,36344315904.0,9048064.0,301412352.0,252444672.0,2068480.0,0.0,1729408.0,2493154.0
01-10 10:52:58,18.146,26.551,39.042,0.0,0.0,16.261,36343107584.0,9048064.0,302067712.0,252997632.0,57344.0,0.0,1921948.0,2735708.0
01-10 10:52:59,13.851,20.377,29.079,0.0,0.0,36.693,36339752960.0,9048064.0,302477312.0,255942656.0,45056.0,786432.0,1853758.0,2606976.0
01-10 10:53:00,14.843,23.388,33.733,0.0,0.0,28.036,36341301248.0,9179136.0,302632960.0,254107648.0,131072.0,0.0,1877535.0,2649016.0
01-10 10:53:01,18.661,26.938,40.030,0.075,0.0,14.296,36343644160.0,9187328.0,303108096.0,251281408.0,69632.0,102400.0,2130028.0,2908556.0
01-10 10:53:02,15.895,22.096,26.443,0.071,0.0,35.495,36341514240.0,9195520.0,303591424.0,252919808.0,311296.0,315392.0,2152499.0,3046856.0
01-10 10:53:03,18.314,25.799,30.305,0.0,0.0,25.581,36351590400.0,9203712.0,303988736.0,242438144.0,32768.0,57344.0,2188785.0,3010390.0
01-10 10:53:04,18.680,25.0,23.034,0.0,0.0,33.287,36354256896.0,8765440.0,276615168.0,267583488.0,20480.0,2199552.0,2059818.0,2819812.0
01-10 10:53:05,16.187,22.662,27.986,0.072,0.0,33.094,36355551232.0,8806400.0,276549632.0,266313728.0,0.0,622592.0,1979950.0,2879583.0
01-10 10:53:06,15.823,19.972,25.527,0.0,0.0,38.678,36355428352.0,8806400.0,277180416.0,265805824.0,8192.0,0.0,1916904.0,2722789.0
01-10 10:53:07,18.313,27.356,37.538,0.0,0.0,16.793,36357283840.0,8806400.0,277778432.0,263352320.0,229376.0,0.0,1964477.0,2834064.0
01-10 10:53:08,19.459,24.653,33.138,0.0,0.0,22.751,36357062656.0,8806400.0,278192128.0,263159808.0,81920.0,0.0,2333316.0,3151921.0
01-10 10:53:09,12.099,20.911,33.383,0.299,0.0,33.308,36341485568.0,8806400.0,278437888.0,278491136.0,634880.0,1572864.0,1603854.0,2204209.0
01-10 10:53:10,19.336,29.668,32.399,1.328,0.0,17.269,36343508992.0,8806400.0,278646784.0,276258816.0,3751936.0,12288.0,2381012.0,3302753.0
01-10 10:53:11,16.428,26.752,29.992,9.269,0.0,17.558,36349030400.0,8814592.0,278994944.0,270381056.0,12283904.0,102400.0,2053960.0,2785659.0
