"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cassandra-20201001-113633-workloadf-64-client.csv 1 400",,,,"Date:","01 Oct 2020 10:36:51 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
01-10 10:36:51,1.606,1.401,95.952,0.004,0.0,1.036,321523712.0,28553216.0,444657664.0,36112486400.0,46703.442,6815.392,0.0,0.0
01-10 10:36:52,0.0,0.0,99.938,0.0,0.0,0.062,321449984.0,28553216.0,444686336.0,36112531456.0,0.0,0.0,2271.0,2256.0
01-10 10:36:53,0.0,0.0,100.0,0.0,0.0,0.0,321466368.0,28553216.0,444686336.0,36112515072.0,0.0,0.0,191.0,191.0
01-10 10:36:54,0.063,0.0,99.937,0.0,0.0,0.0,321466368.0,28553216.0,444686336.0,36112515072.0,0.0,0.0,291.0,282.0
01-10 10:36:55,0.0,0.062,99.938,0.0,0.0,0.0,321466368.0,28553216.0,444686336.0,36112515072.0,0.0,0.0,813.0,874.0
01-10 10:36:56,0.0,0.0,100.0,0.0,0.0,0.0,321466368.0,28553216.0,444686336.0,36112515072.0,0.0,0.0,91.0,100.0
01-10 10:36:57,0.0,0.125,99.875,0.0,0.0,0.0,320876544.0,28565504.0,444674048.0,36113104896.0,0.0,53248.0,2068.0,2078.0
01-10 10:36:58,0.0,0.0,100.0,0.0,0.0,0.0,320876544.0,28565504.0,444674048.0,36113104896.0,0.0,0.0,91.0,100.0
01-10 10:36:59,0.0,0.0,100.0,0.0,0.0,0.0,320876544.0,28565504.0,444674048.0,36113104896.0,0.0,0.0,1313.0,1310.0
01-10 10:37:00,0.0,0.0,100.0,0.0,0.0,0.0,320954368.0,28565504.0,444686336.0,36113014784.0,0.0,0.0,459.0,604.0
