"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-184722-workloada-16-node20.csv 1 400",,,,"Date:","30 Sep 2020 17:47:33 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 17:47:33,4.212,2.677,90.918,0.231,0.0,1.963,1626693632.0,138096640.0,3384868864.0,31757561856.0,170597.334,1271939.514,0.0,0.0
30-09 17:47:34,0.635,0.445,98.348,0.0,0.0,0.572,1627029504.0,138096640.0,3384803328.0,31757291520.0,0.0,0.0,119990.0,110886.0
30-09 17:47:35,0.190,0.316,99.367,0.0,0.0,0.127,1627029504.0,138096640.0,3384803328.0,31757291520.0,0.0,12288.0,73945.0,56502.0
30-09 17:47:36,0.443,0.443,98.798,0.0,0.0,0.316,1627062272.0,138096640.0,3384803328.0,31757258752.0,0.0,40960.0,90989.0,71764.0
30-09 17:47:37,0.768,0.704,97.823,0.064,0.0,0.640,1627287552.0,138096640.0,3384803328.0,31757033472.0,0.0,98304.0,175224.0,139280.0
30-09 17:47:38,2.685,1.535,94.757,0.128,0.0,0.895,1628147712.0,138096640.0,3384803328.0,31756173312.0,0.0,3129344.0,438476.0,1230548.0
30-09 17:47:39,2.489,1.276,95.405,0.128,0.0,0.702,1629155328.0,138096640.0,3384803328.0,31755165696.0,0.0,1732608.0,251963.0,656223.0
30-09 17:47:40,0.636,0.445,98.410,0.0,0.0,0.509,1629188096.0,138096640.0,3384803328.0,31755132928.0,0.0,0.0,117920.0,109916.0
30-09 17:47:41,0.698,0.444,98.542,0.0,0.0,0.317,1629220864.0,138096640.0,3384803328.0,31755100160.0,0.0,81920.0,115888.0,78633.0
30-09 17:47:42,0.443,0.696,98.608,0.0,0.0,0.253,1629188096.0,138096640.0,3384803328.0,31755132928.0,0.0,40960.0,92837.0,74951.0
30-09 17:47:43,0.508,0.635,98.221,0.0,0.0,0.635,1629220864.0,138096640.0,3384803328.0,31755100160.0,0.0,36864.0,125569.0,109873.0
30-09 17:47:44,0.190,0.570,99.113,0.0,0.0,0.127,1629188096.0,138096640.0,3384803328.0,31755132928.0,0.0,0.0,68570.0,58289.0
30-09 17:47:45,0.508,0.508,98.856,0.0,0.0,0.127,1629237248.0,138096640.0,3384803328.0,31755083776.0,0.0,40960.0,100764.0,75119.0
30-09 17:47:46,0.893,1.020,97.321,0.128,0.0,0.638,1629270016.0,138096640.0,3384803328.0,31755051008.0,0.0,106496.0,165918.0,134883.0
30-09 17:47:47,0.440,0.440,98.868,0.0,0.0,0.252,1629270016.0,138096640.0,3384803328.0,31755051008.0,0.0,0.0,75851.0,60891.0
30-09 17:47:48,2.506,1.671,94.537,0.129,0.0,1.157,1630728192.0,138096640.0,3384803328.0,31753592832.0,0.0,3096576.0,467306.0,1250623.0
30-09 17:47:49,2.274,1.624,94.672,0.0,0.0,1.429,1629425664.0,138096640.0,3384803328.0,31754895360.0,0.0,1769472.0,269464.0,681019.0
30-09 17:47:50,0.967,1.032,97.614,0.064,0.0,0.322,1628368896.0,138100736.0,3384811520.0,31755939840.0,0.0,131072.0,128962.0,105119.0
30-09 17:47:51,1.354,1.225,95.874,0.064,0.0,1.483,1626652672.0,138100736.0,3384811520.0,31757656064.0,0.0,53248.0,183871.0,196438.0
30-09 17:47:52,8.197,4.508,78.689,2.596,0.0,6.011,1627328512.0,138100736.0,3384823808.0,31756967936.0,0.0,5640192.0,1767353.0,1201258.0
30-09 17:47:53,14.102,8.661,65.211,4.295,0.0,7.731,1629331456.0,138100736.0,3384823808.0,31754964992.0,0.0,7876608.0,2621920.0,1615955.0
30-09 17:47:54,13.186,8.696,65.502,4.562,0.0,8.054,1623203840.0,138100736.0,3384823808.0,31761092608.0,0.0,8019968.0,2466427.0,1572718.0
30-09 17:47:55,12.447,7.397,67.070,4.765,0.0,8.321,1625104384.0,138100736.0,3384823808.0,31759192064.0,0.0,7385088.0,2211283.0,1432014.0
30-09 17:47:56,11.895,8.191,68.305,4.060,0.0,7.550,1625747456.0,138100736.0,3384823808.0,31758548992.0,0.0,8032256.0,2349243.0,1524898.0
30-09 17:47:57,11.558,6.748,70.567,3.877,0.0,7.251,1621196800.0,138100736.0,3384823808.0,31763099648.0,0.0,7286784.0,2167844.0,1420404.0
30-09 17:47:58,14.215,9.168,61.620,6.681,0.0,8.316,1561100288.0,138166272.0,3403087872.0,31804866560.0,0.0,27508736.0,2624218.0,2539884.0
30-09 17:47:59,13.585,8.108,65.789,4.410,0.0,8.108,1563455488.0,138166272.0,3403091968.0,31802507264.0,0.0,8798208.0,2300440.0,1930646.0
30-09 17:48:00,13.090,8.226,65.665,4.292,0.0,8.727,1560244224.0,138166272.0,3403091968.0,31805718528.0,0.0,8179712.0,2629805.0,1598903.0
30-09 17:48:01,13.662,8.083,66.595,3.863,0.0,7.797,1562021888.0,138166272.0,3403091968.0,31803940864.0,0.0,8327168.0,2631148.0,1716702.0
30-09 17:48:02,13.447,7.289,68.011,3.963,0.0,7.289,1557639168.0,138166272.0,3403091968.0,31808323584.0,0.0,8249344.0,2515538.0,1510858.0
30-09 17:48:03,10.833,6.111,73.472,3.611,0.0,5.972,1559130112.0,138170368.0,3403091968.0,31806828544.0,0.0,6647808.0,1822637.0,1213037.0
30-09 17:48:04,11.182,7.764,68.590,4.345,0.0,8.120,1561415680.0,138170368.0,3403091968.0,31804542976.0,0.0,6754304.0,1982345.0,1352609.0
30-09 17:48:05,13.863,8.520,64.404,4.549,0.0,8.664,1564712960.0,138170368.0,3403091968.0,31801245696.0,0.0,8060928.0,2595522.0,1623771.0
30-09 17:48:06,13.292,7.655,65.553,6.611,0.0,6.889,1502703616.0,138178560.0,3431620608.0,31834718208.0,0.0,34631680.0,2178680.0,1369955.0
30-09 17:48:07,10.256,6.584,66.944,10.187,0.0,6.029,1509351424.0,138199040.0,3498536960.0,31761133568.0,0.0,72937472.0,1836985.0,1037748.0
30-09 17:48:08,12.824,7.638,61.668,11.282,0.0,6.587,1514926080.0,138248192.0,3454537728.0,31799508992.0,0.0,71987200.0,2197171.0,2168501.0
30-09 17:48:09,18.339,8.443,57.232,9.204,0.0,6.782,1560428544.0,138293248.0,3431505920.0,31776993280.0,0.0,65359872.0,1754389.0,1550240.0
30-09 17:48:10,19.312,9.551,55.337,10.042,0.0,5.758,1521201152.0,138330112.0,3443138560.0,31804551168.0,0.0,60710912.0,1498005.0,952453.0
30-09 17:48:11,13.941,7.937,64.389,9.041,0.0,4.693,1537478656.0,138362880.0,3434029056.0,31797350400.0,0.0,66592768.0,1221934.0,755691.0
30-09 17:48:12,15.379,8.076,60.674,10.393,0.0,5.478,1544998912.0,138383360.0,3446915072.0,31776923648.0,0.0,69214208.0,1414384.0,892762.0
30-09 17:48:13,15.305,7.895,61.842,8.587,0.0,6.371,1544097792.0,138432512.0,3449516032.0,31775174656.0,0.0,66629632.0,1442870.0,852624.0
30-09 17:48:14,13.167,7.687,66.975,4.270,0.0,7.900,1541574656.0,138432512.0,3426201600.0,31801012224.0,0.0,7712768.0,2407218.0,1535944.0
30-09 17:48:15,12.312,7.731,67.788,4.581,0.0,7.588,1543979008.0,138432512.0,3426201600.0,31798607872.0,0.0,7786496.0,2326131.0,1456101.0
30-09 17:48:16,14.050,9.319,63.728,4.731,0.0,8.172,1539829760.0,138432512.0,3426201600.0,31802757120.0,0.0,7712768.0,2459534.0,1633661.0
30-09 17:48:17,14.316,8.079,64.564,4.819,0.0,8.221,1541799936.0,138432512.0,3426201600.0,31800786944.0,0.0,7987200.0,2462833.0,1650784.0
30-09 17:48:18,13.662,7.212,66.227,4.854,0.0,8.044,1548587008.0,138432512.0,3426201600.0,31793999872.0,0.0,9654272.0,2400424.0,2501655.0
30-09 17:48:19,14.781,8.487,64.498,3.819,0.0,8.416,1551237120.0,138432512.0,3426201600.0,31791349760.0,0.0,8511488.0,2262535.0,2028608.0
30-09 17:48:20,12.095,6.911,69.330,4.464,0.0,7.199,1553506304.0,138432512.0,3426201600.0,31789080576.0,0.0,7499776.0,2223923.0,1395733.0
30-09 17:48:21,10.423,7.887,70.070,3.944,0.0,7.676,1555116032.0,138432512.0,3426201600.0,31787470848.0,0.0,6914048.0,2339261.0,1351166.0
30-09 17:48:22,12.073,7.118,70.482,3.419,0.0,6.909,1550688256.0,138432512.0,3426201600.0,31791898624.0,0.0,6488064.0,2845957.0,1361066.0
