"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-185431-workloada-32-client.csv 1 400",,,,"Date:","30 Sep 2020 17:54:37 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 17:54:37,1.259,0.998,96.269,0.002,0.0,1.471,346583040.0,45457408.0,646123520.0,35869057024.0,19481.493,8847.114,0.0,0.0
30-09 17:54:38,0.0,0.062,99.938,0.0,0.0,0.0,346378240.0,45457408.0,646119424.0,35869265920.0,0.0,4096.0,359.0,514.0
30-09 17:54:39,0.250,0.0,99.687,0.0,0.0,0.063,345526272.0,45457408.0,646123520.0,35870113792.0,0.0,0.0,8879.0,4699.0
30-09 17:54:40,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45457408.0,646123520.0,35870154752.0,0.0,0.0,291.0,282.0
30-09 17:54:41,0.0,0.062,99.938,0.0,0.0,0.0,345485312.0,45457408.0,646123520.0,35870154752.0,0.0,0.0,191.0,191.0
30-09 17:54:42,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45457408.0,646123520.0,35870154752.0,0.0,0.0,2168.0,2166.0
30-09 17:54:43,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,49152.0,1775.0,1859.0
30-09 17:54:44,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,0.0,451.0,433.0
30-09 17:54:45,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,0.0,91.0,100.0
30-09 17:54:46,0.0,0.062,99.938,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,0.0,291.0,282.0
30-09 17:54:47,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,0.0,191.0,191.0
30-09 17:54:48,0.0,0.0,100.0,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,36864.0,547.0,671.0
30-09 17:54:49,0.0,0.125,99.875,0.0,0.0,0.0,345485312.0,45469696.0,646111232.0,35870154752.0,0.0,0.0,1379.0,1359.0
30-09 17:54:50,0.062,0.0,99.938,0.0,0.0,0.0,345473024.0,45469696.0,646123520.0,35870154752.0,0.0,0.0,291.0,282.0
