"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node08",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-194346-workloadb-128-node08.csv 1 400",,,,"Date:","30 Sep 2020 18:43:53 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 18:43:53,4.268,2.551,91.109,0.153,0.0,1.919,1151401984.0,174227456.0,775200768.0,34806390784.0,171818.567,595771.721,0.0,0.0
30-09 18:43:54,0.507,0.634,98.415,0.0,0.0,0.444,1150840832.0,174227456.0,775245824.0,34806906880.0,0.0,0.0,108438.0,124551.0
30-09 18:43:55,0.446,0.509,98.536,0.0,0.0,0.509,1151119360.0,174227456.0,775245824.0,34806628352.0,0.0,86016.0,117524.0,141061.0
30-09 18:43:56,0.635,0.825,97.778,0.063,0.0,0.698,1151119360.0,174227456.0,775245824.0,34806628352.0,0.0,81920.0,137978.0,160195.0
30-09 18:43:57,1.480,1.351,95.882,0.322,0.0,0.965,1151193088.0,174243840.0,775249920.0,34806534144.0,0.0,495616.0,199539.0,265668.0
30-09 18:43:58,0.637,0.446,98.407,0.064,0.0,0.446,1151283200.0,174243840.0,775258112.0,34806435840.0,0.0,475136.0,143438.0,148555.0
30-09 18:43:59,2.387,1.355,94.968,0.323,0.0,0.968,1153544192.0,174243840.0,775258112.0,34804174848.0,0.0,5328896.0,556998.0,289463.0
30-09 18:44:00,0.765,0.574,98.087,0.064,0.0,0.510,1155371008.0,174243840.0,775258112.0,34802348032.0,0.0,1413120.0,224247.0,134381.0
30-09 18:44:01,0.958,0.958,97.444,0.192,0.0,0.447,1155465216.0,174247936.0,775258112.0,34802249728.0,0.0,360448.0,146409.0,196825.0
30-09 18:44:02,0.453,0.712,97.736,0.259,0.0,0.841,1155481600.0,174252032.0,775270400.0,34802216960.0,0.0,335872.0,202303.0,258617.0
30-09 18:44:03,0.445,0.445,98.539,0.0,0.0,0.572,1155514368.0,174252032.0,775270400.0,34802184192.0,0.0,0.0,123758.0,138421.0
30-09 18:44:04,0.507,0.380,98.605,0.0,0.0,0.507,1155514368.0,174252032.0,775270400.0,34802184192.0,0.0,0.0,126853.0,138776.0
30-09 18:44:05,2.911,2.070,91.268,0.065,0.0,3.687,1156988928.0,174252032.0,775270400.0,34800709632.0,0.0,81920.0,590916.0,826893.0
30-09 18:44:06,3.196,2.348,90.607,0.326,0.0,3.523,1157238784.0,174256128.0,775290880.0,34800435200.0,0.0,512000.0,534559.0,781758.0
30-09 18:44:07,1.865,1.222,94.469,0.064,0.0,2.379,1158094848.0,174256128.0,775331840.0,34799538176.0,0.0,122880.0,290715.0,399756.0
30-09 18:44:08,1.410,1.410,94.744,0.0,0.0,2.436,1158352896.0,174256128.0,775344128.0,34799267840.0,0.0,352256.0,276418.0,337549.0
30-09 18:44:09,12.192,3.264,81.479,0.266,0.0,2.798,1164726272.0,174256128.0,775499776.0,34792738816.0,0.0,5341184.0,1609201.0,1347367.0
30-09 18:44:10,13.984,5.525,74.625,0.546,0.0,5.321,1108971520.0,174256128.0,776298496.0,34847694848.0,0.0,11206656.0,2232099.0,2133484.0
30-09 18:44:11,8.909,4.213,82.251,0.207,0.0,4.420,1112023040.0,174260224.0,775786496.0,34845151232.0,0.0,360448.0,2230354.0,2232438.0
30-09 18:44:12,7.373,3.418,85.188,0.0,0.0,4.021,1112809472.0,174260224.0,775790592.0,34844360704.0,0.0,0.0,1929243.0,1914466.0
30-09 18:44:13,8.512,4.491,82.507,0.0,0.0,4.491,1116856320.0,174260224.0,775790592.0,34840313856.0,0.0,0.0,2044411.0,2033294.0
30-09 18:44:14,9.634,4.478,80.733,0.0,0.0,5.156,1129426944.0,174264320.0,775786496.0,34827743232.0,0.0,184320.0,2365879.0,2342320.0
30-09 18:44:15,8.401,3.898,82.460,0.336,0.0,4.906,1139130368.0,174264320.0,775794688.0,34818031616.0,0.0,507904.0,1916684.0,1948052.0
30-09 18:44:16,7.388,3.627,84.621,0.067,0.0,4.298,1141637120.0,174264320.0,775798784.0,34815520768.0,0.0,126976.0,2040232.0,2033299.0
30-09 18:44:17,7.957,3.574,83.479,0.0,0.0,4.990,1142083584.0,174264320.0,775798784.0,34815074304.0,0.0,0.0,2028169.0,2018439.0
30-09 18:44:18,7.032,2.907,85.734,0.068,0.0,4.260,1144549376.0,174264320.0,775798784.0,34812608512.0,0.0,352256.0,1900557.0,1871421.0
30-09 18:44:19,9.085,4.645,80.396,0.478,0.0,5.396,1159192576.0,174264320.0,775802880.0,34797961216.0,0.0,5738496.0,2335421.0,2053360.0
30-09 18:44:20,8.192,3.318,83.954,0.271,0.0,4.265,1169604608.0,174264320.0,775811072.0,34787540992.0,0.0,1961984.0,1896058.0,1829105.0
30-09 18:44:21,7.224,3.679,85.284,0.0,0.0,3.813,1173528576.0,174264320.0,775811072.0,34783617024.0,0.0,12288.0,1840126.0,1840467.0
30-09 18:44:22,7.347,3.061,86.054,0.0,0.0,3.537,1174867968.0,174264320.0,775811072.0,34782277632.0,0.0,8192.0,1916345.0,1907104.0
30-09 18:44:23,6.964,2.840,85.869,0.068,0.0,4.260,1174077440.0,174264320.0,775811072.0,34783068160.0,0.0,81920.0,1954159.0,1950596.0
30-09 18:44:24,7.342,3.807,84.432,0.340,0.0,4.079,1174773760.0,174272512.0,775815168.0,34782359552.0,0.0,557056.0,1779917.0,1817499.0
30-09 18:44:25,8.092,2.900,85.502,0.0,0.0,3.506,1175248896.0,174272512.0,775827456.0,34781872128.0,0.0,98304.0,1885587.0,1878905.0
30-09 18:44:26,7.744,3.738,84.513,0.0,0.0,4.005,1167024128.0,174272512.0,775827456.0,34790096896.0,0.0,0.0,1860452.0,1862609.0
30-09 18:44:27,8.491,3.167,85.040,0.0,0.0,3.302,1167044608.0,174272512.0,775827456.0,34790076416.0,0.0,0.0,1955762.0,1939945.0
30-09 18:44:28,6.855,3.159,85.551,0.202,0.0,4.234,1167007744.0,174276608.0,775827456.0,34790109184.0,0.0,651264.0,1794874.0,1796007.0
30-09 18:44:29,9.651,5.476,79.055,0.616,0.0,5.202,1179996160.0,174280704.0,775831552.0,34777112576.0,0.0,5484544.0,2311609.0,2038945.0
30-09 18:44:30,9.756,4.268,81.165,0.0,0.0,4.810,1186492416.0,174280704.0,775843840.0,34770604032.0,0.0,1593344.0,2088359.0,1971687.0
30-09 18:44:31,6.063,2.532,88.341,0.0,0.0,3.065,1187782656.0,174280704.0,775843840.0,34769313792.0,0.0,8192.0,1544787.0,1543017.0
30-09 18:44:32,6.581,3.189,85.957,0.068,0.0,4.206,1188593664.0,174280704.0,775843840.0,34768502784.0,0.0,90112.0,1903872.0,1905650.0
30-09 18:44:33,9.313,4.759,80.286,0.272,0.0,5.370,1188343808.0,174297088.0,775847936.0,34768732160.0,0.0,479232.0,2192674.0,2221811.0
30-09 18:44:34,6.560,3.548,85.609,0.0,0.0,4.284,1189724160.0,174305280.0,775856128.0,34767335424.0,0.0,126976.0,1872773.0,1860441.0
30-09 18:44:35,9.025,3.650,81.885,0.0,0.0,5.441,1189380096.0,174305280.0,775856128.0,34767679488.0,0.0,0.0,1949730.0,1956773.0
30-09 18:44:36,8.115,3.085,84.306,0.0,0.0,4.494,1189429248.0,174305280.0,775856128.0,34767630336.0,0.0,0.0,2023126.0,1997704.0
30-09 18:44:37,8.094,3.612,83.411,0.201,0.0,4.682,1189920768.0,174305280.0,775856128.0,34767138816.0,0.0,294912.0,1922021.0,1935680.0
30-09 18:44:38,9.501,4.650,79.852,0.202,0.0,5.795,1189814272.0,174305280.0,775864320.0,34767237120.0,0.0,712704.0,2369914.0,2366566.0
30-09 18:44:39,9.918,4.280,80.910,0.204,0.0,4.688,1191903232.0,174305280.0,775864320.0,34765148160.0,0.0,4923392.0,2271021.0,1988035.0
30-09 18:44:40,8.176,3.108,85.0,0.068,0.0,3.649,1194938368.0,174305280.0,775868416.0,34762108928.0,0.0,1761280.0,1907524.0,1766068.0
30-09 18:44:41,8.575,3.309,83.390,0.068,0.0,4.659,1196449792.0,174305280.0,775868416.0,34760597504.0,0.0,94208.0,2299190.0,2278478.0
30-09 18:44:42,9.662,3.716,81.554,0.270,0.0,4.797,1195950080.0,174305280.0,775876608.0,34761089024.0,0.0,491520.0,2075562.0,2113369.0
30-09 18:44:43,8.918,3.063,84.275,0.068,0.0,3.676,1196269568.0,174305280.0,775880704.0,34760765440.0,0.0,126976.0,2030095.0,2022543.0
30-09 18:44:44,8.362,3.399,84.432,0.0,0.0,3.807,1196367872.0,174305280.0,775880704.0,34760667136.0,0.0,20480.0,2028488.0,2021055.0
30-09 18:44:45,9.140,3.831,83.401,0.0,0.0,3.629,1196761088.0,174305280.0,775880704.0,34760273920.0,0.0,8192.0,2096738.0,2082333.0
30-09 18:44:46,7.579,3.421,84.038,0.268,0.0,4.695,1196302336.0,174309376.0,775876608.0,34760732672.0,0.0,331776.0,1925829.0,1931694.0
30-09 18:44:47,9.966,4.983,79.863,0.205,0.0,4.983,1196707840.0,174313472.0,775888896.0,34760310784.0,0.0,364544.0,2240513.0,2256687.0
30-09 18:44:48,8.288,3.639,83.693,0.0,0.0,4.380,1196507136.0,174313472.0,775892992.0,34760507392.0,0.0,356352.0,2104897.0,2079246.0
30-09 18:44:49,10.602,4.446,80.027,0.274,0.0,4.651,1200570368.0,174313472.0,775892992.0,34756444160.0,0.0,5255168.0,2333050.0,2020873.0
30-09 18:44:50,8.833,4.316,81.996,0.135,0.0,4.720,1204219904.0,174317568.0,775892992.0,34752790528.0,0.0,1499136.0,2229588.0,2124280.0
30-09 18:44:51,9.699,4.508,80.260,0.410,0.0,5.123,1207300096.0,174338048.0,775884800.0,34749698048.0,0.0,495616.0,2134551.0,2160925.0
30-09 18:44:52,8.249,4.395,83.367,0.068,0.0,3.922,1207209984.0,174342144.0,775905280.0,34749763584.0,0.0,102400.0,2035380.0,2020551.0
30-09 18:44:53,7.268,4.307,83.849,0.0,0.0,4.576,1207144448.0,174342144.0,775905280.0,34749829120.0,0.0,0.0,1999153.0,1989722.0
30-09 18:44:54,8.339,3.430,83.793,0.0,0.0,4.438,1206906880.0,174342144.0,775905280.0,34750066688.0,0.0,65536.0,2002148.0,1987740.0
30-09 18:44:55,8.407,4.339,82.712,0.136,0.0,4.407,1207029760.0,174346240.0,775905280.0,34749939712.0,0.0,331776.0,2108739.0,2112230.0
30-09 18:44:56,9.758,3.903,80.485,0.202,0.0,5.653,1208623104.0,174346240.0,775913472.0,34748338176.0,0.0,364544.0,2237122.0,2256730.0
30-09 18:44:57,8.573,4.019,82.719,0.0,0.0,4.689,1198366720.0,174346240.0,775913472.0,34758594560.0,0.0,0.0,2063140.0,2048508.0
30-09 18:44:58,7.656,3.862,84.553,0.0,0.0,3.930,1198780416.0,174346240.0,775913472.0,34758180864.0,0.0,364544.0,1891540.0,1866115.0
30-09 18:44:59,11.020,4.381,78.645,0.411,0.0,5.544,1205702656.0,174346240.0,775913472.0,34751258624.0,0.0,5357568.0,2471020.0,2159234.0
30-09 18:45:00,10.183,4.820,79.294,0.339,0.0,5.363,1211699200.0,174350336.0,775917568.0,34745253888.0,0.0,1888256.0,2222878.0,2152855.0
30-09 18:45:01,8.195,3.731,83.278,0.067,0.0,4.730,1213075456.0,174350336.0,775925760.0,34743869440.0,0.0,143360.0,2004703.0,2003862.0
30-09 18:45:02,7.542,3.030,85.387,0.0,0.0,4.040,1213468672.0,174350336.0,775925760.0,34743476224.0,0.0,8192.0,2080969.0,2071654.0
30-09 18:45:03,9.537,3.883,81.880,0.0,0.0,4.700,1213771776.0,174350336.0,775925760.0,34743173120.0,0.0,53248.0,2254059.0,2225281.0
30-09 18:45:04,6.897,2.705,86.680,0.135,0.0,3.584,1213505536.0,174350336.0,775929856.0,34743435264.0,0.0,319488.0,1838190.0,1847929.0
30-09 18:45:05,9.424,4.746,79.932,0.271,0.0,5.627,1213976576.0,174366720.0,775929856.0,34742947840.0,0.0,335872.0,2236164.0,2258991.0
30-09 18:45:06,8.170,3.241,84.200,0.0,0.0,4.389,1214455808.0,174366720.0,775938048.0,34742460416.0,0.0,20480.0,1946657.0,1932985.0
30-09 18:45:07,7.781,2.639,85.656,0.0,0.0,3.924,1214193664.0,174366720.0,775938048.0,34742722560.0,0.0,8192.0,1975804.0,1968357.0
30-09 18:45:08,10.087,4.842,79.960,0.067,0.0,5.044,1203314688.0,174366720.0,775938048.0,34753601536.0,0.0,438272.0,2286980.0,2261402.0
30-09 18:45:09,11.203,5.223,77.320,0.481,0.0,5.773,1212723200.0,174366720.0,775942144.0,34744188928.0,0.0,5406720.0,2430410.0,2199828.0
30-09 18:45:10,8.980,3.878,83.265,0.136,0.0,3.741,1220775936.0,174366720.0,775946240.0,34736132096.0,0.0,1912832.0,2224598.0,2111987.0
30-09 18:45:11,8.702,3.739,83.005,0.0,0.0,4.555,1222688768.0,174366720.0,775946240.0,34734219264.0,0.0,0.0,2139287.0,2139039.0
30-09 18:45:12,7.124,3.360,85.417,0.0,0.0,4.099,1223045120.0,174366720.0,775946240.0,34733862912.0,0.0,16384.0,1914302.0,1898693.0
30-09 18:45:13,9.717,3.981,80.904,0.202,0.0,5.196,1223233536.0,174374912.0,775946240.0,34733666304.0,0.0,323584.0,2124125.0,2129436.0
30-09 18:45:14,8.666,4.942,81.313,0.203,0.0,4.875,1223049216.0,174374912.0,775954432.0,34733842432.0,0.0,385024.0,2144495.0,2162737.0
30-09 18:45:15,6.622,3.010,86.756,0.0,0.0,3.612,1223499776.0,174374912.0,775958528.0,34733387776.0,0.0,0.0,1754803.0,1750125.0
30-09 18:45:16,8.573,3.550,83.389,0.0,0.0,4.488,1224011776.0,174374912.0,775958528.0,34732875776.0,0.0,0.0,2028624.0,2010538.0
30-09 18:45:17,7.490,3.644,84.345,0.0,0.0,4.521,1223880704.0,174374912.0,775958528.0,34733006848.0,0.0,69632.0,2072731.0,2068960.0
30-09 18:45:18,10.190,4.891,79.484,0.272,0.0,5.163,1224454144.0,174391296.0,775958528.0,34732417024.0,0.0,876544.0,2213517.0,2213414.0
30-09 18:45:19,11.631,5.013,77.674,0.468,0.0,5.214,1229037568.0,174399488.0,775966720.0,34727817216.0,0.0,5365760.0,2536653.0,2231521.0
30-09 18:45:20,7.827,4.116,83.941,0.067,0.0,4.049,1233145856.0,174399488.0,775970816.0,34723704832.0,0.0,1593344.0,2081886.0,1980907.0
30-09 18:45:21,8.417,3.340,84.836,0.0,0.0,3.407,1233338368.0,174399488.0,775970816.0,34723512320.0,0.0,0.0,1934833.0,1932577.0
30-09 18:45:22,7.240,3.654,85.656,0.135,0.0,3.315,1233620992.0,174403584.0,775970816.0,34723225600.0,0.0,311296.0,1811610.0,1824738.0
30-09 18:45:23,10.487,4.533,79.093,0.271,0.0,5.616,1233797120.0,174407680.0,775979008.0,34723037184.0,0.0,360448.0,2166718.0,2189617.0
30-09 18:45:24,7.519,2.597,86.261,0.0,0.0,3.623,1222189056.0,174407680.0,775983104.0,34734641152.0,0.0,36864.0,1746802.0,1733355.0
30-09 18:45:25,7.296,3.548,84.940,0.0,0.0,4.217,1222324224.0,174407680.0,775983104.0,34734505984.0,0.0,8192.0,1967863.0,1962762.0
30-09 18:45:26,7.234,3.349,85.666,0.067,0.0,3.684,1222909952.0,174407680.0,775983104.0,34733920256.0,0.0,77824.0,1875208.0,1869666.0
30-09 18:45:27,8.024,4.248,83.007,0.337,0.0,4.383,1222995968.0,174419968.0,775979008.0,34733826048.0,0.0,503808.0,1901091.0,1943235.0
30-09 18:45:28,7.867,3.267,85.200,0.133,0.0,3.533,1212342272.0,174419968.0,775991296.0,34744467456.0,0.0,450560.0,1611935.0,1580787.0
30-09 18:45:29,11.066,5.328,77.869,0.205,0.0,5.533,1221758976.0,174428160.0,775991296.0,34735042560.0,0.0,4976640.0,2481707.0,2204270.0
30-09 18:45:30,7.866,3.899,83.995,0.137,0.0,4.104,1228521472.0,174428160.0,775991296.0,34728280064.0,0.0,1761280.0,2155508.0,2017767.0
30-09 18:45:31,7.713,4.292,83.300,0.268,0.0,4.427,1229733888.0,174428160.0,775991296.0,34727067648.0,0.0,335872.0,2012238.0,2018034.0
30-09 18:45:32,9.783,4.552,80.163,0.204,0.0,5.299,1231847424.0,174432256.0,775999488.0,34724941824.0,0.0,397312.0,2179091.0,2195724.0
30-09 18:45:33,9.140,3.562,83.333,0.0,0.0,3.965,1233375232.0,174432256.0,776003584.0,34723409920.0,0.0,0.0,2127296.0,2113589.0
30-09 18:45:34,7.330,3.430,85.541,0.067,0.0,3.631,1234382848.0,174432256.0,776003584.0,34722402304.0,0.0,24576.0,1861462.0,1851975.0
30-09 18:45:35,8.704,3.846,82.659,0.0,0.0,4.791,1234284544.0,174432256.0,776003584.0,34722500608.0,0.0,94208.0,2173971.0,2158415.0
30-09 18:45:36,8.993,4.598,80.730,0.338,0.0,5.341,1235013632.0,174444544.0,776007680.0,34721755136.0,0.0,557056.0,2166553.0,2198278.0
30-09 18:45:37,9.980,3.734,81.602,0.0,0.0,4.684,1235562496.0,174444544.0,776015872.0,34721198080.0,0.0,90112.0,2209867.0,2189056.0
30-09 18:45:38,9.141,3.479,82.879,0.0,0.0,4.502,1237225472.0,174444544.0,776015872.0,34719535104.0,0.0,356352.0,2256600.0,2229343.0
30-09 18:45:39,8.717,3.844,83.253,0.343,0.0,3.844,1241346048.0,174444544.0,776015872.0,34715414528.0,0.0,4902912.0,2201522.0,1919197.0
30-09 18:45:40,9.398,4.327,81.542,0.203,0.0,4.530,1247453184.0,174456832.0,776015872.0,34709295104.0,0.0,2056192.0,2216651.0,2094719.0
30-09 18:45:41,9.993,4.215,81.373,0.136,0.0,4.283,1248677888.0,174460928.0,776028160.0,34708054016.0,0.0,339968.0,2032153.0,2051073.0
30-09 18:45:42,7.378,3.018,85.781,0.0,0.0,3.823,1248411648.0,174460928.0,776028160.0,34708320256.0,0.0,0.0,1766084.0,1758111.0
30-09 18:45:43,8.126,3.559,84.553,0.067,0.0,3.694,1248604160.0,174460928.0,776028160.0,34708127744.0,0.0,28672.0,2097695.0,2084111.0
30-09 18:45:44,8.090,3.739,83.345,0.0,0.0,4.827,1249386496.0,174460928.0,776028160.0,34707345408.0,0.0,86016.0,2191641.0,2164245.0
30-09 18:45:45,9.171,4.144,81.522,0.272,0.0,4.891,1249341440.0,174481408.0,776019968.0,34707378176.0,0.0,446464.0,1978151.0,2020346.0
30-09 18:45:46,7.919,3.691,84.564,0.067,0.0,3.758,1250013184.0,174485504.0,776040448.0,34706681856.0,0.0,77824.0,2031555.0,2009938.0
30-09 18:45:47,7.810,3.605,84.579,0.0,0.0,4.005,1249456128.0,174485504.0,776040448.0,34707238912.0,0.0,0.0,1908150.0,1910173.0
30-09 18:45:48,7.244,3.182,86.188,0.0,0.0,3.385,1250369536.0,174485504.0,776040448.0,34706325504.0,0.0,352256.0,1964557.0,1934787.0
30-09 18:45:49,10.307,4.983,80.137,0.546,0.0,4.027,1254125568.0,174497792.0,776040448.0,34702557184.0,0.0,5591040.0,2241813.0,1957929.0
30-09 18:45:50,9.643,3.439,81.861,0.270,0.0,4.788,1258053632.0,174497792.0,776048640.0,34698620928.0,0.0,1802240.0,1989770.0,1923715.0
30-09 18:45:51,8.611,3.672,83.712,0.0,0.0,4.005,1257877504.0,174497792.0,776048640.0,34698797056.0,0.0,16384.0,2070886.0,2070206.0
30-09 18:45:52,7.375,3.518,85.521,0.0,0.0,3.586,1258422272.0,174497792.0,776048640.0,34698252288.0,0.0,0.0,1945139.0,1928140.0
30-09 18:45:53,6.631,3.586,85.656,0.135,0.0,3.992,1258831872.0,174497792.0,776048640.0,34697842688.0,0.0,122880.0,1873180.0,1863203.0
30-09 18:45:54,10.048,5.431,78.887,0.204,0.0,5.431,1260130304.0,174514176.0,776044544.0,34696531968.0,0.0,536576.0,1991151.0,2017036.0
30-09 18:45:55,8.361,3.813,83.010,0.0,0.0,4.816,1263116288.0,174514176.0,776060928.0,34693529600.0,0.0,118784.0,2177702.0,2169043.0
30-09 18:45:56,7.109,3.453,85.511,0.068,0.0,3.859,1263144960.0,174514176.0,776065024.0,34693496832.0,0.0,98304.0,1893433.0,1888811.0
30-09 18:45:57,8.766,4.181,81.726,0.0,0.0,5.327,1263144960.0,174514176.0,776065024.0,34693496832.0,0.0,0.0,2246064.0,2209600.0
30-09 18:45:58,7.279,3.333,85.510,0.068,0.0,3.810,1262784512.0,174514176.0,776065024.0,34693857280.0,0.0,634880.0,1989647.0,1983291.0
30-09 18:45:59,11.371,4.893,78.084,0.414,0.0,5.238,1255264256.0,174522368.0,776073216.0,34701361152.0,0.0,5693440.0,2342420.0,2073397.0
30-09 18:46:00,8.005,3.053,84.464,0.068,0.0,4.410,1261178880.0,174522368.0,776077312.0,34695442432.0,0.0,1437696.0,2080011.0,1956950.0
30-09 18:46:01,8.396,3.686,83.345,0.0,0.0,4.573,1262968832.0,174522368.0,776077312.0,34693652480.0,0.0,8192.0,2170440.0,2162383.0
