"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-192938-workloadb-32-client.csv 1 400",,,,"Date:","30 Sep 2020 18:29:45 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 18:29:45,1.210,0.956,96.390,0.002,0.0,1.442,349855744.0,48074752.0,648978432.0,35860312064.0,18272.047,8916.463,0.0,0.0
30-09 18:29:46,0.0,0.0,100.0,0.0,0.0,0.0,349687808.0,48074752.0,648974336.0,35860484096.0,0.0,0.0,291.0,282.0
30-09 18:29:47,0.0,0.0,100.0,0.0,0.0,0.0,349102080.0,48074752.0,648974336.0,35861069824.0,0.0,0.0,251.0,251.0
30-09 18:29:48,0.0,0.0,100.0,0.0,0.0,0.0,349102080.0,48074752.0,648974336.0,35861069824.0,0.0,0.0,151.0,160.0
30-09 18:29:49,0.0,0.063,99.937,0.0,0.0,0.0,349102080.0,48074752.0,648974336.0,35861069824.0,0.0,0.0,1453.0,1432.0
30-09 18:29:50,0.0,0.0,100.0,0.0,0.0,0.0,349356032.0,48074752.0,648974336.0,35860815872.0,0.0,0.0,1635.0,1719.0
30-09 18:29:51,0.188,0.0,99.812,0.0,0.0,0.0,349360128.0,48087040.0,648962048.0,35860811776.0,0.0,49152.0,291.0,282.0
30-09 18:29:52,0.0,0.0,100.0,0.0,0.0,0.0,349360128.0,48087040.0,648962048.0,35860811776.0,0.0,0.0,291.0,282.0
30-09 18:29:53,0.0,0.0,100.0,0.0,0.0,0.0,349360128.0,48087040.0,648962048.0,35860811776.0,0.0,0.0,91.0,100.0
30-09 18:29:54,1.384,0.881,97.610,0.0,0.0,0.126,375537664.0,48087040.0,649003008.0,35834593280.0,0.0,0.0,4651.0,4073.0
30-09 18:29:55,1.781,2.417,95.547,0.0,0.0,0.254,408444928.0,48197632.0,649052160.0,35801526272.0,0.0,458752.0,52936.0,65381.0
