"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-195745-workloadc-16-client.csv 1 400",,,,"Date:","30 Sep 2020 18:57:51 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 18:57:51,1.198,0.950,96.363,0.002,0.0,1.486,354598912.0,50192384.0,651583488.0,35850846208.0,17407.264,8964.928,0.0,0.0
30-09 18:57:52,0.0,0.0,100.0,0.0,0.0,0.0,353972224.0,50192384.0,651583488.0,35851472896.0,0.0,0.0,191.0,191.0
30-09 18:57:53,0.062,0.062,99.875,0.0,0.0,0.0,354111488.0,50192384.0,651583488.0,35851333632.0,0.0,0.0,291.0,282.0
30-09 18:57:54,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50192384.0,651583488.0,35851378688.0,0.0,0.0,360.0,513.0
30-09 18:57:55,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50192384.0,651583488.0,35851378688.0,0.0,0.0,291.0,282.0
30-09 18:57:56,0.0,0.062,99.938,0.0,0.0,0.0,354066432.0,50192384.0,651583488.0,35851378688.0,0.0,0.0,91.0,100.0
30-09 18:57:57,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50204672.0,651571200.0,35851378688.0,0.0,49152.0,2062.0,2075.0
30-09 18:57:58,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50204672.0,651571200.0,35851378688.0,0.0,0.0,91.0,100.0
30-09 18:57:59,0.062,0.0,99.938,0.0,0.0,0.0,354066432.0,50204672.0,651571200.0,35851378688.0,0.0,0.0,647.0,761.0
30-09 18:58:00,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50204672.0,651571200.0,35851378688.0,0.0,0.0,351.0,342.0
30-09 18:58:01,0.0,0.0,100.0,0.0,0.0,0.0,354066432.0,50204672.0,651571200.0,35851378688.0,0.0,0.0,291.0,282.0
30-09 18:58:02,0.0,0.062,99.938,0.0,0.0,0.0,354045952.0,50204672.0,651583488.0,35851386880.0,0.0,4096.0,181.0,100.0
30-09 18:58:03,0.0,0.0,100.0,0.0,0.0,0.0,354045952.0,50204672.0,651583488.0,35851386880.0,0.0,0.0,191.0,191.0
30-09 18:58:04,0.062,0.0,99.938,0.0,0.0,0.0,354045952.0,50204672.0,651583488.0,35851386880.0,0.0,0.0,614.0,692.0
30-09 18:58:05,0.0,0.0,100.0,0.0,0.0,0.0,354045952.0,50204672.0,651583488.0,35851386880.0,0.0,0.0,91.0,100.0
30-09 18:58:06,0.0,0.0,100.0,0.0,0.0,0.0,354045952.0,50204672.0,651583488.0,35851386880.0,0.0,0.0,191.0,191.0
30-09 18:58:07,0.123,0.0,99.877,0.0,0.0,0.0,354045952.0,50208768.0,651579392.0,35851386880.0,0.0,4096.0,391.0,373.0
30-09 18:58:08,0.0,0.0,100.0,0.0,0.0,0.0,354045952.0,50208768.0,651579392.0,35851386880.0,0.0,0.0,8969.0,4727.0
30-09 18:58:09,0.0,0.063,99.937,0.0,0.0,0.0,354045952.0,50208768.0,651579392.0,35851386880.0,0.0,0.0,547.0,670.0
30-09 18:58:10,1.510,0.944,97.231,0.063,0.0,0.252,381423616.0,50311168.0,651481088.0,35824005120.0,0.0,331776.0,4234.0,3599.0
30-09 18:58:11,2.102,2.994,94.331,0.064,0.0,0.510,397725696.0,50319360.0,651685888.0,35807490048.0,0.0,155648.0,51499.0,65245.0
30-09 18:58:12,3.103,4.137,92.049,0.194,0.0,0.517,427524096.0,50352128.0,651743232.0,35777601536.0,0.0,663552.0,6580.0,7267.0
30-09 18:58:13,7.817,2.649,89.147,0.0,0.0,0.388,422596608.0,50380800.0,651816960.0,35782426624.0,0.0,180224.0,63010.0,46732.0
30-09 18:58:14,18.511,8.652,65.325,0.0,0.0,7.512,471646208.0,50380800.0,651886592.0,35733307392.0,0.0,0.0,1471663.0,738241.0
30-09 18:58:15,9.767,1.196,86.977,0.0,0.0,2.060,490999808.0,50380800.0,651886592.0,35713953792.0,0.0,0.0,4386278.0,902469.0
30-09 18:58:16,7.274,0.590,89.974,0.0,0.0,2.163,508559360.0,50380800.0,651886592.0,35696394240.0,0.0,0.0,3982575.0,815368.0
30-09 18:58:17,7.019,0.837,89.118,0.0,0.0,3.026,515203072.0,50380800.0,651886592.0,35689750528.0,0.0,0.0,4354820.0,892319.0
30-09 18:58:18,0.457,0.391,96.934,0.0,0.0,2.218,506576896.0,50388992.0,651878400.0,35698376704.0,0.0,81920.0,4403295.0,903470.0
30-09 18:58:19,0.781,0.651,95.966,0.0,0.0,2.602,519106560.0,50388992.0,651886592.0,35685838848.0,0.0,0.0,4519720.0,923252.0
30-09 18:58:20,0.391,0.522,96.741,0.0,0.0,2.347,519917568.0,50388992.0,651886592.0,35685027840.0,0.0,0.0,4679401.0,960143.0
30-09 18:58:21,0.524,0.524,96.924,0.0,0.0,2.029,520310784.0,50388992.0,651886592.0,35684634624.0,0.0,0.0,4660125.0,954876.0
30-09 18:58:22,0.587,0.457,96.804,0.0,0.0,2.153,521490432.0,50388992.0,651886592.0,35683454976.0,0.0,8192.0,4702355.0,962249.0
30-09 18:58:23,5.867,0.709,90.135,0.0,0.0,3.288,538243072.0,50388992.0,651886592.0,35666702336.0,0.0,0.0,4591656.0,939920.0
30-09 18:58:24,0.455,0.781,96.226,0.0,0.0,2.537,550858752.0,50388992.0,651886592.0,35654086656.0,0.0,0.0,4626411.0,948524.0
30-09 18:58:25,0.396,0.396,97.490,0.0,0.0,1.717,552775680.0,50388992.0,651886592.0,35652169728.0,0.0,0.0,4618481.0,945428.0
30-09 18:58:26,0.460,0.329,97.502,0.0,0.0,1.709,550969344.0,50388992.0,651886592.0,35653976064.0,0.0,0.0,4636318.0,949130.0
30-09 18:58:27,0.461,0.395,97.237,0.0,0.0,1.908,552304640.0,50397184.0,651886592.0,35652632576.0,0.0,36864.0,4816728.0,999797.0
30-09 18:58:28,0.394,0.329,97.304,0.0,0.0,1.972,549789696.0,50397184.0,651886592.0,35655147520.0,0.0,0.0,4610452.0,943592.0
30-09 18:58:29,0.262,0.392,97.319,0.0,0.0,2.027,552161280.0,50397184.0,651886592.0,35652775936.0,0.0,0.0,4206863.0,862892.0
30-09 18:58:30,0.329,0.263,97.240,0.0,0.0,2.168,560533504.0,50397184.0,651886592.0,35644403712.0,0.0,0.0,4588481.0,938193.0
30-09 18:58:31,0.524,0.524,96.791,0.0,0.0,2.161,575504384.0,50397184.0,651886592.0,35629432832.0,0.0,0.0,4736845.0,970320.0
