"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-204915-workloadc-64-node20.csv 1 400",,,,"Date:","30 Sep 2020 19:49:21 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 19:49:21,4.847,2.936,89.353,0.510,0.0,2.355,1827237888.0,151425024.0,4729655296.0,30198902784.0,138500.657,2431425.168,0.0,0.0
30-09 19:49:22,0.761,0.444,98.288,0.0,0.0,0.507,1827217408.0,151425024.0,4729651200.0,30198927360.0,0.0,0.0,122303.0,117555.0
30-09 19:49:23,0.567,0.693,98.173,0.0,0.0,0.567,1827307520.0,151425024.0,4729651200.0,30198837248.0,0.0,8192.0,97010.0,96622.0
30-09 19:49:24,0.319,0.446,98.662,0.0,0.0,0.574,1827053568.0,151425024.0,4729651200.0,30199091200.0,0.0,36864.0,127154.0,115065.0
30-09 19:49:25,0.834,0.770,97.754,0.0,0.0,0.642,1826922496.0,151425024.0,4729651200.0,30199222272.0,0.0,81920.0,181919.0,159265.0
30-09 19:49:26,0.381,0.444,98.921,0.0,0.0,0.254,1827147776.0,151425024.0,4729651200.0,30198996992.0,0.0,0.0,97273.0,93047.0
30-09 19:49:27,0.573,0.573,98.155,0.0,0.0,0.700,1827143680.0,151429120.0,4729651200.0,30198996992.0,0.0,143360.0,121385.0,114414.0
30-09 19:49:28,1.913,1.467,95.089,0.191,0.0,1.339,1828474880.0,151429120.0,4729651200.0,30197665792.0,0.0,2912256.0,456374.0,647726.0
30-09 19:49:29,2.378,1.864,93.959,0.193,0.0,1.607,1830027264.0,151429120.0,4729651200.0,30196113408.0,0.0,1978368.0,343147.0,523194.0
30-09 19:49:30,0.574,0.319,98.724,0.064,0.0,0.319,1830027264.0,151429120.0,4729651200.0,30196113408.0,0.0,45056.0,128786.0,117292.0
