"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node11",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-211715-workloadf-32-node11.csv 1 400",,,,"Date:","30 Sep 2020 20:17:21 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 20:17:21,4.000,3.027,90.841,0.184,0.0,1.947,1110003712.0,153894912.0,779345920.0,34863976448.0,161709.947,531892.801,0.0,0.0
30-09 20:17:22,0.443,0.317,99.050,0.0,0.0,0.190,1109794816.0,153894912.0,779374592.0,34864156672.0,0.0,0.0,113440.0,86411.0
30-09 20:17:23,0.759,0.443,98.166,0.0,0.0,0.633,1109893120.0,153894912.0,779374592.0,34864058368.0,0.0,20480.0,122929.0,106564.0
30-09 20:17:24,0.893,0.383,98.022,0.064,0.0,0.638,1109925888.0,153894912.0,779374592.0,34864025600.0,0.0,90112.0,177257.0,137006.0
30-09 20:17:25,0.316,0.442,98.736,0.0,0.0,0.506,1109991424.0,153894912.0,779374592.0,34863960064.0,0.0,16384.0,94256.0,76996.0
30-09 20:17:26,0.824,0.571,98.098,0.0,0.0,0.507,1109889024.0,153899008.0,779374592.0,34864058368.0,0.0,98304.0,138737.0,112623.0
30-09 20:17:27,0.190,0.508,99.048,0.0,0.0,0.254,1109917696.0,153899008.0,779378688.0,34864025600.0,0.0,0.0,92880.0,86292.0
30-09 20:17:28,0.765,0.637,97.897,0.127,0.0,0.574,1110376448.0,153899008.0,779378688.0,34863566848.0,0.0,688128.0,245946.0,114888.0
30-09 20:17:29,0.772,0.643,97.749,0.129,0.0,0.707,1110044672.0,153899008.0,779378688.0,34863898624.0,0.0,1736704.0,449492.0,172357.0
30-09 20:17:30,1.278,0.703,97.572,0.064,0.0,0.383,1110437888.0,153899008.0,779378688.0,34863505408.0,0.0,471040.0,191714.0,174253.0
30-09 20:17:31,0.442,0.442,98.800,0.0,0.0,0.316,1110552576.0,153899008.0,779382784.0,34863386624.0,0.0,4096.0,109598.0,94768.0
30-09 20:17:32,1.212,0.765,97.258,0.064,0.0,0.702,1110552576.0,153899008.0,779382784.0,34863386624.0,0.0,200704.0,187586.0,168760.0
30-09 20:17:33,1.149,0.894,97.382,0.0,0.0,0.575,1110892544.0,153899008.0,779386880.0,34863042560.0,0.0,81920.0,169704.0,132113.0
30-09 20:17:34,0.444,0.444,98.605,0.063,0.0,0.444,1111080960.0,153899008.0,779386880.0,34862854144.0,0.0,16384.0,120090.0,92266.0
30-09 20:17:35,1.923,1.026,94.487,0.0,0.0,2.564,1110945792.0,153899008.0,779390976.0,34862985216.0,0.0,8192.0,312211.0,397790.0
30-09 20:17:36,3.255,1.042,93.294,0.0,0.0,2.409,1111715840.0,153899008.0,779399168.0,34862206976.0,0.0,0.0,645530.0,647014.0
30-09 20:17:37,4.362,1.454,92.333,0.066,0.0,1.785,1112203264.0,153899008.0,779403264.0,34861715456.0,0.0,106496.0,976366.0,905034.0
30-09 20:17:38,4.393,2.361,91.213,0.0,0.0,2.033,1112367104.0,153899008.0,779403264.0,34861551616.0,0.0,565248.0,1099420.0,945732.0
30-09 20:17:39,4.279,1.646,92.363,0.066,0.0,1.646,1112289280.0,153899008.0,779407360.0,34861625344.0,0.0,1638400.0,1154164.0,862548.0
30-09 20:17:40,4.582,1.926,92.098,0.133,0.0,1.262,1112862720.0,153899008.0,779407360.0,34861051904.0,0.0,565248.0,996290.0,940986.0
30-09 20:17:41,3.623,1.976,92.622,0.0,0.0,1.779,1112764416.0,153899008.0,779407360.0,34861150208.0,0.0,28672.0,950834.0,900700.0
30-09 20:17:42,5.193,1.731,90.746,0.067,0.0,2.264,1112829952.0,153899008.0,779407360.0,34861084672.0,0.0,98304.0,1082274.0,1007981.0
30-09 20:17:43,4.194,1.573,92.792,0.0,0.0,1.442,1112993792.0,153899008.0,779407360.0,34860920832.0,0.0,69632.0,864380.0,812950.0
30-09 20:17:44,4.236,1.919,91.727,0.0,0.0,2.118,1112797184.0,153899008.0,779407360.0,34861117440.0,0.0,8192.0,1015438.0,957951.0
30-09 20:17:45,3.621,1.777,92.956,0.0,0.0,1.646,1112928256.0,153899008.0,779407360.0,34860986368.0,0.0,0.0,909303.0,867230.0
30-09 20:17:46,4.026,1.320,92.607,0.066,0.0,1.980,1112862720.0,153899008.0,779407360.0,34861051904.0,0.0,135168.0,984844.0,908392.0
30-09 20:17:47,3.704,2.050,91.468,0.066,0.0,2.712,1113288704.0,153899008.0,779407360.0,34860625920.0,0.0,53248.0,1064188.0,1001329.0
30-09 20:17:48,3.131,1.500,93.477,0.0,0.0,1.892,1112535040.0,153899008.0,779407360.0,34861379584.0,0.0,450560.0,875512.0,751212.0
30-09 20:17:49,6.499,2.056,88.793,0.133,0.0,2.520,1114181632.0,153899008.0,779407360.0,34859732992.0,0.0,1699840.0,1432519.0,1117794.0
30-09 20:17:50,4.123,1.702,92.605,0.065,0.0,1.505,1113821184.0,153903104.0,779407360.0,34860089344.0,0.0,487424.0,810472.0,764882.0
30-09 20:17:51,3.721,1.794,92.226,0.066,0.0,2.193,1114820608.0,153903104.0,779407360.0,34859089920.0,0.0,98304.0,953132.0,896424.0
30-09 20:17:52,3.357,1.712,93.219,0.066,0.0,1.646,1115131904.0,153903104.0,779411456.0,34858774528.0,0.0,53248.0,927652.0,860855.0
30-09 20:17:53,4.131,2.295,91.738,0.0,0.0,1.836,1114611712.0,153903104.0,779411456.0,34859294720.0,0.0,24576.0,901411.0,860517.0
30-09 20:17:54,3.503,2.049,92.333,0.0,0.0,2.115,1115258880.0,153903104.0,779411456.0,34858647552.0,0.0,0.0,978492.0,935576.0
30-09 20:17:55,4.128,1.966,92.005,0.066,0.0,1.835,1115226112.0,153903104.0,779411456.0,34858680320.0,0.0,65536.0,944174.0,876205.0
30-09 20:17:56,5.0,1.974,91.382,0.0,0.0,1.645,1115095040.0,153903104.0,779411456.0,34858811392.0,0.0,86016.0,995153.0,930742.0
30-09 20:17:57,4.831,1.853,91.198,0.0,0.0,2.118,1109766144.0,153903104.0,779411456.0,34864140288.0,0.0,0.0,1000161.0,962912.0
30-09 20:17:58,4.282,1.713,92.227,0.0,0.0,1.779,1109639168.0,153903104.0,779411456.0,34864267264.0,0.0,458752.0,1014713.0,870906.0
30-09 20:17:59,4.503,2.649,90.397,0.132,0.0,2.318,1110126592.0,153903104.0,779411456.0,34863779840.0,0.0,1757184.0,1333604.0,1034143.0
30-09 20:18:00,4.563,1.984,91.336,0.132,0.0,1.984,1110147072.0,153903104.0,779411456.0,34863759360.0,0.0,503808.0,1030921.0,960237.0
30-09 20:18:01,3.108,1.455,93.783,0.0,0.0,1.653,1110147072.0,153903104.0,779411456.0,34863759360.0,0.0,53248.0,878015.0,827143.0
30-09 20:18:02,3.435,1.717,92.801,0.0,0.0,2.048,1110016000.0,153903104.0,779411456.0,34863890432.0,0.0,8192.0,918882.0,876462.0
