"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/cockroach-20200930-212415-workloadf-64-client.csv 1 400",,,,"Date:","30 Sep 2020 20:24:21 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 20:24:21,1.118,0.897,96.368,0.002,0.0,1.614,358621184.0,54202368.0,654790656.0,35839606784.0,15194.318,8540.298,0.0,0.0
30-09 20:24:22,0.249,0.062,99.626,0.0,0.0,0.062,357093376.0,54202368.0,654790656.0,35841134592.0,0.0,0.0,191.0,191.0
30-09 20:24:23,0.062,0.0,99.938,0.0,0.0,0.0,356323328.0,54202368.0,654790656.0,35841904640.0,0.0,0.0,291.0,282.0
30-09 20:24:24,0.0,0.0,100.0,0.0,0.0,0.0,356323328.0,54202368.0,654790656.0,35841904640.0,0.0,0.0,91.0,100.0
30-09 20:24:25,0.0,0.0,100.0,0.0,0.0,0.0,356323328.0,54202368.0,654790656.0,35841904640.0,0.0,0.0,614.0,633.0
30-09 20:24:26,0.0,0.0,100.0,0.0,0.0,0.0,356298752.0,54214656.0,654778368.0,35841929216.0,0.0,49152.0,667.0,166.0
30-09 20:24:27,0.0,0.062,99.938,0.0,0.0,0.0,356286464.0,54214656.0,654790656.0,35841929216.0,0.0,0.0,91.0,100.0
30-09 20:24:28,0.063,0.0,99.937,0.0,0.0,0.0,356286464.0,54214656.0,654790656.0,35841929216.0,0.0,0.0,391.0,373.0
30-09 20:24:29,0.0,0.0,100.0,0.0,0.0,0.0,356413440.0,54214656.0,654790656.0,35841802240.0,0.0,0.0,91.0,100.0
30-09 20:24:30,0.0,0.0,100.0,0.0,0.0,0.0,356413440.0,54214656.0,654790656.0,35841802240.0,0.0,0.0,548.0,677.0
