"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-120026-workloada-256-client.csv 1 400",,,,"Date:","30 Sep 2020 11:00:33 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 11:00:33,0.803,0.623,97.466,0.006,0.0,1.102,359010304.0,27308032.0,582209536.0,35938693120.0,79943.635,21414.085,0.0,0.0
30-09 11:00:34,0.062,0.062,99.876,0.0,0.0,0.0,357707776.0,27308032.0,582238208.0,35939966976.0,0.0,0.0,291.0,282.0
30-09 11:00:35,0.0,0.0,100.0,0.0,0.0,0.0,357707776.0,27308032.0,582238208.0,35939966976.0,0.0,0.0,251.0,251.0
30-09 11:00:36,0.0,0.0,100.0,0.0,0.0,0.0,357707776.0,27308032.0,582238208.0,35939966976.0,0.0,4096.0,191.0,191.0
30-09 11:00:37,0.0,0.063,99.937,0.0,0.0,0.0,357707776.0,27308032.0,582238208.0,35939966976.0,0.0,0.0,514.0,601.0
30-09 11:00:38,0.062,0.062,99.875,0.0,0.0,0.0,357707776.0,27320320.0,582225920.0,35939966976.0,0.0,49152.0,411.0,402.0
30-09 11:00:39,0.0,0.0,100.0,0.0,0.0,0.0,357695488.0,27320320.0,582238208.0,35939966976.0,0.0,0.0,8915.0,14559.0
30-09 11:00:40,0.0,0.062,99.938,0.0,0.0,0.0,357695488.0,27320320.0,582238208.0,35939966976.0,0.0,0.0,191.0,191.0
30-09 11:00:41,1.375,1.195,97.310,0.060,0.0,0.060,385150976.0,27430912.0,582127616.0,35912511488.0,0.0,516096.0,8111.0,7583.0
30-09 11:00:42,2.801,3.005,93.784,0.137,0.0,0.273,401604608.0,27496448.0,582348800.0,35895771136.0,0.0,581632.0,5539.0,5225.0
30-09 11:00:43,12.071,2.287,85.260,0.0,0.0,0.381,441081856.0,27500544.0,582451200.0,35856187392.0,0.0,0.0,1392.0,1764.0
30-09 11:00:44,12.165,3.074,84.565,0.0,0.0,0.196,519254016.0,27500544.0,582455296.0,35778011136.0,0.0,0.0,211.0,618.0
30-09 11:00:45,13.531,3.762,82.508,0.0,0.0,0.198,546656256.0,27500544.0,582455296.0,35750608896.0,0.0,0.0,767.0,191.0
30-09 11:00:46,15.173,8.633,75.147,0.0,0.0,1.046,610369536.0,27500544.0,582508544.0,35686842368.0,0.0,192512.0,89519.0,74683.0
30-09 11:00:47,15.917,15.850,64.741,0.0,0.0,3.492,662130688.0,27500544.0,582561792.0,35635027968.0,0.0,0.0,313509.0,316694.0
30-09 11:00:48,11.490,12.541,71.241,0.0,0.0,4.728,735604736.0,27508736.0,582578176.0,35561529344.0,0.0,90112.0,446755.0,532228.0
30-09 11:00:49,8.317,21.676,65.619,0.0,0.0,4.388,792694784.0,27508736.0,582623232.0,35504394240.0,0.0,0.0,379109.0,422816.0
30-09 11:00:50,10.972,19.645,65.177,0.0,0.0,4.205,846929920.0,27508736.0,582647808.0,35450134528.0,0.0,0.0,456346.0,504510.0
30-09 11:00:51,16.024,11.569,67.952,0.0,0.0,4.455,949952512.0,27508736.0,582647808.0,35347111936.0,0.0,0.0,589868.0,630801.0
