"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-114620-workloada-64-node20.csv 1 400",,,,"Date:","30 Sep 2020 10:46:27 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 10:46:27,1.483,0.649,97.153,0.019,0.0,0.696,8721534976.0,24199168.0,1534554112.0,26626932736.0,80395.547,237840.515,0.0,0.0
30-09 10:46:28,0.062,0.062,99.751,0.0,0.0,0.125,8721670144.0,24199168.0,1534582784.0,26626768896.0,0.0,0.0,28616.0,29279.0
30-09 10:46:29,0.0,0.0,99.874,0.0,0.0,0.126,8721670144.0,24199168.0,1534582784.0,26626768896.0,0.0,0.0,30089.0,31358.0
30-09 10:46:30,0.0,0.0,99.874,0.0,0.0,0.126,8721670144.0,24199168.0,1534582784.0,26626768896.0,0.0,0.0,32188.0,32212.0
30-09 10:46:31,0.125,0.125,99.562,0.0,0.0,0.188,8721838080.0,24199168.0,1534582784.0,26626600960.0,0.0,0.0,35138.0,39702.0
30-09 10:46:32,0.0,0.0,99.937,0.0,0.0,0.063,8721956864.0,24199168.0,1534582784.0,26626482176.0,0.0,0.0,29170.0,30379.0
30-09 10:46:33,0.063,0.0,99.874,0.0,0.0,0.063,8721944576.0,24211456.0,1534582784.0,26626482176.0,0.0,49152.0,30590.0,29578.0
30-09 10:46:34,0.0,0.0,99.812,0.0,0.0,0.188,8721944576.0,24211456.0,1534582784.0,26626482176.0,0.0,0.0,26989.0,27796.0
30-09 10:46:35,0.189,0.063,99.686,0.0,0.0,0.063,8721911808.0,24211456.0,1534582784.0,26626514944.0,0.0,61440.0,33424.0,31439.0
30-09 10:46:36,0.062,0.062,99.813,0.0,0.0,0.062,8721911808.0,24211456.0,1534582784.0,26626514944.0,0.0,0.0,28473.0,26956.0
30-09 10:46:37,0.0,0.0,99.874,0.0,0.0,0.126,8721911808.0,24211456.0,1534582784.0,26626514944.0,0.0,0.0,28878.0,28632.0
30-09 10:46:38,0.376,0.063,99.123,0.0,0.0,0.438,8721911808.0,24211456.0,1534582784.0,26626514944.0,0.0,0.0,46728.0,49447.0
30-09 10:46:39,1.917,0.895,94.696,0.0,0.0,2.492,8722960384.0,24211456.0,1534607360.0,26625441792.0,0.0,0.0,342906.0,366374.0
30-09 10:46:40,3.374,2.271,90.461,0.0,0.0,3.894,8724680704.0,24219648.0,1534685184.0,26623635456.0,0.0,65536.0,728377.0,804186.0
30-09 10:46:41,4.180,3.396,88.439,0.0,0.0,3.984,8724131840.0,24219648.0,1534951424.0,26623918080.0,0.0,0.0,918030.0,1003668.0
30-09 10:46:42,9.030,5.151,79.064,0.0,0.0,6.756,8724627456.0,24219648.0,1535221760.0,26623152128.0,0.0,0.0,1529092.0,1705725.0
30-09 10:46:43,8.446,5.541,79.392,0.0,0.0,6.622,8724389888.0,24219648.0,1535721472.0,26622889984.0,0.0,0.0,1592990.0,1801336.0
30-09 10:46:44,10.080,6.275,78.037,0.0,0.0,5.607,8724529152.0,24219648.0,1536180224.0,26622291968.0,0.0,0.0,1531212.0,1756952.0
30-09 10:46:45,34.269,6.480,54.175,0.0,0.0,5.077,8725381120.0,24227840.0,1536712704.0,26620899328.0,0.0,2203648.0,811552.0,901816.0
30-09 10:46:46,23.139,5.969,65.795,0.0,0.0,5.097,8727830528.0,24227840.0,1536917504.0,26618245120.0,0.0,0.0,1244181.0,1415572.0
30-09 10:46:47,20.339,7.186,65.898,0.0,0.0,6.576,8774696960.0,24227840.0,1537363968.0,26570932224.0,0.0,0.0,1632078.0,1859305.0
