"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-123920-workloadb-128-client.csv 1 400",,,,"Date:","30 Sep 2020 11:39:26 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 11:39:26,1.301,1.010,95.956,0.005,0.0,1.727,356868096.0,30138368.0,583323648.0,35936890880.0,60002.074,18480.311,0.0,0.0
30-09 11:39:27,0.125,0.0,99.875,0.0,0.0,0.0,356139008.0,30138368.0,583352320.0,35937591296.0,0.0,0.0,1357.0,1348.0
30-09 11:39:28,0.063,0.125,99.812,0.0,0.0,0.0,356012032.0,30138368.0,583352320.0,35937718272.0,0.0,0.0,291.0,282.0
30-09 11:39:29,0.063,0.0,99.937,0.0,0.0,0.0,356003840.0,30138368.0,583352320.0,35937726464.0,0.0,0.0,91.0,100.0
30-09 11:39:30,0.0,0.0,100.0,0.0,0.0,0.0,356003840.0,30138368.0,583352320.0,35937726464.0,0.0,0.0,608.0,730.0
30-09 11:39:31,0.0,0.0,100.0,0.0,0.0,0.0,356003840.0,30150656.0,583340032.0,35937726464.0,0.0,53248.0,91.0,100.0
30-09 11:39:32,0.0,0.0,100.0,0.0,0.0,0.0,356003840.0,30150656.0,583340032.0,35937726464.0,0.0,0.0,291.0,282.0
30-09 11:39:33,0.0,0.063,99.937,0.0,0.0,0.0,355991552.0,30150656.0,583352320.0,35937726464.0,0.0,0.0,291.0,282.0
30-09 11:39:34,0.062,0.0,99.938,0.0,0.0,0.0,355991552.0,30150656.0,583352320.0,35937726464.0,0.0,0.0,291.0,282.0
30-09 11:39:35,0.0,0.0,100.0,0.0,0.0,0.0,355991552.0,30150656.0,583352320.0,35937726464.0,0.0,0.0,351.0,342.0
30-09 11:39:36,0.125,0.0,99.875,0.0,0.0,0.0,355991552.0,30150656.0,583352320.0,35937726464.0,0.0,36864.0,448.0,579.0
30-09 11:39:37,0.0,0.0,100.0,0.0,0.0,0.0,355987456.0,30154752.0,583352320.0,35937726464.0,0.0,4096.0,91.0,100.0
30-09 11:39:38,0.062,0.062,99.813,0.0,0.0,0.062,355987456.0,30154752.0,583352320.0,35937726464.0,0.0,0.0,8987.0,14626.0
30-09 11:39:39,0.0,0.0,100.0,0.0,0.0,0.0,355954688.0,30154752.0,583352320.0,35937759232.0,0.0,0.0,191.0,191.0
30-09 11:39:40,0.0,0.0,100.0,0.0,0.0,0.0,355749888.0,30154752.0,583352320.0,35937964032.0,0.0,0.0,191.0,191.0
