"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node23",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-124638-workloadb-256-node23.csv 1 400",,,,"Date:","30 Sep 2020 11:46:55 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 11:46:55,3.939,1.660,92.670,0.028,0.0,1.702,12429373440.0,30593024.0,1488896000.0,22958358528.0,51110.527,466478.512,0.0,0.0
30-09 11:46:56,0.063,0.063,99.687,0.063,0.0,0.125,12427956224.0,30605312.0,1488928768.0,22959730688.0,0.0,53248.0,29303.0,30221.0
30-09 11:46:57,0.126,0.126,99.433,0.0,0.0,0.315,12428574720.0,30605312.0,1488928768.0,22959112192.0,0.0,0.0,39732.0,46908.0
30-09 11:46:58,0.0,0.0,99.937,0.0,0.0,0.063,12428242944.0,30605312.0,1488928768.0,22959443968.0,0.0,0.0,31796.0,31957.0
30-09 11:46:59,0.063,0.063,99.748,0.0,0.0,0.126,12428242944.0,30605312.0,1488928768.0,22959443968.0,0.0,0.0,31659.0,33036.0
30-09 11:47:00,0.063,0.0,99.812,0.0,0.0,0.126,12428242944.0,30605312.0,1488928768.0,22959443968.0,0.0,61440.0,31053.0,32286.0
30-09 11:47:01,0.0,0.063,99.812,0.0,0.0,0.126,12428242944.0,30605312.0,1488928768.0,22959443968.0,0.0,0.0,29405.0,29693.0
30-09 11:47:02,0.125,0.0,99.687,0.0,0.0,0.188,12428242944.0,30613504.0,1488920576.0,22959443968.0,0.0,16384.0,29355.0,30060.0
30-09 11:47:03,0.0,0.063,99.687,0.0,0.0,0.251,12428169216.0,30613504.0,1488928768.0,22959509504.0,0.0,0.0,34723.0,36835.0
30-09 11:47:04,0.063,0.0,99.749,0.0,0.0,0.188,12428169216.0,30613504.0,1488928768.0,22959509504.0,0.0,0.0,32103.0,33591.0
30-09 11:47:05,0.0,0.0,99.937,0.0,0.0,0.063,12428201984.0,30613504.0,1488928768.0,22959476736.0,0.0,0.0,30512.0,31463.0
30-09 11:47:06,0.188,0.063,99.623,0.0,0.0,0.126,12428201984.0,30613504.0,1488928768.0,22959476736.0,0.0,0.0,29551.0,29992.0
30-09 11:47:07,0.252,0.063,99.370,0.0,0.0,0.315,12428251136.0,30613504.0,1488928768.0,22959427584.0,0.0,0.0,46627.0,50247.0
30-09 11:47:08,0.757,0.442,96.404,0.0,0.0,2.397,12428533760.0,30621696.0,1488957440.0,22959108096.0,0.0,28672.0,276873.0,290468.0
30-09 11:47:09,0.952,0.762,96.063,0.0,0.0,2.222,12428996608.0,30621696.0,1489014784.0,22958587904.0,0.0,0.0,317434.0,350301.0
30-09 11:47:10,1.479,1.350,94.855,0.0,0.0,2.315,12428869632.0,30621696.0,1489092608.0,22958637056.0,0.0,0.0,417368.0,478896.0
