"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-133452-workloadc-128-node20.csv 1 400",,,,"Date:","30 Sep 2020 12:34:59 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 12:34:59,4.754,2.048,91.214,0.027,0.0,1.957,9827463168.0,34590720.0,1494794240.0,25550372864.0,38985.723,525080.057,0.0,0.0
30-09 12:35:00,0.125,0.0,99.750,0.0,0.0,0.125,9826222080.0,34590720.0,1494822912.0,25551585280.0,0.0,0.0,34638.0,35246.0
30-09 12:35:01,0.0,0.063,99.812,0.0,0.0,0.126,9826205696.0,34590720.0,1494822912.0,25551601664.0,0.0,0.0,41395.0,47838.0
30-09 12:35:02,0.0,0.126,99.812,0.0,0.0,0.063,9826238464.0,34590720.0,1494822912.0,25551568896.0,0.0,0.0,33977.0,34086.0
30-09 12:35:03,0.252,0.063,99.623,0.0,0.0,0.063,9825857536.0,34590720.0,1494822912.0,25551949824.0,0.0,0.0,34499.0,36880.0
30-09 12:35:04,0.126,0.063,99.686,0.0,0.0,0.126,9825857536.0,34590720.0,1494822912.0,25551949824.0,0.0,0.0,33076.0,32110.0
30-09 12:35:05,0.0,0.063,99.937,0.0,0.0,0.0,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,53248.0,33712.0,34420.0
30-09 12:35:06,0.126,0.0,99.686,0.0,0.0,0.189,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,0.0,33249.0,33785.0
30-09 12:35:07,0.063,0.0,99.812,0.0,0.0,0.125,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,0.0,33327.0,34046.0
30-09 12:35:08,0.0,0.0,99.937,0.0,0.0,0.063,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,0.0,30905.0,29469.0
30-09 12:35:09,0.063,0.0,99.812,0.0,0.0,0.126,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,4096.0,32881.0,34272.0
30-09 12:35:10,0.0,0.0,99.812,0.0,0.0,0.188,9825845248.0,34603008.0,1494822912.0,25551949824.0,0.0,0.0,34578.0,35584.0
30-09 12:35:11,0.125,0.125,99.437,0.0,0.0,0.313,9825636352.0,34603008.0,1494822912.0,25552158720.0,0.0,0.0,34769.0,36496.0
30-09 12:35:12,0.126,0.063,99.497,0.0,0.0,0.314,9825591296.0,34603008.0,1494822912.0,25552203776.0,0.0,0.0,42104.0,50224.0
30-09 12:35:13,0.0,0.0,100.0,0.0,0.0,0.0,9825591296.0,34603008.0,1494822912.0,25552203776.0,0.0,0.0,30161.0,29029.0
30-09 12:35:14,0.126,0.0,99.749,0.0,0.0,0.126,9825591296.0,34607104.0,1494818816.0,25552203776.0,0.0,61440.0,30287.0,30366.0
