"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-132753-workloadc-64-client.csv 1 400",,,,"Date:","30 Sep 2020 12:28:00 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 12:28:00,1.555,1.219,95.210,0.004,0.0,2.012,352632832.0,33148928.0,584171520.0,35937267712.0,45734.455,15996.479,0.0,0.0
30-09 12:28:01,0.0,0.0,100.0,0.0,0.0,0.0,352522240.0,33148928.0,584171520.0,35937378304.0,0.0,0.0,251.0,251.0
30-09 12:28:02,0.0,0.0,100.0,0.0,0.0,0.0,351719424.0,33148928.0,584204288.0,35938148352.0,0.0,0.0,191.0,191.0
30-09 12:28:03,0.0,0.0,100.0,0.0,0.0,0.0,351719424.0,33148928.0,584204288.0,35938148352.0,0.0,0.0,151.0,160.0
30-09 12:28:04,0.0,0.0,100.0,0.0,0.0,0.0,351719424.0,33148928.0,584204288.0,35938148352.0,0.0,0.0,391.0,373.0
30-09 12:28:05,0.0,0.0,100.0,0.0,0.0,0.0,351719424.0,33148928.0,584204288.0,35938148352.0,0.0,0.0,548.0,677.0
30-09 12:28:06,0.063,0.0,99.937,0.0,0.0,0.0,351698944.0,33161216.0,584204288.0,35938156544.0,0.0,53248.0,191.0,191.0
30-09 12:28:07,1.823,0.691,97.423,0.0,0.0,0.063,379564032.0,33161216.0,584204288.0,35910291456.0,0.0,0.0,4194.0,3599.0
30-09 12:28:08,1.782,2.801,95.035,0.127,0.0,0.255,391450624.0,33308672.0,584261632.0,35898200064.0,0.0,884736.0,7710.0,8492.0
30-09 12:28:09,9.698,2.569,87.733,0.0,0.0,0.0,426123264.0,33337344.0,584417280.0,35863343104.0,0.0,184320.0,9976.0,15848.0
30-09 12:28:10,3.800,1.013,95.123,0.0,0.0,0.063,446758912.0,33341440.0,584417280.0,35842703360.0,0.0,0.0,211.0,594.0
30-09 12:28:11,13.746,4.039,81.954,0.0,0.0,0.261,483422208.0,33341440.0,584417280.0,35806040064.0,0.0,0.0,291.0,372.0
30-09 12:28:12,17.845,8.592,70.522,0.0,0.0,3.040,541941760.0,33341440.0,584437760.0,35747500032.0,0.0,8192.0,467345.0,293094.0
