"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node09",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-142206-workloadf-128-client.csv 1 400",,,,"Date:","30 Sep 2020 13:22:13 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 13:22:13,1.848,1.451,94.308,0.004,0.0,2.390,360333312.0,37359616.0,585342976.0,35924185088.0,36134.250,14589.717,0.0,0.0
30-09 13:22:14,0.0,0.0,100.0,0.0,0.0,0.0,360333312.0,37359616.0,585342976.0,35924185088.0,0.0,0.0,648.0,761.0
30-09 13:22:15,0.0,0.0,100.0,0.0,0.0,0.0,359669760.0,37359616.0,585342976.0,35924848640.0,0.0,0.0,91.0,100.0
30-09 13:22:16,0.0,0.0,100.0,0.0,0.0,0.0,359669760.0,37359616.0,585342976.0,35924848640.0,0.0,0.0,191.0,191.0
30-09 13:22:17,0.0,0.0,100.0,0.0,0.0,0.0,359669760.0,37359616.0,585342976.0,35924848640.0,0.0,0.0,191.0,191.0
30-09 13:22:18,0.0,0.063,99.937,0.0,0.0,0.0,358805504.0,37359616.0,585371648.0,35925684224.0,0.0,0.0,91.0,100.0
30-09 13:22:19,0.0,0.063,99.937,0.0,0.0,0.0,358793216.0,37371904.0,585371648.0,35925684224.0,0.0,49152.0,447.0,579.0
30-09 13:22:20,1.193,0.691,97.928,0.0,0.0,0.188,370020352.0,37371904.0,585371648.0,35914457088.0,0.0,0.0,4394.0,3781.0
30-09 13:22:21,1.987,3.141,94.487,0.192,0.0,0.192,429412352.0,37519360.0,585408512.0,35854880768.0,0.0,872448.0,5360.0,7064.0
30-09 13:22:22,8.466,2.482,88.988,0.0,0.0,0.064,434393088.0,37548032.0,585535488.0,35849744384.0,0.0,221184.0,3350.0,2319.0
30-09 13:22:23,10.698,2.819,86.483,0.0,0.0,0.0,482369536.0,37552128.0,585584640.0,35801714688.0,0.0,0.0,371.0,769.0
30-09 13:22:24,17.709,7.637,74.391,0.0,0.0,0.263,527826944.0,37552128.0,585584640.0,35756257280.0,0.0,0.0,11345.0,13142.0
30-09 13:22:25,19.907,9.987,66.799,0.0,0.0,3.307,598310912.0,37552128.0,585609216.0,35685748736.0,0.0,4096.0,392876.0,351787.0
30-09 13:22:26,15.375,13.732,66.886,0.0,0.0,4.008,692199424.0,37552128.0,585650176.0,35591819264.0,0.0,0.0,565241.0,457865.0
