"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-141508-workloadf-64-node20.csv 1 400",,,,"Date:","30 Sep 2020 13:15:15 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send"
30-09 13:15:15,5.142,2.190,90.561,0.030,0.0,2.076,8116412416.0,38469632.0,1527570432.0,27224768512.0,32739.267,580325.542,0.0,0.0
30-09 13:15:16,0.063,0.063,99.750,0.0,0.0,0.125,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,57344.0,28945.0,28622.0
30-09 13:15:17,0.063,0.0,99.874,0.0,0.0,0.063,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,0.0,28719.0,28812.0
30-09 13:15:18,0.0,0.0,99.875,0.0,0.0,0.125,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,0.0,28453.0,27565.0
30-09 13:15:19,0.0,0.063,99.811,0.0,0.0,0.126,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,0.0,29413.0,27922.0
30-09 13:15:20,0.063,0.0,99.874,0.0,0.0,0.063,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,0.0,29826.0,28992.0
30-09 13:15:21,0.0,0.0,99.874,0.0,0.0,0.126,8115191808.0,38481920.0,1527603200.0,27225944064.0,0.0,0.0,27850.0,25776.0
30-09 13:15:22,0.063,0.0,99.812,0.0,0.0,0.126,8115183616.0,38490112.0,1527603200.0,27225944064.0,0.0,16384.0,26667.0,24462.0
30-09 13:15:23,0.063,0.063,99.812,0.0,0.0,0.063,8115183616.0,38490112.0,1527603200.0,27225944064.0,0.0,0.0,29096.0,29380.0
30-09 13:15:24,0.063,0.0,99.874,0.0,0.0,0.063,8115183616.0,38490112.0,1527603200.0,27225944064.0,0.0,0.0,29034.0,27138.0
30-09 13:15:25,0.125,0.0,99.750,0.0,0.0,0.125,8115183616.0,38490112.0,1527603200.0,27225944064.0,0.0,0.0,26349.0,24528.0
30-09 13:15:26,0.252,0.126,99.118,0.0,0.0,0.504,8115183616.0,38490112.0,1527603200.0,27225944064.0,0.0,0.0,61195.0,70578.0
30-09 13:15:27,1.336,0.573,96.310,0.0,0.0,1.781,8115261440.0,38498304.0,1527615488.0,27225845760.0,0.0,24576.0,271792.0,268756.0
30-09 13:15:28,0.956,0.956,96.431,0.0,0.0,1.657,8115691520.0,38498304.0,1527652352.0,27225378816.0,0.0,0.0,275576.0,272525.0
30-09 13:15:29,1.356,0.968,95.352,0.0,0.0,2.324,8115789824.0,38498304.0,1527709696.0,27225223168.0,0.0,0.0,384445.0,379689.0
30-09 13:15:30,2.329,1.294,94.114,0.0,0.0,2.264,8116256768.0,38498304.0,1527775232.0,27224690688.0,0.0,0.0,455803.0,450008.0
30-09 13:15:31,3.562,2.915,90.997,0.065,0.0,2.461,8116121600.0,38498304.0,1527865344.0,27224735744.0,0.0,1019904.0,596965.0,563304.0
30-09 13:15:32,3.966,2.406,90.962,0.0,0.0,2.666,8116514816.0,38506496.0,1527988224.0,27224211456.0,0.0,36864.0,745031.0,722045.0
30-09 13:15:33,11.924,4.611,79.315,0.0,0.0,4.150,8116043776.0,38506496.0,1528299520.0,27224371200.0,0.0,0.0,1229884.0,1168305.0
30-09 13:15:34,13.738,4.293,78.269,0.0,0.0,3.699,8119685120.0,38506496.0,1528610816.0,27220418560.0,0.0,0.0,1123899.0,1054325.0
30-09 13:15:35,5.788,4.325,84.830,0.0,0.0,5.057,8119586816.0,38506496.0,1528954880.0,27220172800.0,0.0,0.0,1360614.0,1311523.0
30-09 13:15:36,3.232,2.375,91.887,0.0,0.0,2.507,8119758848.0,38506496.0,1529167872.0,27219787776.0,0.0,0.0,806184.0,772902.0
30-09 13:15:37,18.127,5.686,72.308,0.0,0.0,3.880,8121315328.0,38514688.0,1529470976.0,27217920000.0,0.0,16384.0,1347787.0,1244695.0
30-09 13:15:38,23.021,6.860,65.699,0.0,0.0,4.420,8152227840.0,38514688.0,1529942016.0,27186536448.0,0.0,0.0,1414117.0,1309690.0
30-09 13:15:39,13.606,5.614,76.486,0.0,0.0,4.293,8182120448.0,38514688.0,1530413056.0,27156172800.0,0.0,0.0,1379658.0,1315080.0
30-09 13:15:40,18.128,4.746,74.621,0.0,0.0,2.505,8192593920.0,38514688.0,1530728448.0,27145383936.0,0.0,0.0,986254.0,934288.0
30-09 13:15:41,6.089,4.500,85.308,0.0,0.0,4.103,8195043328.0,38514688.0,1531023360.0,27142639616.0,0.0,3518464.0,1301197.0,1227102.0
30-09 13:15:42,5.291,3.788,87.982,0.0,0.0,2.939,8194461696.0,38522880.0,1531441152.0,27142795264.0,0.0,53248.0,947993.0,912845.0
30-09 13:15:43,7.809,4.831,82.263,0.0,0.0,5.096,8195629056.0,38522880.0,1531891712.0,27141177344.0,0.0,0.0,1664864.0,1574785.0
30-09 13:15:44,8.874,5.033,81.258,0.0,0.0,4.834,8195653632.0,38522880.0,1532370944.0,27140673536.0,0.0,0.0,1603493.0,1491417.0
30-09 13:15:45,7.525,3.564,85.809,0.0,0.0,3.102,8194940928.0,38522880.0,1532821504.0,27140935680.0,0.0,0.0,1100955.0,1064133.0
30-09 13:15:46,8.806,4.937,80.320,0.0,0.0,5.937,8195276800.0,38522880.0,1533214720.0,27140206592.0,0.0,0.0,1755150.0,1686582.0
30-09 13:15:47,10.544,4.509,79.576,0.0,0.0,5.371,8195395584.0,38531072.0,1533751296.0,27139543040.0,0.0,20480.0,1675301.0,1579213.0
30-09 13:15:48,8.933,5.467,80.800,0.0,0.0,4.800,8196448256.0,38531072.0,1534312448.0,27137929216.0,0.0,0.0,1630604.0,1565648.0
30-09 13:15:49,7.219,3.841,84.834,0.0,0.0,4.106,8195981312.0,38531072.0,1534676992.0,27138031616.0,0.0,0.0,1290380.0,1232424.0
30-09 13:15:50,6.946,4.456,83.748,0.0,0.0,4.849,8195727360.0,38531072.0,1535074304.0,27137888256.0,0.0,0.0,1390477.0,1320166.0
30-09 13:15:51,8.953,4.806,80.382,0.0,0.0,5.859,8197558272.0,38531072.0,1535524864.0,27135606784.0,0.0,0.0,1677753.0,1629985.0
