"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cassandra-40-512-1536-512000-1-0-20210420-122506-0.csv 1 600",,,,"Date:","20 Apr 2021 12:25:08 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
20-04 12:25:08,31.141,11.066,57.639,0.099,0.055,27817922560,2855571456,98185216,2750480384,82543.303,720996.219,0,0
20-04 12:25:09,1.250,0.750,98,0,0,27817947136,2855538688,98185216,2750488576,0,94208,31988,34125
20-04 12:25:10,1.003,0.752,98.246,0,0,27817979904,2855505920,98185216,2750488576,0,4096,15804,15962
20-04 12:25:11,1.754,0.752,97.494,0,0,27817623552,2855862272,98185216,2750488576,0,16384,18867,17274
20-04 12:25:12,7.513,2.073,90.155,0,0.259,27816366080,2857103360,98185216,2750488576,0,0,41702,35617
20-04 12:25:13,26.359,8.424,65.217,0,0,27818655744,2854813696,98185216,2750488576,0,0,148330,180782
20-04 12:25:14,18.028,10.704,70.986,0,0.282,27818754048,2854715392,98185216,2750488576,0,0,294195,363045
20-04 12:25:15,16.176,10.588,72.941,0,0.294,27818688512,2854780928,98185216,2750488576,0,0,336543,413141
20-04 12:25:16,20.282,9.859,69.577,0,0.282,27821010944,2852458496,98185216,2750488576,0,0,307581,377922
20-04 12:25:17,2.015,1.008,96.725,0.252,0,27820974080,2852491264,98189312,2750488576,0,12288,28869,31581
20-04 12:25:18,0.756,0.252,98.992,0,0,27821039616,2852425728,98189312,2750488576,0,0,13416,13524
20-04 12:25:19,2.513,0.503,96.985,0,0,27821039616,2852425728,98189312,2750488576,0,0,26951,26120
20-04 12:25:20,0.503,0.503,98.995,0,0,27820941312,2852524032,98189312,2750488576,0,0,11567,9890
20-04 12:25:21,0.761,0,99.239,0,0,27821002752,2852458496,98193408,2750488576,0,12288,31916,30471
20-04 12:25:22,0.758,0.253,98.990,0,0,27820969984,2852491264,98193408,2750488576,0,0,10619,10309
20-04 12:25:23,13.317,5.276,81.156,0,0.251,27818930176,2854268928,98193408,2750750720,0,0,681920,643842
20-04 12:25:24,74.378,24.627,0.995,0,0,27815522304,2856620032,98193408,2751799296,0,0,4744972,4405276
20-04 12:25:25,72.180,26.065,1.754,0,0,27813707776,2857619456,98193408,2752593920,0,0,4368620,4117581
