"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cassandra-80-1024-3072-1024000-1-0-20210419-101853-client.csv 1 600",,,,"Date:","19 Apr 2021 10:18:56 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
19-04 10:18:56,4.562,2.221,93.200,0.012,0.005,518426624,64817758208,52101120,1929134080,82125.883,239824.472,0,0
19-04 10:18:57,2.447,0.941,96.424,0.188,0,536805376,64799150080,52232192,1929129984,0,2048000,570055,523527
19-04 10:18:58,2.832,2.077,94.965,0.126,0,600281088,64734904320,52252672,1929383936,0,528384,2025,6259
19-04 10:18:59,7.264,1.127,91.609,0,0,578334720,64756072448,52281344,1929543680,0,303104,8543,10108
19-04 10:19:00,18.562,3.125,78.250,0,0.062,946397184,64387715072,52281344,1929543680,0,0,944107,444606
19-04 10:19:01,33.728,3.741,62.531,0,0,1019543552,64314388480,52281344,1929543680,0,0,3442574,2980524
19-04 10:19:02,11.975,5.478,82.484,0,0.064,1033801728,64300130304,52281344,1929543680,0,0,6304788,5389492
19-04 10:19:03,14.056,5.841,80.103,0,0,1063706624,64270225408,52281344,1929543680,0,0,7074217,5714647
19-04 10:19:04,9.280,5.062,85.659,0,0,1099669504,64234262528,52281344,1929543680,0,0,6255941,5052018
19-04 10:19:05,7.956,4.528,87.516,0,0,1099759616,64234164224,52289536,1929543680,0,57344,5850283,4907697
19-04 10:19:06,6.279,4.317,89.339,0,0.065,1119723520,64214200320,52289536,1929543680,0,0,5713061,4703281
19-04 10:19:07,9.424,6.021,84.555,0,0,1160081408,64173842432,52289536,1929543680,0,0,7336171,6118416
19-04 10:19:08,7.862,4.743,87.394,0,0,1161662464,64172261376,52289536,1929543680,0,0,6310378,5264642
19-04 10:19:09,7.623,5.830,86.483,0,0.064,1650819072,63683104768,52289536,1929543680,0,0,5116148,4142474
19-04 10:19:10,19.613,5.059,75.328,0,0,3233386496,62100529152,52297728,1929543680,0,16384,670,373
19-04 10:19:11,19.788,4.994,75.218,0,0,4893667328,60440248320,52297728,1929543680,0,0,291,282
19-04 10:19:12,25.578,3.690,70.732,0,0,5932085248,59401830400,52297728,1929543680,0,0,680,944
19-04 10:19:13,43.975,6.183,49.842,0,0,6981083136,58352832512,52297728,1929543680,0,0,291,282
19-04 10:19:14,30.692,1.684,67.623,0,0,7504920576,57828995072,52297728,1929543680,0,0,157,166
19-04 10:19:15,32.644,3.634,63.722,0,0,8460214272,56873701376,52297728,1929543680,0,0,257,257
19-04 10:19:16,38.250,4.375,57.312,0.062,0,9696772096,55637135360,52305920,1929543680,0,16384,91,100
19-04 10:19:17,46.725,3.868,49.407,0,0,10957434880,54376472576,52305920,1929543680,0,20480,28595,27737
19-04 10:19:18,28.160,2.190,69.650,0,0,11634036736,53699870720,52305920,1929543680,0,0,91,100
19-04 10:19:19,30.386,1.681,67.933,0,0,12051042304,53282865152,52305920,1929543680,0,0,133,142
19-04 10:19:20,31.121,3.569,65.310,0,0,12831121408,52502786048,52305920,1929543680,0,0,91,100
19-04 10:19:21,38.948,4.446,56.606,0,0,13984071680,51349827584,52314112,1929543680,0,12288,291,282
19-04 10:19:22,31.121,3.006,65.874,0,0,14743764992,50590134272,52314112,1929543680,0,0,680,824
19-04 10:19:23,54.683,2.263,42.992,0,0.063,15101497344,50232401920,52314112,1929543680,0,0,257,328
19-04 10:19:24,77.961,11.843,10.196,0,0,15519891456,49814007808,52314112,1929543680,0,0,5751307,7341229
19-04 10:19:25,79.417,13.426,7.156,0,0,15841792000,49492107264,52314112,1929543680,0,0,6781987,9978272
19-04 10:19:26,52.177,16.325,31.498,0,0,15896731648,49437167616,52314112,1929535488,0,0,7747116,12053722
19-04 10:19:27,49.407,14.295,36.232,0,0.066,16055906304,49277984768,52322304,1929535488,0,864256,7545062,11078513
19-04 10:19:28,36.010,16.839,47.150,0,0,16217677824,49116213248,52322304,1929535488,0,0,7923247,11961072
19-04 10:19:29,28.354,16.193,55.453,0,0,16241385472,49092505600,52322304,1929535488,0,0,7718593,12479133
19-04 10:19:30,32.094,17.482,50.359,0,0.065,16543318016,48790573056,52322304,1929535488,0,0,7914535,12181292
19-04 10:19:31,28.817,17.911,53.272,0,0,16862232576,48471658496,52322304,1929535488,0,0,8051736,11868402
19-04 10:19:32,28.524,16.206,55.204,0,0.066,17137651712,48196235264,52322304,1929539584,0,0,7564746,10749099
19-04 10:19:33,28.439,15.482,56.080,0,0,17255763968,48078114816,52330496,1929539584,0,90112,7779351,11323884
19-04 10:19:34,28.721,15.738,55.541,0,0,17474732032,47859113984,52330496,1929539584,0,0,7414038,10938633
19-04 10:19:35,28.777,15.173,55.984,0,0.065,17474502656,47859343360,52330496,1929539584,0,0,7935315,12349593
19-04 10:19:36,28.258,14.960,56.782,0,0,17474695168,47859150848,52330496,1929539584,0,0,7962199,12056548
19-04 10:19:37,27.968,16.095,55.937,0,0,17485049856,47848796160,52330496,1929539584,0,0,7934736,11719510
19-04 10:19:38,28.101,16.408,55.426,0,0.065,17496686592,47837151232,52338688,1929539584,0,36864,7685076,12741438
19-04 10:19:39,28,16.066,55.934,0,0,17510367232,47823470592,52338688,1929539584,0,0,7710180,12767021
19-04 10:19:40,26.931,16.548,56.522,0,0,17541865472,47791972352,52338688,1929539584,0,0,7854156,11845628
19-04 10:19:41,31.545,17.065,51.390,0,0,17707528192,47626309632,52338688,1929539584,0,0,7808662,12391740
19-04 10:19:42,48.217,15.588,36.129,0,0.066,17707298816,47626539008,52338688,1929539584,0,0,7845767,11832032
19-04 10:19:43,48.267,15.333,36.400,0,0,17707184128,47626653696,52338688,1929539584,0,0,7902640,11850237
19-04 10:19:44,49.706,15.741,34.487,0,0.065,17707208704,47626620928,52346880,1929539584,0,12288,7880068,11676598
19-04 10:19:45,48.323,14.267,37.410,0,0,17708019712,47625809920,52346880,1929539584,0,0,7915807,11734910
19-04 10:19:46,48.801,15.878,35.321,0,0,17708371968,47625457664,52346880,1929539584,0,0,7932686,11888383
19-04 10:19:47,49.581,15.409,34.945,0,0.064,17710125056,47623704576,52346880,1929539584,0,0,7928468,11899047
19-04 10:19:48,49.017,15.858,35.125,0,0,17747492864,47586336768,52346880,1929539584,0,126976,7691526,12440961
19-04 10:19:49,48.582,16.624,34.794,0,0,17780899840,47552921600,52355072,1929539584,0,20480,7700686,12292463
19-04 10:19:50,47.354,14.352,38.228,0,0.066,17827188736,47506632704,52355072,1929539584,0,0,8045119,12415328
19-04 10:19:51,47.644,15.249,37.107,0,0,17879416832,47454404608,52355072,1929539584,0,0,7850922,12206680
