"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-worker-2",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cassandra-80-1024-3072-1024000-1-0-20210419-102801-2.csv 1 600",,,,"Date:","19 Apr 2021 10:28:03 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
19-04 10:28:03,16.472,5.236,78.161,0.088,0.043,28044668928,1458880512,87965696,3902746624,70699.028,711513.064,0,0
19-04 10:28:04,3,0.500,96.500,0,0,28044402688,1459011584,87965696,3902885888,0,0,43419,42031
19-04 10:28:05,2.750,0.500,96.500,0.250,0,28044660736,1458753536,87977984,3902873600,0,86016,14616,14935
19-04 10:28:06,2.771,0.252,96.977,0,0,28044677120,1458720768,87977984,3902885888,0,0,25834,23683
19-04 10:28:07,4.500,0.500,94.750,0,0.250,28043567104,1459830784,87982080,3902881792,0,159744,29256,27514
19-04 10:28:08,10.298,5.962,83.469,0,0.271,28043771904,1459621888,87982080,3902885888,0,0,99921,114280
19-04 10:28:09,15.819,7.627,76.271,0,0.282,28043739136,1459654656,87982080,3902885888,0,0,215112,262228
19-04 10:28:10,16.389,11.111,72.222,0,0.278,28043665408,1459720192,87990272,3902885888,0,61440,272478,336396
19-04 10:28:11,12.465,8.310,78.947,0,0.277,28043829248,1459556352,87990272,3902885888,0,0,230547,273101
19-04 10:28:12,13.143,8.286,78.286,0,0.286,28042567680,1460817920,87990272,3902885888,0,24576,269672,303115
19-04 10:28:13,14.054,7.297,78.378,0,0.270,28042862592,1460523008,87990272,3902885888,0,0,221059,253518
19-04 10:28:14,14.946,7.880,76.902,0,0.272,28042567680,1460817920,87990272,3902885888,0,0,233140,265268
19-04 10:28:15,12.644,7.184,79.885,0,0.287,28042633216,1460752384,87994368,3902881792,0,28672,267467,299899
19-04 10:28:16,15.057,9.659,74.716,0,0.568,28042563584,1460817920,87994368,3902885888,0,0,276018,341039
19-04 10:28:17,17.232,8.757,73.729,0,0.282,28042592256,1460785152,87998464,3902885888,0,16384,308016,369176
19-04 10:28:18,4.103,1.282,94.615,0,0,28042526720,1460850688,87998464,3902885888,0,0,50154,56425
19-04 10:28:19,3,0.250,96.750,0,0,28042559488,1460817920,87998464,3902885888,0,0,12927,13834
19-04 10:28:20,2.500,0.500,96.750,0.250,0,28042526720,1460850688,88002560,3902881792,0,16384,19966,19243
19-04 10:28:21,2.513,0.251,97.236,0,0,28042555392,1460817920,88002560,3902885888,0,0,20421,17907
19-04 10:28:22,3.250,0.250,96.500,0,0,28042522624,1460850688,88002560,3902885888,0,0,12529,13387
19-04 10:28:23,2.506,0.251,96.992,0,0.251,28042522624,1460850688,88002560,3902885888,0,0,16690,20366
19-04 10:28:24,6.767,0.501,92.732,0,0,28042522624,1460850688,88002560,3902885888,0,0,17286,16314
19-04 10:28:25,2.015,0.252,97.733,0,0,28042452992,1460916224,88014848,3902877696,0,32768,14596,14436
19-04 10:28:26,2.256,0.501,97.243,0,0,28042498048,1460858880,88014848,3902889984,0,0,20381,18007
19-04 10:28:27,2.750,0.750,96.250,0.250,0,28042305536,1461051392,88018944,3902885888,0,638976,22827,18508
19-04 10:28:28,2.513,0.251,97.236,0,0,28042268672,1461084160,88018944,3902889984,0,0,13716,14369
19-04 10:28:29,2.015,0.252,97.733,0,0,28042260480,1461092352,88018944,3902889984,0,0,11988,11069
19-04 10:28:30,2.750,0,97,0,0.250,28042182656,1461166080,88023040,3902889984,0,24576,12851,15527
19-04 10:28:31,3.275,1.259,95.466,0,0,28042215424,1461133312,88023040,3902889984,0,0,39703,39425
19-04 10:28:32,73.604,20.558,5.838,0,0,28040417280,1461600256,88023040,3904217088,0,0,3562713,3480065
19-04 10:28:33,75.949,23.038,1.013,0,0,28049035264,1452728320,88023040,3904466944,0,4096,3826615,3660494
19-04 10:28:34,74.121,23.869,2.010,0,0,28053024768,1447944192,88039424,3905220608,0,675840,4503429,4305987
19-04 10:28:35,74.874,23.869,1.256,0,0,28056608768,1443676160,88055808,3905867776,0,57344,4759422,4537487
19-04 10:28:36,72.431,26.817,0.752,0,0,28059680768,1440071680,88068096,3906363392,0,1277952,4834540,4634040
19-04 10:28:37,72.796,24.685,2.267,0,0.252,28061360128,1437786112,88076288,3906957312,0,40960,4305395,4147418
19-04 10:28:38,72.658,25.316,2.025,0,0,28061691904,1436753920,88076288,3907633152,0,4096,4379511,4224911
19-04 10:28:39,74.185,23.810,2.005,0,0,28061896704,1435721728,88076288,3908435968,0,0,4470269,4276271
19-04 10:28:40,74.750,23.500,1.500,0,0.250,28063277056,1433591808,88080384,3909173248,0,45056,4696935,4490409
19-04 10:28:41,72.637,26.617,0.746,0,0,28063129600,1433337856,88080384,3909570560,0,0,4935293,4694618
19-04 10:28:42,72.932,25.815,1.253,0,0,28063039488,1432690688,88080384,3910283264,0,0,4895808,4693693
19-04 10:28:43,70.175,29.073,0.752,0,0,28063096832,1431560192,88080384,3911335936,0,81920,5046004,4861524
19-04 10:28:44,69.289,29.188,1.523,0,0,28063408128,1430818816,88096768,3911733248,0,3420160,4814199,4644483
19-04 10:28:45,72.796,25.441,1.511,0,0.252,28050165760,1443368960,88109056,3912400896,0,69632,4695817,4496970
19-04 10:28:46,73.367,25.126,1.508,0,0,28050382848,1442627584,88121344,3912892416,0,3244032,4824972,4618340
19-04 10:28:47,67.513,28.426,4.061,0,0,28049297408,1443110912,88125440,3913469952,0,40960,4118755,4001880
19-04 10:28:48,73.183,25.063,1.754,0,0,28056809472,1434804224,88125440,3914256384,0,0,4749995,4463219
19-04 10:28:49,71.717,25.505,2.525,0,0.253,28049821696,1441251328,88125440,3914784768,0,0,4768637,4602275
19-04 10:28:50,71.106,27.889,1.005,0,0,28049346560,1440833536,88125440,3915653120,0,40960,4937377,4762534
19-04 10:28:51,73.183,25.815,1.003,0,0,28049186816,1440182272,88125440,3916443648,0,0,5017230,4820091
19-04 10:28:52,70.500,28.500,1,0,0,28049047552,1439989760,88125440,3916767232,0,0,5014944,4785399
19-04 10:28:53,74.436,25.063,0.501,0,0,28049420288,1438924800,88133632,3917426688,0,53248,5265887,5019778
19-04 10:28:54,71,27.500,1.250,0.250,0,28049448960,1437892608,88141824,3918413824,0,3440640,4911480,4740057
19-04 10:28:55,72.123,25.064,2.558,0,0.256,28045221888,1441677312,88154112,3918819328,0,65536,4489015,4276292
19-04 10:28:56,71.717,27.273,1.010,0,0,28045455360,1440964608,88170496,3919261696,0,3223552,4998435,4803035
19-04 10:28:57,71.859,27.136,1.005,0,0,28045045760,1440350208,88178688,3920248832,0,24576,5042439,4829879
19-04 10:28:58,71.930,25.313,2.757,0,0,28045918208,1438937088,88178688,3920781312,0,8192,4834432,4548580
