"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-16-32-1600-fault-master-20210427-095301-0.csv 1 600",,,,"Date:","27 Apr 2021 09:53:03 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
27-04 09:53:03,4.491,1.472,93.029,0.953,0.055,670212096,31022632960,107147264,1776807936,278190.737,1391115.681,0,0
27-04 09:53:04,3.316,1.531,95.153,0,0,670191616,31022645248,107147264,1776816128,0,90112,218868,251290
27-04 09:53:05,2.025,0.759,97.215,0,0,670191616,31022645248,107147264,1776816128,0,12288,116625,123538
27-04 09:53:06,5.013,1.253,93.484,0.251,0,670285824,31022546944,107147264,1776820224,0,81920,227833,255615
27-04 09:53:07,5.764,2.256,91.729,0,0.251,670187520,31022645248,107147264,1776820224,0,36864,296567,312340
27-04 09:53:08,6.733,1.247,92.020,0,0,670318592,31022514176,107147264,1776820224,0,49152,191045,287461
27-04 09:53:09,5.514,1.003,93.233,0.251,0,670216192,31022612480,107147264,1776824320,0,36864,146831,188428
27-04 09:53:10,7.980,1.995,89.776,0,0.249,670216192,31022612480,107147264,1776824320,0,69632,274790,344010
27-04 09:53:11,4.061,1.015,94.670,0.254,0,670019584,31022809088,107147264,1776824320,0,86016,207917,225585
27-04 09:53:12,5.570,1.266,93.165,0,0,670117888,31022710784,107147264,1776824320,0,4096,177609,201406
27-04 09:53:13,3.778,1.511,94.458,0,0.252,670216192,31022612480,107147264,1776824320,0,0,172153,179859
27-04 09:53:14,3.316,1.276,95.408,0,0,669986816,31022841856,107147264,1776824320,0,57344,193711,218183
27-04 09:53:15,3.797,1.519,94.430,0.253,0,670183424,31022645248,107147264,1776824320,0,581632,157807,171247
27-04 09:53:16,4.370,1.285,94.087,0.257,0,670150656,31022678016,107147264,1776824320,0,40960,262683,292383
27-04 09:53:17,4,1,94.750,0,0.250,670248960,31022579712,107147264,1776824320,0,0,120815,133551
27-04 09:53:18,9.898,1.777,88.325,0,0,669667328,31023161344,107147264,1776824320,0,0,251736,379426
27-04 09:53:19,10.945,2.239,86.318,0.249,0.249,669646848,31023095808,107147264,1776910336,0,258048,372118,507941
27-04 09:53:20,6.122,2.041,91.327,0.510,0,669511680,31023226880,107147264,1776914432,0,327680,337438,432837
27-04 09:53:21,5.263,1.754,92.732,0.251,0,669540352,31023194112,107147264,1776918528,0,180224,217958,226186
27-04 09:53:22,4.798,1.263,93.687,0,0.253,669548544,31023185920,107147264,1776918528,0,4096,214726,233069
27-04 09:53:23,3.242,1.746,95.012,0,0,669319168,31023415296,107147264,1776918528,0,8192,131293,141385
27-04 09:53:24,4.040,1.768,93.939,0.253,0,669646848,31023087616,107147264,1776918528,0,73728,208496,243099
27-04 09:53:25,6,1.500,92.250,0,0.250,669544448,31023185920,107147264,1776922624,0,40960,207941,224651
27-04 09:53:26,5.051,1.263,93.434,0.253,0,669511680,31023218688,107147264,1776922624,0,49152,200612,226162
27-04 09:53:27,3.291,0.759,95.949,0,0,669446144,31023284224,107147264,1776922624,0,0,126312,135722
27-04 09:53:28,6.138,1.023,92.583,0.256,0,669413376,31023316992,107147264,1776922624,0,151552,239757,334253
27-04 09:53:29,6.015,2.005,91.729,0,0.251,669544448,31023185920,107147264,1776922624,0,94208,213674,273077
27-04 09:53:30,3.876,0.517,95.607,0,0,669609984,31023120384,107147264,1776922624,0,4096,219465,287749
27-04 09:53:31,4.082,0.765,95.153,0,0,669642752,31023087616,107147264,1776922624,0,45056,183587,197224
27-04 09:53:32,3.535,1.263,94.697,0.253,0.253,669544448,31023185920,107147264,1776922624,0,61440,179489,207868
27-04 09:53:33,2.051,1.026,96.923,0,0,669544448,31023185920,107147264,1776922624,0,49152,146852,160384
27-04 09:53:34,5.556,2.020,92.172,0.253,0,669573120,31023153152,107147264,1776926720,0,65536,281713,307218
27-04 09:53:35,3.769,1.256,94.724,0,0.251,669532160,31023185920,107147264,1776934912,0,4096,139948,140280
27-04 09:53:36,4.557,1.013,94.430,0,0,669495296,31023218688,107147264,1776939008,0,139264,199487,220161
27-04 09:53:37,5.013,1.504,93.484,0,0,669495296,31023218688,107147264,1776939008,0,126976,171794,176833
27-04 09:53:38,6.767,2.506,90.476,0.251,0,668921856,31023788032,107147264,1776943104,0,57344,259275,359348
27-04 09:53:39,5.779,1.508,92.462,0,0.251,668942336,31023767552,107147264,1776943104,0,36864,164934,197764
27-04 09:53:40,7.500,1.250,91.250,0,0,669007872,31023702016,107147264,1776943104,0,4096,249157,276811
27-04 09:53:41,4.489,1.496,94.015,0,0,666652672,31026057216,107147264,1776943104,0,32768,167497,197476
27-04 09:53:42,3.778,1.763,93.955,0.252,0.252,666685440,31026024448,107147264,1776943104,0,94208,215989,236441
27-04 09:53:43,5.316,1.519,93.165,0,0,666750976,31025958912,107147264,1776943104,0,45056,246860,270176
27-04 09:53:44,4.750,2,93.250,0,0,666587136,31026122752,107147264,1776943104,0,0,183742,217911
27-04 09:53:45,3.526,1.259,95.214,0,0,666718208,31025991680,107147264,1776943104,0,0,134664,145414
27-04 09:53:46,6.948,1.737,91.067,0,0.248,666677248,31026032640,107147264,1776943104,0,49152,221549,253695
27-04 09:53:47,6.203,1.489,92.060,0.248,0,666644480,31026065408,107147264,1776943104,0,49152,197491,218913
27-04 09:53:48,7.286,2.513,90.201,0,0,666689536,31026016256,107147264,1776947200,0,57344,230241,355915
27-04 09:53:49,8.189,2.233,89.330,0,0.248,667004928,31025700864,107147264,1776947200,0,32768,244366,322630
27-04 09:53:50,8.543,1.256,90.201,0,0,667013120,31025692672,107147264,1776947200,0,65536,231581,283635
27-04 09:53:51,5.025,1.005,93.719,0.251,0,667004928,31025700864,107147264,1776947200,0,241664,187600,231223
27-04 09:53:52,4.835,1.527,93.384,0,0.254,666947584,31025758208,107147264,1776947200,0,57344,255963,293857
27-04 09:53:53,5.542,0.756,93.703,0,0,667168768,31025537024,107147264,1776947200,0,0,152647,174286
27-04 09:53:54,5.556,1.768,92.677,0,0,667070464,31025635328,107147264,1776947200,0,0,217009,254860
27-04 09:53:55,4.569,1.269,93.655,0.254,0.254,667435008,31025270784,107147264,1776947200,0,94208,173166,185704
27-04 09:53:56,5.263,2.506,92.231,0,0,667557888,31025147904,107147264,1776947200,0,49152,246931,294910
27-04 09:53:57,3.308,1.018,95.674,0,0,667533312,31025172480,107147264,1776947200,0,0,129167,146010
27-04 09:53:58,10.422,1.737,87.593,0,0.248,667111424,31025582080,107147264,1776959488,0,0,284215,397073
27-04 09:53:59,5.250,1,93.500,0.250,0,667099136,31025590272,107147264,1776963584,0,86016,158289,199178
27-04 09:54:00,8,1.500,90.500,0,0,667172864,31025516544,107147264,1776963584,0,53248,238565,288878
27-04 09:54:01,6.061,1.515,92.172,0,0.253,667181056,31025508352,107147264,1776963584,0,106496,253107,313278
27-04 09:54:02,5.038,1.511,93.199,0.252,0,667455488,31025233920,107147264,1776963584,0,102400,211123,250814
27-04 09:54:03,6.667,2.222,91.111,0,0,667422720,31025266688,107147264,1776963584,0,0,183755,207271
27-04 09:54:04,7.268,1.504,90.977,0,0.251,667480064,31025209344,107147264,1776963584,0,49152,265058,298781
27-04 09:54:05,3.316,1.276,95.408,0,0,667529216,31025160192,107147264,1776963584,0,61440,197231,221680
27-04 09:54:06,4.534,2.015,93.199,0.252,0,667701248,31024988160,107147264,1776963584,0,57344,199272,232555
27-04 09:54:07,6.281,1.759,91.960,0,0,667660288,31025029120,107147264,1776963584,0,0,198742,207318
27-04 09:54:08,6.533,2.764,90.452,0,0.251,667652096,31025037312,107147264,1776963584,0,8192,256201,376262
27-04 09:54:09,5.542,1.763,92.695,0,0,668008448,31024680960,107147264,1776963584,0,81920,183728,238543
27-04 09:54:10,7.143,1.276,91.582,0,0,669016064,31023673344,107147264,1776963584,0,45056,270964,314834
27-04 09:54:11,3.053,1.527,94.911,0.254,0.254,669007872,31023558656,107147264,1777086464,122880,36864,189520,244060
27-04 09:54:12,5.276,1.508,93.216,0,0,668999680,31023566848,107147264,1777086464,0,12288,198257,230539
27-04 09:54:13,8.955,1.741,89.303,0,0,668999680,31023566848,107147264,1777086464,0,102400,224416,239602
27-04 09:54:14,6,1.500,92,0.250,0.250,668983296,31023583232,107147264,1777086464,0,53248,258720,303875
27-04 09:54:15,3.535,1.010,95.455,0,0,668925952,31023640576,107147264,1777086464,0,0,124624,141095
27-04 09:54:16,6.683,2.228,90.842,0,0.248,668893184,31023673344,107147264,1777086464,0,0,246502,269465
27-04 09:54:17,5.941,2.228,91.832,0,0,668995584,31023566848,107147264,1777090560,0,8192,180023,190712
27-04 09:54:18,11.970,2.743,85.037,0.249,0,669085696,31023468544,107147264,1777098752,0,172032,329268,469018
27-04 09:54:19,22.829,2.978,73.697,0.248,0.248,695033856,30997516288,107147264,1777102848,0,126976,8373306,891211
27-04 09:54:20,10.276,2.256,87.218,0,0.251,695234560,30997315584,107147264,1777102848,0,81920,525149,319268
27-04 09:54:21,3.544,1.519,94.430,0.506,0,695455744,30997082112,107147264,1777115136,0,167936,166372,216394
27-04 09:54:22,6.015,2.005,91.479,0.501,0,695382016,30997147648,107147264,1777123328,0,380928,292938,316479
27-04 09:54:23,4.774,1.005,93.970,0.251,0,695480320,30997049344,107147264,1777123328,0,94208,207155,228815
27-04 09:54:24,9.429,2.978,87.345,0,0.248,714153984,30978371584,107147264,1777131520,0,49152,179382,207477
