"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-1",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-16-32-1600-fault-master-20210427-102526-1.csv 1 600",,,,"Date:","27 Apr 2021 10:25:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
27-04 10:25:28,6.888,1.988,87.917,3.114,0.094,725266432,30851067904,107589632,1887277056,173026.291,2170931.980,0,0
27-04 10:25:29,3.535,1.263,94.192,0.758,0.253,724774912,30851485696,107589632,1887346688,0,413696,220695,203085
27-04 10:25:30,6.329,2.278,89.114,2.278,0,724733952,30850334720,107589632,1888514048,0,1986560,541267,433108
27-04 10:25:31,4.810,1.013,93.418,0.759,0,724881408,30850043904,107589632,1888653312,0,544768,227160,188431
27-04 10:25:32,10.750,1.750,85.500,2,0,725196800,30849654784,107589632,1888722944,0,1204224,540004,583181
27-04 10:25:33,10.886,2.532,72.911,13.418,0.253,724955136,30849626112,107589632,1888985088,0,5103616,505796,753037
27-04 10:25:34,12.276,2.813,71.611,13.299,0,725516288,30848847872,107589632,1889198080,0,5615616,674557,877039
27-04 10:25:35,11.250,2.500,72.250,13.750,0.250,725475328,30848655360,107589632,1889427456,0,5160960,440326,652188
27-04 10:25:36,10.969,2.551,72.704,13.776,0,726032384,30847881216,107589632,1889636352,0,4960256,574075,778546
27-04 10:25:37,10.327,1.763,73.048,14.610,0.252,726110208,30847590400,107589632,1889845248,0,5292032,411611,598067
27-04 10:25:38,12.846,3.275,70.529,13.350,0,726351872,30847156224,107589632,1890033664,0,5054464,635866,836658
27-04 10:25:39,12.091,2.519,71.537,13.602,0.252,726589440,30846623744,107589632,1890320384,0,5087232,504266,706281
27-04 10:25:40,19.512,4.146,65.854,10.488,0,727379968,30844547072,107589632,1891573760,0,5263360,839031,835727
27-04 10:25:41,16.995,3.202,68.719,10.837,0.246,728625152,30842937344,107589632,1891913728,0,4583424,533421,615007
27-04 10:25:42,14.005,3.194,69.533,13.268,0,729059328,30842286080,107589632,1892126720,0,5201920,664697,783817
27-04 10:25:43,18.844,4.523,64.824,11.558,0.251,729423872,30841462784,107589632,1892573184,0,5378048,876820,1282112
27-04 10:25:44,11.839,3.023,71.285,13.854,0,729354240,30841335808,107589632,1892765696,0,5214208,530141,748956
27-04 10:25:45,10.327,3.023,72.796,13.602,0.252,729726976,30840729600,107589632,1892990976,0,5193728,449335,692775
27-04 10:25:46,10,3.333,72.821,13.846,0,730284032,30839980032,107589632,1893183488,0,5230592,532852,723084
27-04 10:25:47,11.196,2.799,72.265,13.486,0.254,730365952,30839656448,107589632,1893416960,0,5222400,524555,718636
27-04 10:25:48,12.468,2.545,72.010,12.977,0,730398720,30839422976,107589632,1893613568,0,5132288,630217,824169
27-04 10:25:49,10.406,1.523,73.604,14.213,0.254,730750976,30838784000,107589632,1893892096,0,5332992,456390,691908
27-04 10:25:50,15.206,3.351,69.330,12.113,0,732061696,30836084736,107589632,1895243776,0,6000640,881797,1046928
27-04 10:25:51,10.831,2.015,73.048,13.854,0.252,732229632,30835499008,107589632,1895653376,0,5230592,481894,662513
27-04 10:25:52,11.480,3.061,71.429,13.776,0.255,732938240,30834540544,107589632,1895899136,0,5431296,697071,870348
27-04 10:25:53,9.949,2.296,73.724,14.031,0,732909568,30834343936,107589632,1896103936,0,5074944,443017,673466
27-04 10:25:54,13.682,1.990,71.144,12.935,0.249,733286400,30833778688,107589632,1896288256,0,5001216,543849,752184
27-04 10:25:55,10.914,1.777,72.589,14.721,0,733306880,30833545216,107589632,1896497152,0,5382144,433433,658035
27-04 10:25:56,12.343,4.030,71.033,12.594,0,733929472,30832705536,107589632,1896706048,0,5206016,647022,841798
27-04 10:25:57,11.663,3.226,70.720,14.144,0.248,733937664,30832496640,107589632,1896898560,0,5337088,511616,704662
27-04 10:25:58,12.788,2.558,70.844,13.555,0.256,734347264,30831865856,107589632,1897115648,0,5226496,548108,752580
27-04 10:25:59,12.782,5.263,71.178,10.777,0,557498368,31008841728,107589632,1897230336,0,4227072,367881,551634
27-04 10:26:00,4.810,1.266,93.418,0.506,0,557015040,31009452032,107589632,1897226240,0,1798144,192579,266264
27-04 10:26:01,2.538,1.269,94.924,1.269,0,556875776,31009566720,107589632,1897234432,0,479232,214023,199326
27-04 10:26:02,2.545,0.509,96.438,0.254,0.254,556838912,31009599488,107589632,1897238528,0,118784,191711,196208
27-04 10:26:03,1.768,0.505,97.727,0,0,556769280,31009665024,107589632,1897242624,0,20480,104323,104900
27-04 10:26:04,2.757,0.752,96.241,0.251,0,556900352,31009533952,107589632,1897242624,0,20480,156416,160874
27-04 10:26:05,3.015,1.005,95.477,0.503,0,556896256,31009533952,107589632,1897246720,0,233472,160140,158943
27-04 10:26:06,4.040,1.263,93.182,1.263,0.253,556789760,31009632256,107589632,1897254912,0,528384,259391,263129
27-04 10:26:07,3.759,1.003,94.987,0.251,0,556847104,31009566720,107589632,1897263104,0,102400,134202,136282
27-04 10:26:08,3.571,0.765,95.663,0,0,556748800,31009665024,107589632,1897263104,0,0,207909,222519
27-04 10:26:09,3.990,0.998,94.514,0.499,0,556810240,31009599488,107589632,1897267200,0,184320,129312,138176
27-04 10:26:10,7.711,1.990,88.308,1.741,0.249,557178880,31009202176,107589632,1897291776,0,704512,350357,425176
27-04 10:26:11,3.731,2.239,94.030,0,0,557211648,31009169408,107589632,1897291776,0,24576,136237,130512
27-04 10:26:12,6.475,4.077,89.209,0.240,0,557142016,31009234944,107589632,1897295872,0,57344,230581,239510
