"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-16-32-1600-fault-master-20210427-102526-client.csv 1 600",,,,"Date:","27 Apr 2021 10:25:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
27-04 10:25:28,0.296,0.106,99.564,0.030,0.003,519905280,64765894656,56156160,1968832512,156800.917,502554.749,0,0
27-04 10:25:29,2.494,1.185,96.135,0.187,0,513609728,64771952640,56258560,1968885760,0,1638400,59451,47139
27-04 10:25:30,2.910,2.087,94.877,0.127,0,607223808,64677941248,56270848,1968955392,0,524288,14318,14223
27-04 10:25:31,7.410,1.432,91.034,0.062,0.062,567508992,64716582912,56291328,1969078272,0,204800,373629,356370
27-04 10:25:32,9.379,1.366,89.255,0,0,651497472,64632578048,56291328,1969078272,0,0,696597,670883
27-04 10:25:33,2.930,0.249,96.820,0,0,657883136,64626192384,56291328,1969078272,0,0,172028,161198
27-04 10:25:34,0.814,0.188,98.999,0,0,658173952,64625901568,56291328,1969078272,0,0,199216,161257
27-04 10:25:35,0.439,0.125,99.436,0,0,659042304,64625033216,56291328,1969078272,0,0,167162,150856
27-04 10:25:36,2.198,0.188,97.613,0,0,677937152,64606130176,56295424,1969078272,0,49152,200429,163375
27-04 10:25:37,1.065,0.063,98.872,0,0,678227968,64605839360,56295424,1969078272,0,0,175500,147976
27-04 10:25:38,2.251,0.250,97.498,0,0,678260736,64605806592,56295424,1969078272,0,0,199535,170705
27-04 10:25:39,0.942,0.063,98.996,0,0,678486016,64605581312,56295424,1969078272,0,0,176062,150701
27-04 10:25:40,0.312,0.188,99.500,0,0,678969344,64605097984,56295424,1969078272,0,0,115467,87682
27-04 10:25:41,1.001,0.188,98.811,0,0,669773824,64614289408,56299520,1969078272,0,20480,152821,114860
27-04 10:25:42,0.250,0.063,99.625,0,0.063,669773824,64614289408,56299520,1969078272,0,0,170551,146366
27-04 10:25:43,0.502,0.188,99.310,0,0,669929472,64614129664,56299520,1969082368,0,0,367463,330938
27-04 10:25:44,0.562,0.125,99.313,0,0,670318592,64613740544,56299520,1969082368,0,0,199585,154764
27-04 10:25:45,0.375,0.250,99.375,0,0,670253056,64613806080,56299520,1969082368,0,0,201121,164367
27-04 10:25:46,0.188,0.063,99.749,0,0,670253056,64613806080,56299520,1969082368,0,0,184704,141748
27-04 10:25:47,0.188,0.063,99.749,0,0,670248960,64613806080,56303616,1969082368,0,16384,188223,156130
27-04 10:25:48,0.376,0,99.624,0,0,670539776,64613515264,56303616,1969082368,0,0,201247,181448
27-04 10:25:49,1.252,0.125,98.622,0,0,670507008,64613548032,56303616,1969082368,0,0,196480,166012
27-04 10:25:50,1.252,0.125,98.622,0,0,673538048,64610516992,56303616,1969082368,0,0,265286,214847
27-04 10:25:51,0.251,0.125,99.624,0,0,665280512,64618774528,56303616,1969082368,0,0,180825,157408
27-04 10:25:52,0.125,0.063,99.812,0,0,665378816,64618676224,56307712,1969078272,0,16384,199887,159492
27-04 10:25:53,0.125,0,99.875,0,0,665407488,64618643456,56307712,1969082368,0,0,203373,164093
27-04 10:25:54,0.250,0.125,99.625,0,0,665341952,64618708992,56307712,1969082368,0,0,195390,153321
27-04 10:25:55,0.313,0.063,99.624,0,0,665374720,64618676224,56307712,1969082368,0,0,214324,171172
27-04 10:25:56,0.125,0.125,99.749,0,0,665341952,64618708992,56307712,1969082368,0,0,194927,151341
27-04 10:25:57,0.125,0.125,99.749,0,0,665473024,64618577920,56307712,1969082368,0,0,178428,154101
27-04 10:25:58,0.188,0,99.812,0,0,665337856,64618708992,56311808,1969082368,0,16384,181825,149295
27-04 10:25:59,0.188,0.125,99.687,0,0,665370624,64618676224,56311808,1969082368,0,0,135564,105518
27-04 10:26:00,0.250,0.125,99.562,0.063,0,666501120,64617545728,56311808,1969082368,0,827392,12392,13458
27-04 10:26:01,0,0,100,0,0,666501120,64617545728,56311808,1969082368,0,0,389,575
27-04 10:26:02,0,0,100,0,0,666468352,64617578496,56311808,1969082368,0,0,9446,9428
27-04 10:26:03,0,0,99.938,0.062,0,666468352,64617578496,56320000,1969074176,0,32768,357,464
27-04 10:26:04,0.062,0,99.938,0,0,666460160,64617578496,56320000,1969082368,0,0,223,348
27-04 10:26:05,0.063,0,99.937,0,0,667975680,64616062976,56320000,1969082368,0,45056,18666,15695
27-04 10:26:06,0.125,0.188,99.624,0,0.063,668295168,64615739392,56320000,1969086464,0,0,175857,152346
27-04 10:26:07,0.251,0.063,99.687,0,0,668356608,64615673856,56320000,1969090560,0,0,162071,132480
27-04 10:26:08,0.251,0.125,99.624,0,0,668291072,64615739392,56320000,1969090560,0,0,204438,169868
27-04 10:26:09,0.689,0.063,99.248,0,0,668475392,64615546880,56328192,1969090560,0,24576,204081,185017
27-04 10:26:10,1.938,0.188,97.875,0,0,681152512,64602869760,56328192,1969090560,0,0,190749,149093
27-04 10:26:11,0.250,0.125,99.625,0,0,668348416,64615673856,56328192,1969090560,0,0,195433,153601
27-04 10:26:12,0.188,0.063,99.749,0,0,668184576,64615837696,56328192,1969090560,0,0,172341,138082
27-04 10:26:13,0.125,0.063,99.812,0,0,668184576,64615837696,56328192,1969090560,0,0,187951,163964
27-04 10:26:14,0.814,0.125,99.061,0,0,668180480,64615837696,56332288,1969090560,0,16384,183882,168825
27-04 10:26:15,0.250,0.250,99.499,0,0,668147712,64615870464,56332288,1969090560,0,0,259246,249307
27-04 10:26:16,0.375,0.313,99.312,0,0,668180480,64615837696,56332288,1969090560,0,0,278649,239358
27-04 10:26:17,0.375,0.125,99.500,0,0,668180480,64615837696,56332288,1969090560,0,0,171951,147652
27-04 10:26:18,0.251,0.063,99.687,0,0,668180480,64615837696,56332288,1969090560,0,0,225024,179340
27-04 10:26:19,0.375,0.250,99.376,0,0,668311552,64615706624,56332288,1969090560,0,0,188713,161461
27-04 10:26:20,0.188,0.188,99.624,0,0,669315072,64614699008,56336384,1969090560,0,16384,177588,142028
27-04 10:26:21,0.501,0.188,99.311,0,0,669208576,64614805504,56336384,1969090560,0,0,215991,171183
27-04 10:26:22,0.125,0.125,99.749,0,0,669274112,64614739968,56336384,1969090560,0,0,175453,153753
27-04 10:26:23,0.188,0.063,99.749,0,0,669274112,64614739968,56336384,1969090560,0,0,190381,166346
27-04 10:26:24,0.188,0.063,99.749,0,0,669274112,64614739968,56336384,1969090560,0,0,211892,171205
27-04 10:26:25,0.063,0.125,99.812,0,0,669241344,64614772736,56340480,1969086464,0,16384,206306,179848
27-04 10:26:26,0.188,0.125,99.624,0,0.063,669302784,64614707200,56340480,1969090560,0,0,205132,163573
27-04 10:26:27,0.188,0,99.812,0,0,669270016,64614739968,56340480,1969090560,0,0,179747,149045
27-04 10:26:28,0.126,0.126,99.749,0,0,669368320,64614641664,56340480,1969090560,0,0,207342,176206
27-04 10:26:29,0.563,0.375,99.062,0,0,669270016,64614739968,56340480,1969090560,0,0,385674,373618
27-04 10:26:30,0.125,0.063,99.812,0,0,669270016,64614739968,56340480,1969090560,0,106496,142135,110811
27-04 10:26:31,0.189,0.189,99.623,0,0,669224960,64614772736,56348672,1969094656,0,16384,375354,344801
27-04 10:26:32,0.376,0.251,99.373,0,0,669257728,64614739968,56348672,1969094656,0,0,297043,305268
27-04 10:26:33,0.251,0.125,99.624,0,0,669061120,64614936576,56348672,1969094656,0,0,268935,273367
27-04 10:26:34,0.251,0.063,99.687,0,0,669290496,64614707200,56348672,1969094656,0,0,188602,165292
27-04 10:26:35,0.250,0.063,99.687,0,0,669290496,64614707200,56348672,1969094656,0,36864,193600,169426
27-04 10:26:36,0.063,0.125,99.812,0,0,669290496,64614707200,56348672,1969094656,0,24576,171992,152890
27-04 10:26:37,0.437,0.125,99.438,0,0,669257728,64614739968,56348672,1969094656,0,0,174370,145488
27-04 10:26:38,0.313,0.063,99.624,0,0,669224960,64614772736,56348672,1969094656,0,0,202289,165572
27-04 10:26:39,0.188,0.063,99.749,0,0,669159424,64614838272,56348672,1969094656,0,0,196324,170292
27-04 10:26:40,0.188,0.125,99.687,0,0,669491200,64614506496,56348672,1969094656,0,0,118385,90201
27-04 10:26:41,0.063,0,99.875,0.063,0,669392896,64614604800,56352768,1969090560,0,16384,192334,144101
27-04 10:26:42,0.063,0.063,99.812,0,0.063,669356032,64614637568,56352768,1969094656,0,0,185772,163223
27-04 10:26:43,0.499,0.187,99.313,0,0,669323264,64614670336,56352768,1969094656,0,0,198627,209894
27-04 10:26:44,0,0.125,99.875,0,0,669487104,64614506496,56352768,1969094656,0,0,178394,166544
27-04 10:26:45,0.250,0.063,99.687,0,0,669388800,64614604800,56352768,1969094656,0,0,163515,162296
27-04 10:26:46,0.125,0,99.875,0,0,669417472,64614572032,56352768,1969098752,0,0,170391,153068
27-04 10:26:47,1.448,0.882,97.481,0.189,0,518103040,64766537728,56377344,1969008640,0,1044480,261580,279233
27-04 10:26:48,1.068,0.440,98.430,0.063,0,529616896,64755200000,56377344,1969156096,0,73728,6658,9127
