"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-1",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-256-768-25600-1-0-20210416-085302-1.csv 1 600",,,,"Date:","16 Apr 2021 08:53:03 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
16-04 08:53:03,10.787,2.741,84.657,1.640,0.175,1071796224,29713317888,106819584,2660036608,175751.334,2985443.134,0,0
16-04 08:53:04,6.361,1.527,91.094,0.763,0.254,1071312896,29713793024,106819584,2660040704,0,622592,296054,327707
16-04 08:53:05,4.337,1.531,93.367,0.765,0,1071378432,29713727488,106819584,2660040704,0,733184,275761,250959
16-04 08:53:06,7.360,1.269,90.102,1.015,0.254,1073438720,29711663104,106819584,2660044800,0,3346432,552448,299329
16-04 08:53:07,21.303,1.754,76.190,0.752,0,1003696128,29779787776,106819584,2661662720,0,2449408,425996,301268
16-04 08:53:08,26.781,3.686,67.568,1.720,0.246,1008816128,29776003072,106819584,2660282368,0,8908800,339369,368251
16-04 08:53:09,9.227,2.244,87.282,0.998,0.249,1008529408,29776240640,106819584,2660327424,0,589824,415977,441918
16-04 08:53:10,8.600,2.211,88.943,0.246,0,1008594944,29776175104,106819584,2660327424,0,90112,333416,351380
16-04 08:53:11,8.148,2.469,88.889,0.247,0.247,1008459776,29776306176,106819584,2660331520,0,184320,354540,364174
16-04 08:53:12,9.630,2.222,87.901,0.247,0,1008553984,29776191488,106819584,2660335616,0,155648,367169,389476
16-04 08:53:13,9.320,2.267,87.406,0.756,0.252,1008844800,29775798272,106819584,2660339712,0,491520,478878,509844
16-04 08:53:14,9.950,1.493,88.060,0.498,0,1010429952,29774213120,106819584,2660339712,0,286720,381768,401607
16-04 08:53:15,9.606,2.463,87.192,0.493,0.246,1010675712,29773938688,106819584,2660343808,0,598016,436137,420862
16-04 08:53:16,12.903,2.978,83.127,0.993,0,1012613120,29771976704,106819584,2660347904,0,3670016,697660,437331
16-04 08:53:17,9.343,3.283,86.111,1.010,0.253,1013723136,29770838016,106819584,2660356096,0,2035712,620082,524203
16-04 08:53:18,11.823,3.202,83.990,0.739,0.246,1013977088,29770543104,106819584,2660364288,0,626688,460101,488247
16-04 08:53:19,9.091,2.778,87.879,0.253,0,1014697984,29769732096,106819584,2660364288,0,118784,390157,397447
