"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-256-768-25600-1-0-20210416-090410-0.csv 1 600",,,,"Date:","16 Apr 2021 09:04:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
16-04 09:04:12,9.847,2.549,86.054,1.459,0.090,1097670656,29403054080,106827776,2935894016,144223.737,2921452.002,0,0
16-04 09:04:13,5.985,1.746,92.020,0.249,0,1097441280,29403279360,106827776,2935898112,0,172032,176593,190534
16-04 09:04:14,5.911,3.448,90.394,0.246,0,1095786496,29404925952,106827776,2935906304,0,229376,188919,171312
16-04 09:04:15,8.861,3.291,87.342,0.253,0.253,1095917568,29404794880,106827776,2935906304,0,188416,273616,287954
16-04 09:04:16,10.723,2.743,85.786,0.748,0,1096241152,29404471296,106827776,2935906304,0,1429504,354141,445644
16-04 09:04:17,14.181,4.401,79.462,1.711,0.244,1099862016,29400850432,106827776,2935906304,0,5369856,798087,1001436
16-04 09:04:18,7.214,3.980,88.308,0.249,0.249,1100570624,29400141824,106827776,2935906304,0,552960,226660,234442
16-04 09:04:19,8.209,4.975,86.070,0.498,0.249,1100537856,29400174592,106827776,2935906304,0,253952,321711,332667
16-04 09:04:20,7.576,3.030,88.636,0.505,0.253,1100570624,29400141824,106827776,2935906304,0,212992,327071,327569
16-04 09:04:21,7.196,2.730,90.074,0,0,1100537856,29400174592,106827776,2935906304,0,81920,309634,324357
16-04 09:04:22,6.468,2.488,90.299,0.498,0.249,1100554240,29400158208,106827776,2935906304,0,237568,295493,288842
16-04 09:04:23,8.128,1.478,90.148,0,0.246,1100693504,29400018944,106827776,2935906304,0,81920,301735,313964
16-04 09:04:24,9.453,2.736,87.313,0.498,0,1100914688,29399797760,106827776,2935906304,0,253952,384573,387843
16-04 09:04:25,8.189,1.737,89.330,0.496,0.248,1101029376,29399650304,106827776,2935906304,0,159744,321917,336320
16-04 09:04:26,9.828,3.194,86.486,0.491,0,1103118336,29397557248,106827776,2935910400,0,1376256,408252,502729
16-04 09:04:27,12.219,3.741,82.793,1.247,0,1108713472,29391958016,106827776,2935910400,0,5316608,806447,1003712
16-04 09:04:28,8.600,3.440,87.224,0.491,0.246,1109446656,29391220736,106827776,2935910400,0,700416,356529,377333
16-04 09:04:29,10.462,2.920,86.131,0.487,0,1109487616,29391179776,106827776,2935910400,0,303104,379409,393908
16-04 09:04:30,8,1.500,90.250,0,0.250,1109766144,29390868480,106827776,2935910400,0,86016,284156,292291
16-04 09:04:31,7.444,3.226,88.834,0.248,0.248,1109913600,29390704640,106827776,2935910400,0,86016,321483,334154
16-04 09:04:32,5.584,2.538,91.371,0.508,0,1110044672,29390540800,106827776,2935910400,0,258048,302858,294706
16-04 09:04:33,8.229,2.494,88.778,0.249,0.249,1110249472,29390327808,106827776,2935910400,0,159744,349423,375135
16-04 09:04:34,8.333,2.020,88.889,0.758,0,1111764992,29388812288,106827776,2935910400,0,528384,387098,321928
16-04 09:04:35,10.891,2.723,85.396,0.743,0.248,1112473600,29388103680,106827776,2935910400,0,868352,526029,393301
16-04 09:04:36,13.203,3.178,82.885,0.733,0,1113722880,29386854400,106827776,2935910400,0,1912832,568651,540422
16-04 09:04:37,16.790,3.210,77.778,1.975,0.247,1119453184,29381124096,106827776,2935910400,0,7536640,1049105,1139351
16-04 09:04:38,8.728,3.741,86.534,0.998,0,1120448512,29380128768,106827776,2935910400,0,1388544,501884,416526
16-04 09:04:39,8.020,3.509,87.469,0.752,0.251,1120931840,29379645440,106827776,2935910400,0,888832,519938,407603
16-04 09:04:40,9.975,2.494,86.534,0.998,0,1121996800,29378580480,106827776,2935910400,0,1028096,538975,380424
16-04 09:04:41,11.605,3.210,84.198,0.741,0.247,1123901440,29376675840,106827776,2935910400,0,925696,512849,372813
16-04 09:04:42,8.608,3.291,87.089,1.013,0,1124716544,29375860736,106827776,2935910400,0,999424,560875,436904
16-04 09:04:43,10.670,2.233,85.608,1.241,0.248,1125453824,29375119360,106827776,2935914496,0,1159168,592592,432187
16-04 09:04:44,10.526,2.506,85.965,1.003,0,1126428672,29374144512,106827776,2935914496,0,978944,555717,390059
16-04 09:04:45,8.521,2.506,87.970,0.752,0.251,1127149568,29373419520,106827776,2935918592,0,790528,517937,382235
16-04 09:04:46,13.131,3.535,81.818,1.515,0,1129517056,29371052032,106827776,2935918592,0,2387968,701035,646311
16-04 09:04:47,15.971,4.423,77.396,1.966,0.246,1135833088,29364731904,106827776,2935922688,0,6152192,1082167,1171728
16-04 09:04:48,11.839,2.015,85.390,0.756,0,1137106944,29363458048,106827776,2935922688,0,1355776,503288,392594
16-04 09:04:49,10.101,1.768,86.869,1.010,0.253,1137582080,29362982912,106827776,2935922688,0,868352,535095,396716
16-04 09:04:50,8.794,2.513,88.191,0.503,0,1138712576,29361852416,106827776,2935922688,0,892928,510222,352035
16-04 09:04:51,13.250,2.750,82.750,1,0.250,1139380224,29361184768,106827776,2935922688,0,1069056,635782,511159
16-04 09:04:52,9.136,2.469,86.914,1.235,0.247,1139703808,29360861184,106827776,2935922688,0,860160,426180,323168
16-04 09:04:53,9.653,3.218,86.386,0.743,0,1140785152,29359779840,106827776,2935922688,0,978944,572179,406906
16-04 09:04:54,10.174,3.226,85.360,0.993,0.248,1143107584,29357457408,106827776,2935922688,0,917504,510944,363426
16-04 09:04:55,8.728,2.993,87.531,0.748,0,1143259136,29357305856,106827776,2935922688,0,770048,468033,356528
16-04 09:04:56,14.677,2.239,81.592,1.244,0.249,1145348096,29355216896,106827776,2935922688,0,2240512,619798,591478
16-04 09:04:57,15.404,3.535,78.788,2.273,0,1150509056,29350055936,106827776,2935922688,0,6086656,1048394,1093750
16-04 09:04:58,8.229,1.746,89.027,0.748,0.249,1151504384,29349056512,106827776,2935922688,0,1097728,444855,332435
16-04 09:04:59,7.789,3.015,88.693,0.503,0,1152090112,29348466688,106827776,2935926784,0,774144,461326,359384
16-04 09:05:00,7.980,2.743,88.279,0.748,0.249,1152831488,29347725312,106827776,2935926784,0,696320,448548,355059
16-04 09:05:01,7.940,2.978,88.337,0.744,0,1153421312,29347135488,106827776,2935926784,0,835584,430663,336224
