"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-cockroach-20-256-768-25600-1-0-20210416-090410-client.csv 1 600",,,,"Date:","16 Apr 2021 09:04:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
16-04 09:04:12,1.085,0.365,98.469,0.060,0.022,383750144,31160385536,52920320,1964486656,148533.756,448423.390,0,0
16-04 09:04:13,3.643,1.508,94.472,0.377,0,387858432,31156228096,53047296,1964388352,0,1794048,69275,56577
16-04 09:04:14,5.170,3.531,90.921,0.252,0.126,382193664,31161507840,53051392,1964560384,0,253952,2737,3521
16-04 09:04:15,11.280,3.295,85.298,0.127,0,418447360,31124336640,53100544,1964806144,0,479232,26225,26777
16-04 09:04:16,11.824,1.509,86.541,0.126,0,448487424,31094173696,53112832,1964806144,0,798720,585162,560459
16-04 09:04:17,9.296,0.754,89.950,0,0,469544960,31072854016,53112832,1964806144,0,0,650427,622887
16-04 09:04:18,6.133,0.375,93.367,0,0.125,484917248,31057350656,53112832,1964806144,0,0,379587,364281
16-04 09:04:19,3.275,0.504,96.222,0,0,486060032,31056044032,53112832,1964806144,0,0,520538,497913
16-04 09:04:20,8.449,0.757,90.794,0,0,504483840,31037296640,53112832,1964806144,0,0,844885,808990
16-04 09:04:21,7.268,0.877,91.855,0,0,538107904,31003426816,53121024,1964806144,0,28672,831894,796445
16-04 09:04:22,4.540,0.504,94.830,0,0.126,539021312,31002218496,53121024,1964806144,0,0,902484,863662
16-04 09:04:23,10.678,0.754,88.568,0,0,592150528,30948773888,53121024,1964806144,0,0,803423,768923
16-04 09:04:24,5.044,1.009,93.947,0,0,593518592,30947123200,53121024,1964806144,0,0,911153,871182
16-04 09:04:25,4.906,0.881,94.214,0,0,602767360,30937477120,53121024,1964806144,0,0,919060,881352
16-04 09:04:26,3.797,1.392,94.810,0,0,675561472,30864429056,53121024,1964806144,0,0,888037,847195
16-04 09:04:27,2.273,0.505,97.096,0,0.126,696397824,30843301888,53129216,1964806144,0,28672,777964,744357
