"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-4",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-20-16-32-8000-fault-master-20210422-171507-4.csv 1 600",,,,"Date:","22 Apr 2021 17:15:09 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
22-04 17:15:09,3.960,0.842,95.072,0.110,0.016,1132244992,30137688064,60375040,2224566272,120172.282,514767.952,0,0
22-04 17:15:10,1.515,0,98.485,0,0,1132195840,30137733120,60375040,2224570368,0,32768,37106,37082
22-04 17:15:11,0.756,0.252,98.992,0,0,1132130304,30137798656,60375040,2224570368,0,0,31202,30865
22-04 17:15:12,4.010,0.251,95.739,0,0,1132228608,30137700352,60375040,2224570368,0,0,37284,35644
22-04 17:15:13,45.340,4.030,50.630,0,0,1132879872,30136983552,60375040,2224631808,0,0,293156,271556
22-04 17:15:14,42.928,6.700,50.372,0,0,1133162496,30135918592,60383232,2225364992,0,77824,505560,458315
22-04 17:15:15,56.511,6.143,37.101,0,0.246,1138966528,30129405952,60383232,2226069504,0,65536,563648,502795
22-04 17:15:16,50.253,4.545,45.202,0,0,1140998144,30127009792,60383232,2226417664,0,0,491018,431583
22-04 17:15:17,52.593,5.432,41.975,0,0,1148948480,30117998592,60383232,2227429376,0,0,632392,561004
22-04 17:15:18,52.228,9.406,38.366,0,0,1158594560,30107242496,60383232,2228510720,0,0,909472,810039
22-04 17:15:19,36.790,6.420,56.543,0,0.247,1158832128,30106275840,60391424,2229215232,0,24576,653766,574613
22-04 17:15:20,37.121,9.091,53.788,0,0,1151066112,30112821248,60391424,2230407168,0,0,894029,794139
22-04 17:15:21,32.593,8.148,59.259,0,0,1149849600,30113464320,60391424,2230968320,0,0,747440,672196
22-04 17:15:22,39.447,9.799,50.503,0,0.251,1149751296,30111981568,60391424,2232496128,0,0,1000572,890944
