"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-20-16-32-8000-fault-master-20210422-173218-client.csv 1 600",,,,"Date:","22 Apr 2021 17:32:20 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
22-04 17:32:20,0.622,0.265,99.073,0.022,0.018,536608768,64766623744,59453440,1945280512,100745.218,342509.694,0,0
22-04 17:32:21,1.627,0.876,97.184,0.313,0,554299392,64748662784,59564032,1945329664,0,1765376,70557,58066
22-04 17:32:22,3.026,2.270,94.451,0.126,0.126,581165056,64721670144,59588608,1945378816,0,512000,2630,3344
22-04 17:32:23,5.270,2.321,92.284,0.063,0.063,569475072,64732536832,59604992,1945460736,0,229376,9955,9107
22-04 17:32:24,27.990,3.381,68.378,0,0.250,792776704,64507953152,59604992,1945464832,0,0,445785,502298
22-04 17:32:25,18.924,1.855,79.097,0,0.124,840101888,64460521472,59604992,1945464832,0,0,527293,744135
22-04 17:32:26,11.202,2.065,86.546,0,0.188,932233216,64368390144,59604992,1945464832,0,0,423794,653404
22-04 17:32:27,6.500,1.625,91.438,0,0.438,945942528,64354680832,59604992,1945464832,0,0,357552,555462
22-04 17:32:28,5.741,1.893,92.303,0,0.063,998060032,64302555136,59613184,1945464832,0,53248,537547,850723
22-04 17:32:29,18.836,1.690,79.287,0,0.188,1001705472,64298909696,59613184,1945464832,0,0,605439,956482
22-04 17:32:30,9.931,1.999,87.883,0,0.187,1069924352,64230690816,59613184,1945464832,0,0,470190,733795
22-04 17:32:31,3.795,2.024,94.054,0,0.127,1071910912,64228704256,59613184,1945464832,0,0,668569,1028002
22-04 17:32:32,3.907,2.457,93.447,0,0.189,1155276800,64145338368,59613184,1945464832,0,0,683532,1073412
22-04 17:32:33,5.085,3.013,91.777,0,0.126,1127272448,64173342720,59613184,1945464832,0,0,898732,1419824
22-04 17:32:34,3.455,2.324,93.970,0.063,0.188,1132265472,64168341504,59621376,1945464832,0,24576,687897,1067831
22-04 17:32:35,3.264,2.574,94.099,0,0.063,1201971200,64098635776,59621376,1945464832,0,0,620366,980076
22-04 17:32:36,3.592,2.268,93.951,0,0.189,1202036736,64098570240,59621376,1945464832,0,20480,718774,1124261
22-04 17:32:37,5.727,3.210,90.812,0,0.252,1203294208,64097312768,59621376,1945464832,0,0,983732,1537752
22-04 17:32:38,3.365,2.667,93.778,0,0.190,1253744640,64046862336,59621376,1945464832,0,0,756364,1196054
22-04 17:32:39,2.715,2.083,95.139,0,0.063,1325666304,63974932480,59629568,1945464832,0,20480,549714,863538
22-04 17:32:40,3.338,1.574,94.962,0,0.126,1325699072,63974899712,59629568,1945464832,0,0,617214,976190
22-04 17:32:41,5.167,3.214,91.430,0,0.189,1325797376,63974801408,59629568,1945464832,0,0,1019677,1597682
22-04 17:32:42,3.350,2.212,94.311,0,0.126,1326407680,63974191104,59629568,1945464832,0,0,727333,1121829
22-04 17:32:43,4.362,3.287,92.099,0,0.253,1451659264,63848939520,59629568,1945464832,0,0,909377,1403635
22-04 17:32:44,5.247,3.287,91.214,0,0.253,1504354304,63796232192,59637760,1945468928,0,20480,1010986,1561414
22-04 17:32:45,4.442,2.855,92.513,0,0.190,1504415744,63796170752,59637760,1945468928,0,0,947897,1473685
22-04 17:32:46,5.193,3.167,91.450,0,0.190,1504481280,63796105216,59637760,1945468928,0,0,1015622,1577151
22-04 17:32:47,3.346,2.210,94.255,0,0.189,1508675584,63791910912,59637760,1945468928,0,0,678669,1047989
22-04 17:32:48,4.381,3.556,91.746,0,0.317,1594413056,63706173440,59637760,1945468928,0,0,950945,1487599
22-04 17:32:49,5.942,2.781,91.087,0,0.190,1595723776,63704854528,59645952,1945468928,0,20480,1000953,1559596
22-04 17:32:50,4.175,2.720,92.916,0,0.190,1595953152,63704625152,59645952,1945468928,0,0,888858,1374441
22-04 17:32:51,4.076,2.803,92.930,0,0.191,1597419520,63703154688,59645952,1945473024,0,0,946412,1473501
22-04 17:32:52,0,0.063,99.750,0.188,0,1597423616,63703150592,59645952,1945473024,0,888832,7848,8424
22-04 17:32:53,0.688,0.062,99.250,0,0,1600036864,63700520960,59645952,1945473024,0,0,32613,38051
22-04 17:32:54,0.063,0.063,99.875,0,0,1600036864,63700520960,59645952,1945473024,0,0,4678,4733
22-04 17:32:55,0.501,0.125,99.373,0,0,1600540672,63700004864,59654144,1945477120,0,45056,29002,37307
22-04 17:32:56,0.125,0,99.875,0,0,1600512000,63700029440,59654144,1945481216,0,0,9387,13010
22-04 17:32:57,1.811,0.062,98.064,0,0.062,1600770048,63699755008,59654144,1945481216,0,49152,31347,40399
22-04 17:32:58,0.313,0.063,99.625,0,0,1600835584,63699689472,59654144,1945481216,0,0,10202,7480
22-04 17:32:59,0.438,0.125,99.437,0,0,1600917504,63699607552,59654144,1945481216,0,0,32384,41561
22-04 17:33:00,0.812,0.062,99.063,0.062,0,1600917504,63699607552,59658240,1945477120,0,32768,4383,4817
22-04 17:33:01,1.253,0.313,98.434,0,0,1601011712,63699509248,59658240,1945481216,0,0,80419,121703
22-04 17:33:02,0.188,0,99.812,0,0,1601011712,63699509248,59658240,1945481216,0,0,3397,4540
22-04 17:33:03,0.999,0.125,98.813,0,0.062,1601171456,63699349504,59658240,1945481216,0,0,27005,32661
22-04 17:33:04,0,0,100,0,0,1601236992,63699283968,59658240,1945481216,0,0,4940,5517
22-04 17:33:05,0.250,0.125,99.625,0,0,1601458176,63699058688,59662336,1945481216,0,20480,23098,28066
22-04 17:33:06,0.188,0,99.812,0,0,1601748992,63698767872,59662336,1945481216,0,0,17599,27665
22-04 17:33:07,0.375,0.125,99.500,0,0,1602555904,63697960960,59662336,1945481216,0,110592,30860,34461
22-04 17:33:08,0.063,0,99.937,0,0,1602486272,63698026496,59662336,1945485312,0,0,7124,9872
22-04 17:33:09,0.438,0.062,99.500,0,0,1602711552,63697801216,59662336,1945485312,0,0,23757,31849
22-04 17:33:10,0.500,0.188,99.250,0,0.063,1603551232,63696961536,59670528,1945477120,0,20480,52843,75814
22-04 17:33:11,3.659,1.956,94.322,0,0.063,1608851456,63691653120,59670528,1945485312,0,0,555596,865592
22-04 17:33:12,4.419,1.957,93.497,0,0.126,1611767808,63688736768,59670528,1945485312,0,0,662333,1033307
22-04 17:33:13,3.614,2.410,93.722,0,0.254,1611735040,63688769536,59670528,1945485312,0,0,781364,1234170
22-04 17:33:14,2.913,2.153,94.744,0,0.190,1611669504,63688835072,59670528,1945485312,0,0,686203,1085420
22-04 17:33:15,2.094,1.650,96.129,0,0.127,1611898880,63688605696,59670528,1945485312,0,0,558128,873095
22-04 17:33:16,4.927,2.085,92.798,0.063,0.126,1616060416,63684415488,59695104,1945489408,0,65536,639738,1003271
22-04 17:33:17,4.543,3.344,91.861,0,0.252,1616384000,63684091904,59695104,1945489408,0,0,934824,1466081
22-04 17:33:18,5.094,3.836,90.881,0,0.189,1617764352,63682707456,59695104,1945493504,0,0,1009844,1578854
22-04 17:33:19,4.678,2.908,92.162,0,0.253,1617764352,63682707456,59695104,1945493504,0,0,953493,1495892
22-04 17:33:20,5.446,3.103,91.197,0,0.253,1617928192,63682543616,59695104,1945493504,0,0,1079619,1683432
22-04 17:33:21,3.429,1.841,94.540,0,0.190,1618051072,63682412544,59703296,1945493504,0,32768,736944,1152521
22-04 17:33:22,1.581,1.012,97.343,0,0.063,1617854464,63682609152,59703296,1945493504,0,4096,403089,631247
22-04 17:33:23,5.016,3.619,91.175,0,0.190,1618337792,63682125824,59703296,1945493504,0,0,1118281,1734602
22-04 17:33:24,6.020,3.739,89.987,0,0.253,1618305024,63682158592,59703296,1945493504,0,0,1249485,1917359
22-04 17:33:25,5.038,3.699,90.944,0,0.319,1618501632,63681961984,59703296,1945493504,0,0,1165433,1794014
22-04 17:33:26,5.601,3.524,90.560,0,0.315,1618718720,63681736704,59711488,1945493504,0,20480,1054147,1619610
22-04 17:33:27,3.942,2.543,93.388,0,0.127,1618423808,63682031616,59711488,1945493504,0,0,871827,1307310
22-04 17:33:28,1.958,1.642,96.336,0,0.063,1618784256,63681671168,59711488,1945493504,0,45056,473253,712029
22-04 17:33:29,2.760,1.066,96.110,0,0.063,1633107968,63667347456,59711488,1945493504,0,0,213314,305028
22-04 17:33:30,0.568,1.326,97.601,0.442,0.063,535674880,64766603264,59752448,1945399296,0,1212416,43680,76338
22-04 17:33:31,3.455,1.131,95.289,0.063,0.063,538988544,64763305984,59752448,1945419776,0,73728,5948,8896
