"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-20-16-32-8000-fault-master-20210422-174747-0.csv 1 600",,,,"Date:","22 Apr 2021 17:47:48 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
22-04 17:47:48,6.295,1.398,92.149,0.101,0.057,1135013888,30103760896,69009408,2242007040,86332.999,508520.515,0,0
22-04 17:47:49,1.008,0.504,97.985,0.252,0.252,1134800896,30103965696,69013504,2242007040,0,143360,45206,45976
22-04 17:47:50,0.508,0.254,99.239,0,0,1134796800,30103965696,69013504,2242011136,0,4096,30221,27604
22-04 17:47:51,1.508,0.503,97.990,0,0,1134862336,30103900160,69013504,2242011136,0,0,33420,34436
22-04 17:47:52,36.341,3.258,60.401,0,0,1135792128,30102933504,69013504,2242043904,0,0,268249,256115
22-04 17:47:53,67.402,6.127,26.225,0,0.245,1141755904,30096834560,69013504,2242179072,0,0,520213,480757
22-04 17:47:54,70.471,7.444,20.347,0.744,0.993,1153286144,30085160960,69021696,2242301952,0,1490944,597639,545735
22-04 17:47:55,85.037,8.728,6.234,0,0,1170157568,30068064256,69021696,2242523136,0,0,706215,626500
22-04 17:47:56,53.941,5.665,40.148,0,0.246,1170108416,30068035584,69021696,2242600960,0,0,551820,500671
22-04 17:47:57,36.658,7.232,56.110,0,0,1170403328,30067531776,69021696,2242789376,0,0,643075,592400
22-04 17:47:58,30.250,6,63.500,0,0.250,1171726336,30066016256,69021696,2242969600,0,0,644786,585117
22-04 17:47:59,37.688,7.286,54.523,0,0.503,1172660224,30064918528,69029888,2243121152,0,61440,726605,680856
22-04 17:48:00,41.944,6.650,51.151,0,0.256,1163157504,30074175488,69029888,2243366912,0,0,797719,745041
22-04 17:48:01,37.436,9.487,52.821,0,0.256,1165828096,30071390208,69029888,2243481600,0,0,904174,831498
22-04 17:48:02,32.915,8.291,56.784,0,2.010,1166680064,30070210560,69029888,2243809280,0,0,867513,788127
22-04 17:48:03,31.863,10.294,57.108,0,0.735,1168453632,30068273152,69029888,2243969024,0,0,889907,826855
