"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-40-512-1536-512000-1-0-20210415-113404-client.csv 1 600",,,,"Date:","15 Apr 2021 11:34:07 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
15-04 11:34:07,16.188,5.322,78.366,0.016,0.108,623603712,64592523264,60874752,2030235648,70731.170,230020.645,0,0
15-04 11:34:08,1.444,0.691,97.615,0.188,0.063,651845632,64563937280,60973056,2030292992,0,1769472,179002,157541
15-04 11:34:09,2.643,1.636,95.658,0.063,0,620564480,64595054592,60973056,2030440448,0,180224,4728,6278
15-04 11:34:10,6.137,1.941,91.735,0.125,0.063,653426688,64561598464,61022208,2030501888,0,536576,12922,11385
15-04 11:34:11,8.240,1.983,89.777,0,0,732073984,64481394688,61022208,2030559232,0,0,312784,191610
15-04 11:34:12,14.505,1.844,83.589,0,0.061,856133632,64355827712,61022208,2030559232,0,0,455290,273080
15-04 11:34:13,8.890,1.471,89.638,0,0,957083648,64253452288,61022208,2030559232,0,0,483179,290428
15-04 11:34:14,18.738,5.047,76.151,0,0.063,2433679360,62776676352,61022208,2030559232,0,0,2678,1663
15-04 11:34:15,22.904,2.003,75.094,0,0,2954452992,62255902720,61022208,2030559232,0,0,91,244
15-04 11:34:16,20.812,4.062,75.125,0,0,4154884096,61055463424,61030400,2030559232,0,49152,714,849
15-04 11:34:17,23.920,3.381,72.636,0,0.063,5109919744,60100427776,61030400,2030559232,0,0,91,174
15-04 11:34:18,15.100,2.820,82.080,0,0,6015410176,59194937344,61030400,2030559232,0,0,191,265
15-04 11:34:19,23.434,4.010,72.556,0,0,6469574656,58740772864,61030400,2030559232,0,0,257,257
15-04 11:34:20,33.607,14.628,51.639,0,0.126,7107764224,58100887552,61030400,2030559232,0,0,1245092,1375560
15-04 11:34:21,23.496,44.142,32.109,0,0.253,7407271936,57792876544,61030400,2030559232,0,0,3957376,4465755
15-04 11:34:22,13.404,55.673,30.798,0,0.125,7720026112,57472905216,61038592,2030559232,0,16384,2409142,2677775
15-04 11:34:23,36.010,36.528,27.332,0,0.130,8036270080,57146527744,61038592,2030559232,0,0,6196161,7018948
15-04 11:34:24,41.651,31.302,26.921,0,0.127,8414752768,56753242112,61038592,2030559232,0,0,6994750,8336094
15-04 11:34:25,57.061,18.211,24.601,0,0.128,8775196672,56383729664,61038592,2030559232,0,0,6094816,7339667
15-04 11:34:26,26.806,23.067,49.873,0,0.253,9304793088,55850651648,61038592,2030559232,0,0,3165150,3810875
15-04 11:34:27,59.412,9.944,30.582,0,0.063,9462272000,55691206656,61038592,2030559232,0,0,3335618,4637535
15-04 11:34:28,46.781,1.778,51.380,0,0.061,9475751936,55677497344,61046784,2030559232,0,16384,754777,953830
15-04 11:34:29,70.541,8.888,20.385,0,0.186,9541849088,55610392576,61046784,2030559232,0,0,5434009,7518132
15-04 11:34:30,34.519,9.863,55.431,0,0.187,9619406848,55532351488,61046784,2030559232,0,0,4680107,6663809
15-04 11:34:31,20.836,6.761,72.219,0,0.184,9619574784,55532134400,61046784,2030559232,0,0,2967213,4208809
15-04 11:34:32,5.458,2.572,91.907,0,0.063,9620140032,55531552768,61046784,2030559232,0,0,1241980,1789171
15-04 11:34:33,4.088,1.572,94.277,0,0.063,9620824064,55530868736,61046784,2030559232,0,0,922608,1325667
15-04 11:34:34,19.651,11.853,68.122,0.125,0.250,10117697536,55033929728,61054976,2030559232,0,36864,3898918,5617277
15-04 11:34:35,9.842,3.785,86.246,0,0.126,10127003648,55024615424,61054976,2030559232,0,0,1837120,2611562
