"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-80-1024-3072-512000-1-0-20210415-133216-0.csv 1 600",,,,"Date:","15 Apr 2021 13:32:18 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
15-04 13:32:18,35.165,8.702,55.846,0.101,0.186,4292157440,26827657216,83881984,2335555584,30468.115,968977.505,0,0
15-04 13:32:19,2.020,1.263,96.465,0.253,0,4292169728,26827636736,83886080,2335559680,0,90112,58076,58622
15-04 13:32:20,1.795,0.769,97.179,0,0.256,4292194304,26827603968,83886080,2335567872,0,98304,86155,84798
15-04 13:32:21,3.023,1.008,95.970,0,0,4292259840,26827538432,83886080,2335567872,0,4096,64382,65050
15-04 13:32:22,5.076,0.761,93.909,0,0.254,4292161536,26827636736,83886080,2335567872,0,0,71415,81522
15-04 13:32:23,3.778,1.008,95.214,0,0,4292259840,26827538432,83886080,2335567872,0,0,70310,89021
15-04 13:32:24,4.786,1.511,93.703,0,0,4292222976,26827571200,83890176,2335567872,0,36864,84127,121907
15-04 13:32:25,3.283,1.515,94.949,0,0.253,4292190208,26827603968,83890176,2335567872,0,1839104,83031,116858
15-04 13:32:26,2.296,0.765,96.939,0,0,4292173824,26827612160,83890176,2335576064,0,0,65407,79072
15-04 13:32:27,1.531,0.765,97.449,0,0.255,4292313088,26827472896,83890176,2335576064,0,0,57713,57416
15-04 13:32:28,2.015,1.511,96.474,0,0,4292214784,26827571200,83890176,2335576064,0,0,53992,53116
15-04 13:32:29,2.020,1.263,96.717,0,0,4292247552,26827538432,83890176,2335576064,0,0,57275,56436
15-04 13:32:30,1.790,1.023,96.931,0,0.256,4291149824,26828636160,83890176,2335576064,0,2306048,82618,80797
15-04 13:32:31,2.764,1.005,96.231,0,0,4291215360,26828570624,83890176,2335576064,0,0,55723,53064
15-04 13:32:32,2.538,0.508,96.954,0,0,4291248128,26828537856,83890176,2335576064,0,0,59273,57153
15-04 13:32:33,2.778,0.758,96.212,0,0.253,4291215360,26828570624,83890176,2335576064,0,0,56704,55831
15-04 13:32:34,3.046,1.015,95.939,0,0,4291248128,26828537856,83890176,2335576064,0,0,65664,62727
15-04 13:32:35,35.101,7.576,56.818,0.253,0.253,4295839744,26823872512,83890176,2335641600,0,49152,668042,597267
15-04 13:32:36,40.099,8.168,51.485,0,0.248,4301549568,26818093056,83890176,2335711232,0,0,587843,524479
15-04 13:32:37,31.034,6.158,62.562,0,0.246,4305555456,26814054400,83890176,2335744000,0,0,390798,354027
15-04 13:32:38,22.084,4.467,73.201,0,0.248,4308262912,26811305984,83890176,2335784960,0,0,360789,325906
15-04 13:32:39,37.438,5.419,56.897,0,0.246,4313444352,26806038528,83890176,2335838208,0,0,530808,472167
15-04 13:32:40,50.627,8.772,40.351,0,0.251,4320722944,26798575616,83894272,2335961088,0,950272,905475,758009
15-04 13:32:41,45.431,7.868,46.447,0,0.254,4325761024,26793242624,83894272,2336161792,0,0,860107,697248
15-04 13:32:42,44.444,7.828,47.475,0,0.253,4331540480,26787180544,83894272,2336292864,0,0,896156,706604
15-04 13:32:43,54.198,10.433,35.115,0,0.254,4343709696,26774650880,83894272,2336542720,0,0,1108954,815704
15-04 13:32:44,35.176,4.774,59.548,0,0.503,4349296640,26768957440,83894272,2336632832,0,0,492262,352944
15-04 13:32:45,47.500,7.500,44.750,0,0.250,4360683520,26756939776,83898368,2337193984,0,36864,1079610,702751
15-04 13:32:46,73.146,10.742,15.857,0,0.256,4383076352,26733699072,83898368,2337796096,0,0,1727179,1303099
15-04 13:32:47,61.461,14.106,24.181,0,0.252,4389216256,26726834176,83898368,2338349056,0,0,1893861,1326221
15-04 13:32:48,35.338,9.273,55.138,0,0.251,4390731776,26725081088,83898368,2338529280,0,0,733244,563632
15-04 13:32:49,43.622,7.908,48.214,0,0.255,4407877632,26705829888,83898368,2340573184,0,0,1053450,581896
15-04 13:32:50,57.035,15.578,26.884,0.251,0.251,4433985536,26672173056,83902464,2347765760,0,180224,947714,683973
15-04 13:32:51,60.945,15.920,23.134,0,0,4457234432,26637996032,83902464,2358329344,0,0,917335,621702
15-04 13:32:52,49.500,9.500,40.750,0,0.250,4478730240,26608660480,83902464,2365952000,0,0,632547,479180
15-04 13:32:53,47.160,13.580,39.012,0,0.247,4484399104,26598289408,83902464,2370514944,0,0,866357,632815
15-04 13:32:54,38.539,10.327,50.882,0,0.252,4485312512,26597003264,83902464,2370801664,0,0,734117,593124
15-04 13:32:55,42.455,11.509,45.780,0,0.256,4485906432,26595848192,83902464,2371325952,0,40960,1427737,865941
15-04 13:32:56,50.128,14.322,35.294,0,0.256,4496461824,26584821760,83902464,2371719168,0,1425408,1218671,894539
15-04 13:32:57,47.619,13.283,38.847,0,0.251,4500000768,26578497536,83902464,2374443008,0,0,1188312,712452
15-04 13:32:58,60.591,11.330,28.079,0,0,4532264960,26538160128,83902464,2382282752,0,0,527133,367537
15-04 13:32:59,47.750,13.500,38.250,0,0.500,4515864576,26554023936,83902464,2382782464,0,0,1210533,851712
15-04 13:33:00,61.055,9.548,29.397,0,0,4516171776,26553409536,83906560,2383065088,0,40960,930644,625429
15-04 13:33:01,51.629,11.779,36.341,0,0.251,4526362624,26542600192,83906560,2383646720,0,32768,1237348,777463
15-04 13:33:02,54.987,12.788,31.969,0,0.256,4535635968,26532573184,83906560,2384375808,0,0,1648277,912622
15-04 13:33:03,60.250,10.750,28.750,0,0.250,4545335296,26522275840,83906560,2384957440,0,0,1393378,834421
15-04 13:33:04,52.417,11.705,35.623,0,0.254,4545273856,26521976832,83906560,2385289216,0,0,1297780,854789
15-04 13:33:05,51.256,14.824,33.668,0,0.251,4535799808,26530865152,83906560,2385854464,0,24576,1305022,917365
15-04 13:33:06,58.838,12.626,28.030,0.253,0.253,4541218816,26524856320,83906560,2386423808,0,7536640,1397872,880545
15-04 13:33:07,54.523,10.302,34.925,0,0.251,4547756032,26517925888,83906560,2386808832,0,0,1210636,748331
15-04 13:33:08,58.629,15.228,25.888,0,0.254,4560498688,26504605696,83906560,2387369984,0,0,1766706,1130709
15-04 13:33:09,63.566,13.178,22.997,0,0.258,4560801792,26503499776,83906560,2388148224,0,0,1731703,1072935
15-04 13:33:10,67.179,12.308,20.256,0,0.256,4562018304,26501349376,83910656,2389037056,0,45056,1884089,1108539
15-04 13:33:11,65.306,11.480,22.194,0,1.020,4568911872,26493751296,83910656,2389721088,0,0,1853212,1048780
15-04 13:33:12,60.358,12.276,27.110,0,0.256,4568580096,26493284352,83910656,2390491136,0,0,1438988,901238
15-04 13:33:13,59.343,12.879,27.778,0,0,4573929472,26487672832,83910656,2390736896,0,0,1306872,931668
15-04 13:33:14,56.061,10.606,32.828,0,0.505,4579815424,26481012736,83910656,2391498752,0,0,1560784,908531
15-04 13:33:15,65.228,13.198,21.320,0.254,0,4584812544,26475372544,83914752,2392125440,0,20480,2000606,1171664
15-04 13:33:16,57.403,11.688,30.390,0,0.519,4590776320,26468421632,83914752,2393096192,0,0,1705052,1038580
15-04 13:33:17,51.680,11.886,36.176,0,0.258,4594868224,26463809536,83914752,2393600000,0,0,1650957,1004493
15-04 13:33:18,63.265,13.265,23.469,0,0,4602994688,26454753280,83914752,2394497024,0,0,1782616,1154364
15-04 13:33:19,64.508,14.508,20.725,0,0.259,4607397888,26449448960,83914752,2395381760,0,0,2522487,1364955
15-04 13:33:20,59.184,15.561,25,0,0.255,4611457024,26444369920,83918848,2396356608,0,20480,2098947,1212622
