"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-19",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-80-1024-3072-512000-1-0-20210415-150044-19.csv 1 600",,,,"Date:","15 Apr 2021 15:00:46 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
15-04 15:00:46,33.787,8.249,57.715,0.117,0.131,4240166912,26918080512,64307200,2325811200,85991.617,1156948.137,0,0
15-04 15:00:47,2.020,0.253,97.727,0,0,4239790080,26918453248,64307200,2325815296,0,0,54760,55621
15-04 15:00:48,3.242,1.247,95.511,0,0,4239790080,26918453248,64307200,2325815296,0,0,83293,82885
15-04 15:00:49,2.010,0.754,97.236,0,0,4239757312,26918486016,64307200,2325815296,0,0,61269,60807
15-04 15:00:50,2.273,0.505,97.222,0,0,4238565376,26919677952,64307200,2325815296,0,0,93649,97363
15-04 15:00:51,1.763,1.008,97.229,0,0,4238594048,26919645184,64307200,2325819392,0,0,61465,73985
15-04 15:00:52,2.525,1.010,96.212,0,0.253,4238495744,26919743488,64307200,2325819392,0,53248,61871,70170
15-04 15:00:53,1.768,1.010,97.222,0,0,4238561280,26919677952,64307200,2325819392,0,0,65833,81587
15-04 15:00:54,2.273,0.253,97.475,0,0,4238426112,26919809024,64307200,2325823488,0,0,96198,110605
15-04 15:00:55,0.767,0.512,98.721,0,0,4238557184,26919677952,64307200,2325823488,0,0,65769,83789
15-04 15:00:56,2.500,0.250,97.250,0,0,4238524416,26919710720,64307200,2325823488,0,0,54295,55114
15-04 15:00:57,1.256,1.005,97.487,0,0.251,4238585856,26919645184,64311296,2325823488,0,20480,54682,55636
15-04 15:00:58,1.763,0.504,97.733,0,0,4238520320,26919710720,64311296,2325823488,0,0,58312,57463
15-04 15:00:59,2.256,0.501,96.742,0.501,0,4238520320,26919710720,64311296,2325823488,0,1896448,54666,54999
15-04 15:01:00,1.018,0.254,98.728,0,0,4238487552,26919743488,64311296,2325823488,0,0,53642,54248
15-04 15:01:01,1.259,0.756,97.985,0,0,4238454784,26919776256,64311296,2325823488,0,0,52868,52853
