"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-20-workloada-256-20201207-130458-0.csv 1 400",,,,"Date:","07 Dec 2020 13:05:03 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 13:05:03,14.589,4.075,80.320,0.670,0.345,28640636928,3041607680,81653760,1813073920,410740.571,1030826.647,0,0
07-12 13:05:04,1.515,0.505,97.980,0,0,28640628736,3041603584,81661952,1813073920,0,102400,13949,25621
07-12 13:05:05,1.759,0.503,97.236,0.251,0.251,28640583680,3041636352,81666048,1813078016,0,20480,11329,12237
07-12 13:05:06,1.269,0.254,98.477,0,0,28640579584,3041636352,81666048,1813082112,0,0,11289,9831
07-12 13:05:07,20.216,7.008,72.237,0,0.539,28640514048,3041685504,81666048,1813082112,0,0,216535,317188
07-12 13:05:08,72.911,23.291,2.278,0,1.519,28643504128,3037368320,81670144,1814401024,0,36864,3126722,3766159
07-12 13:05:09,68.205,15.641,4.615,0,11.538,28643356672,3036950528,81674240,1814941696,0,61440,2044201,2548309
07-12 13:05:10,78.149,20.051,1.285,0,0.514,28646813696,3032948736,81674240,1815470080,0,0,3374277,4076104
07-12 13:05:11,74.680,21.228,3.325,0,0.767,28644950016,3034136576,81674240,1816129536,0,0,2770776,3397014
07-12 13:05:12,72.519,24.936,2.036,0,0.509,28644835328,3033563136,81674240,1816805376,0,745472,3107132,3781643
07-12 13:05:13,68.146,27.154,4.178,0,0.522,28644184064,3033403392,81674240,1817600000,0,8192,2724842,3353080
07-12 13:05:14,73.385,22.739,3.101,0,0.775,28645134336,3031883776,81678336,1818144768,0,1114112,2734820,3300855
07-12 13:05:15,75.253,23.232,1.263,0,0.253,28641517568,3034820608,81682432,1818796032,0,1105920,3481569,4241253
07-12 13:05:16,77.778,19.897,2.067,0,0.258,28640493568,3035303936,81682432,1819328512,0,0,3041265,3690305
07-12 13:05:17,79.188,19.289,1.015,0,0.508,28641468416,3033657344,81682432,1819987968,0,0,3468845,4183807
07-12 13:05:18,73.127,22.222,4.134,0,0.517,28641308672,3032981504,81682432,1820794880,0,1503232,2879200,3561059
07-12 13:05:19,73.791,23.664,2.290,0,0.254,28641345536,3032399872,81682432,1821331456,0,53248,3185092,3879984
07-12 13:05:20,79.093,20.151,0.504,0,0.252,28643737600,3029270528,81682432,1822064640,0,0,3489011,4226820
07-12 13:05:21,78.894,20.101,0.754,0,0.251,28646629376,3025494016,81682432,1822916608,0,0,3561050,4234818
07-12 13:05:22,78.061,20.408,1.276,0,0.255,28647374848,3024048128,81682432,1823596544,0,1667072,3370747,4172302
07-12 13:05:23,70.235,22.977,5.483,0,1.305,28645416960,3025592320,81682432,1823997952,0,0,2328342,2851528
07-12 13:05:24,74.055,19.647,0.756,0,5.542,28645257216,3024982016,81682432,1824751616,0,1966080,2747852,3334998
07-12 13:05:25,71.579,24.211,3.947,0,0.263,28646498304,3023241216,81682432,1825251328,0,1617920,2728070,3331909
07-12 13:05:26,74.121,25.126,0.503,0,0.251,28643176448,3025739776,81682432,1826037760,0,0,3953439,4828021
07-12 13:05:27,75.064,21.851,2.571,0,0.514,28642713600,3025256448,81682432,1826963456,0,0,3197716,3858263
07-12 13:05:28,74.872,22.821,2.051,0,0.256,28642750464,3024535552,81682432,1827635200,0,1859584,3177829,3957897
07-12 13:05:29,71.990,24.607,2.880,0,0.524,28642418688,3024314368,81686528,1828163584,0,49152,3013708,3645692
07-12 13:05:30,75.128,22.821,1.795,0,0.256,28642693120,3023220736,81686528,1828958208,0,0,3368650,4112676
07-12 13:05:31,76.768,21.970,1.010,0,0.253,28639137792,3025969152,81686528,1829752832,0,0,3920698,4692876
07-12 13:05:32,75.192,23.274,1.279,0,0.256,28636012544,3028516864,81686528,1830309888,0,1667072,3331153,4058345
07-12 13:05:33,79.898,17.812,2.036,0,0.254,28638134272,3025453056,81686528,1831235584,0,794624,3239486,3919714
07-12 13:05:34,75.063,23.678,1.008,0,0.252,28636651520,3026354176,81686528,1831788544,0,2064384,3357031,4113032
07-12 13:05:35,64.973,20.588,13.904,0,0.535,28638244864,3024576512,81686528,1831968768,0,1679360,1736198,2123638
07-12 13:05:36,72.656,21.094,5.729,0,0.521,28639899648,3022254080,81686528,1832632320,0,0,2747461,3355925
07-12 13:05:37,74.873,23.350,1.269,0,0.508,28636262400,3024932864,81686528,1833566208,0,0,3520741,4251750
07-12 13:05:38,76.709,21.519,1.013,0,0.759,28636401664,3024191488,81686528,1834147840,0,1552384,3454975,4152562
07-12 13:05:39,74.242,24.242,1.263,0,0.253,28636241920,3023548416,81686528,1834938368,0,2752512,3573080,4308503
07-12 13:05:40,75.315,22.922,1.259,0,0.504,28635815936,3023032320,81686528,1835859968,0,0,3667092,4402086
07-12 13:05:41,77.354,21.374,1.018,0,0.254,28638203904,3020091392,81686528,1836388352,0,0,3638963,4449486
07-12 13:05:42,75.505,23.485,0.758,0,0.253,28638273536,3019284480,81686528,1837105152,0,729088,3822501,4657563
07-12 13:05:43,72.585,22.193,4.439,0,0.783,28646993920,3009892352,81686528,1837760512,0,0,2669938,3124753
