"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-worker-3",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-20-workloadb-256-20201207-141111-3.csv 1 400",,,,"Date:","07 Dec 2020 14:11:15 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 14:11:15,21.630,7.364,70.260,0.720,0.027,28581384192,3191910400,82055168,1722490880,365948.597,918647.356,0,0
07-12 14:11:16,1.259,0.252,98.489,0,0,28580773888,3192377344,82055168,1722634240,0,45056,15395,15306
07-12 14:11:17,1.263,0.253,98.485,0,0,28580773888,3192377344,82055168,1722634240,0,0,7888,7485
07-12 14:11:18,10.831,1.008,87.909,0,0.252,28585316352,3187830784,82055168,1722634240,0,0,28881,333193
07-12 14:11:19,6.599,1.523,91.878,0,0,28586672128,3186475008,82055168,1722634240,0,0,14277,17908
07-12 14:11:20,1.010,0.253,98.737,0,0,28586639360,3186507776,82055168,1722634240,0,0,5854,5899
07-12 14:11:21,1.005,0.503,98.492,0,0,28586700800,3186442240,82055168,1722638336,0,0,5185,5725
07-12 14:11:22,1.511,0.756,97.733,0,0,28586926080,3186216960,82055168,1722638336,0,12288,6688,6538
07-12 14:11:23,1.256,0.251,98.492,0,0,28586958848,3186184192,82055168,1722638336,0,12288,6245,5939
07-12 14:11:24,1.005,0.503,98.241,0,0.251,28586958848,3186184192,82055168,1722638336,0,12288,4355,4467
07-12 14:11:25,1.008,0.252,98.741,0,0,28586926080,3186216960,82055168,1722638336,0,0,5010,4983
07-12 14:11:26,1.013,0,98.987,0,0,28586860544,3186282496,82055168,1722638336,0,12288,7765,7325
07-12 14:11:27,1.754,0.251,97.995,0,0,28586893312,3186249728,82055168,1722638336,0,0,4982,5456
07-12 14:11:28,1.005,0.754,98.241,0,0,28586926080,3186216960,82055168,1722638336,0,0,7054,6929
07-12 14:11:29,1.504,0.501,97.995,0,0,28586926080,3186216960,82055168,1722638336,0,0,6219,5689
07-12 14:11:30,1.259,0.756,97.985,0,0,28587409408,3185733632,82055168,1722638336,0,4096,9054,6170
07-12 14:11:31,37.500,11.436,50.798,0,0.266,28583407616,3189735424,82055168,1722638336,0,0,968708,1610226
07-12 14:11:32,73.316,19.948,6.477,0,0.259,28588470272,3184402432,82055168,1722908672,0,61440,2826093,4511176
07-12 14:11:33,67.717,22.572,9.449,0,0.262,28585426944,3187261440,82055168,1723088896,0,331776,2882546,4690047
07-12 14:11:34,70.942,23.822,5.236,0,0,28585009152,3187281920,82055168,1723486208,0,36864,3276758,5222717
07-12 14:11:35,71.979,22.365,5.398,0,0.257,28585103360,3187052544,82055168,1723621376,0,0,3223961,5038122
07-12 14:11:36,78.372,17.812,3.562,0,0.254,28587315200,3184443392,82055168,1724014592,0,32768,3240644,5241853
07-12 14:11:37,77.354,19.593,3.053,0,0,28592607232,3179151360,82055168,1724014592,0,0,3406517,5525680
07-12 14:11:38,77.078,20.907,1.259,0,0.756,28593926144,3177828352,82055168,1724014592,0,110592,3674669,5897230
07-12 14:11:39,76.574,20.907,2.519,0,0,28598915072,3173023744,82055168,1723830272,0,196608,3673856,5924402
07-12 14:11:40,76.692,21.303,2.005,0,0,28602060800,3169927168,82055168,1723781120,0,200704,3747459,5988979
07-12 14:11:41,75.897,19.744,4.103,0,0.256,28605632512,3166224384,82055168,1723912192,0,0,3502883,5377698
07-12 14:11:42,71.611,23.274,5.115,0,0,28599177216,3172282368,82055168,1724309504,0,0,2953286,4926449
07-12 14:11:43,67.624,26.110,6.005,0,0.261,28599504896,3172184064,82055168,1724076032,0,434176,3052135,4849945
07-12 14:11:44,76.131,22.111,1.759,0,0,28598165504,3173122048,82055168,1724469248,0,32768,3881027,6153215
07-12 14:11:45,77.889,20.603,1.508,0,0,28598366208,3172917248,82055168,1724469248,0,0,3977383,6261545
07-12 14:11:46,70.649,22.597,6.494,0,0.260,28597903360,3173097472,82055168,1724735488,0,53248,3323814,5226966
07-12 14:11:47,70.801,23.773,5.426,0,0,28598382592,3172610048,82055168,1724739584,0,0,3353426,5224857
07-12 14:11:48,74.160,21.189,4.651,0,0,28598132736,3172581376,82055168,1725005824,0,434176,3320159,5283109
07-12 14:11:49,71.802,21.149,6.789,0,0.261,28598222848,3172483072,82055168,1725014016,0,188416,3311760,5261713
07-12 14:11:50,75.758,22.475,1.515,0,0.253,28598362112,3172515840,82055168,1724837888,0,274432,4024480,6240030
07-12 14:11:51,71.318,18.863,9.302,0,0.517,28597923840,3172675584,82055168,1725112320,0,0,2916395,4531055
07-12 14:11:52,77.078,20.655,2.015,0,0.252,28597915648,3172544512,82055168,1725251584,0,0,3767625,5949054
07-12 14:11:53,73.913,21.228,4.348,0,0.512,28598071296,3172614144,82059264,1725022208,0,552960,3244009,5168401
07-12 14:11:54,78.626,19.847,1.527,0,0,28597571584,3172581376,82059264,1725554688,0,36864,3939708,6271599
07-12 14:11:55,70.725,23.316,5.699,0,0.259,28597366784,3172777984,82059264,1725562880,0,0,3134937,4860177
07-12 14:11:56,77.330,21.411,1.259,0,0,28597551104,3172323328,82063360,1725825024,0,57344,3981810,6427021
07-12 14:11:57,73.846,23.333,2.821,0,0,28597862400,3171999744,82063360,1725825024,0,0,3652781,5733942
