"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloadb-512-20201208-141432-client.csv 1 400",,,,"Date:","08 Dec 2020 14:14:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 14:14:38,3.331,1.778,94.794,0.013,0.083,427511808,31413919744,43339776,1678151680,50809.681,196629.846,0,0
08-12 14:14:39,4.506,2.128,93.116,0.125,0.125,457715712,31383564288,43466752,1678135296,0,1658880,611568,561566
08-12 14:14:40,9.747,6.709,82.911,0.253,0.380,471490560,31369129984,43487232,1678417920,0,573440,4823,4309
08-12 14:14:41,21.772,6.456,71.392,0,0.380,544346112,31295746048,43511808,1678475264,0,188416,11753,13666
08-12 14:14:42,33.540,5.093,60.870,0,0.497,1021505536,30818488320,43511808,1678475264,0,0,623653,55885
08-12 14:14:43,83.083,6.391,10.025,0,0.501,1300418560,30539476992,43511808,1678565376,0,0,3010869,1212928
08-12 14:14:44,86,9.500,4,0,0.500,1435152384,30404743168,43511808,1678565376,0,0,5244392,2158654
08-12 14:14:45,81.796,14.464,2.993,0,0.748,1485279232,30354616320,43511808,1678565376,0,0,8265199,2954975
08-12 14:14:46,73.208,17.107,9.057,0,0.629,1542406144,30297485312,43520000,1678561280,0,73728,9049594,3469205
08-12 14:14:47,71.610,13.942,13.815,0,0.634,1561452544,30278434816,43520000,1678565376,0,0,8376560,3268818
08-12 14:14:48,68.687,18.056,12.626,0,0.631,1613004800,30226882560,43520000,1678565376,0,0,9124059,3549678
08-12 14:14:49,57.107,19.416,22.589,0,0.888,1614708736,30225178624,43520000,1678565376,0,0,9619293,3867041
08-12 14:14:50,41.709,20.536,36.990,0,0.765,1675902976,30163984384,43520000,1678565376,0,0,9558228,3929714
08-12 14:14:51,44.948,19.301,34.845,0,0.907,1693085696,30146801664,43520000,1678565376,0,0,9571597,3945769
08-12 14:14:52,38.619,21.611,39.003,0,0.767,1694842880,30145036288,43528192,1678565376,0,24576,9669390,3984239
08-12 14:14:53,39.974,21.354,37.630,0,1.042,1755443200,30084435968,43528192,1678565376,0,0,9558320,3977689
08-12 14:14:54,39.340,20.685,39.213,0,0.761,1775411200,30064467968,43528192,1678565376,0,835584,10082612,4063134
