"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-80-workloada-1024-20201208-104533-client.csv 1 400",,,,"Date:","08 Dec 2020 10:45:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 10:45:43,0.153,0.071,99.766,0.009,0.001,393203712,31996039168,32800768,1173020672,69642.888,191480.748,0,0
08-12 10:45:44,0,0,100,0,0,392810496,31996420096,32800768,1173028864,0,0,2142,1992
08-12 10:45:45,10.742,4.476,84.783,0,0,423481344,31899439104,33181696,1236852736,0,0,60461617,394284
08-12 10:45:46,23.096,6.091,70.685,0,0.127,428937216,31764873216,33562624,1360687104,0,0,79666215,214588
08-12 10:45:47,20.025,9.262,70.088,0.626,0,432021504,31680040960,36741120,1433079808,0,4911104,70496075,80583
08-12 10:45:48,14.452,6.710,78.710,0.129,0,403030016,31617642496,38170624,1516441600,0,2670592,79302245,84368
08-12 10:45:49,12.357,3.312,84.331,0,0,432590848,31524712448,38481920,1577103360,0,4096,7548558,15192
08-12 10:45:50,12.972,3.275,83.627,0,0.126,431972352,31464480768,38887424,1635270656,0,0,751,2940
08-12 10:45:51,12.532,2.785,84.684,0,0,433291264,31395868672,38887424,1700696064,0,0,2766,4469
08-12 10:45:52,12.091,4.282,83.627,0,0,431312896,31325622272,38887424,1771278336,0,0,785,2756
08-12 10:45:53,12.911,2.658,84.430,0,0,431112192,31259148288,38912000,1835814912,0,831488,2842,4755
08-12 10:45:54,12.263,3.287,84.324,0.126,0,434016256,31425159168,39124992,1670356992,0,864256,1572,4497
08-12 10:45:55,8.838,2.904,85.985,2.273,0,403574784,31455268864,39809024,1669677056,0,45428736,6868,8037
