"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-worker-16",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-80-workloada-1024-20201208-105437-16.csv 1 400",,,,"Date:","08 Dec 2020 10:54:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 10:54:47,6.158,1.577,92.142,0.086,0.037,28122025984,2827714560,91279360,2481676288,64787.288,671966.375,0,0
08-12 10:54:48,1.259,0,98.741,0,0,28121784320,2827952128,91279360,2481688576,0,0,39415,39341
08-12 10:54:49,0.754,0.503,98.744,0,0,28121784320,2827952128,91279360,2481688576,0,0,14274,16294
08-12 10:54:50,1.515,0.253,98.232,0,0,28121686016,2828050432,91279360,2481688576,0,0,20216,18621
08-12 10:54:51,3.030,0.758,96.212,0,0,28121751552,2827984896,91279360,2481688576,0,0,22169,21688
08-12 10:54:52,5.556,0.505,93.939,0,0,28122365952,2827370496,91279360,2481688576,0,86016,14862,13899
08-12 10:54:53,0.501,0.752,98.246,0.251,0.251,28122365952,2827370496,91279360,2481688576,0,16384,18354,15863
08-12 10:54:54,1.003,0.501,98.496,0,0,28122464256,2827272192,91279360,2481688576,0,0,7658,10431
08-12 10:54:55,1.005,0.251,98.744,0,0,28122394624,2827337728,91283456,2481688576,0,12288,7243,8292
08-12 10:54:56,0.758,0.253,98.990,0,0,28122357760,2827370496,91283456,2481692672,0,0,14680,15221
08-12 10:54:57,1.253,0.752,97.995,0,0,28122550272,2827177984,91283456,2481692672,0,0,15396,14224
08-12 10:54:58,1.519,0.253,98.228,0,0,28118777856,2830950400,91283456,2481692672,0,0,10653,11076
08-12 10:54:59,1.008,0.252,98.741,0,0,28118777856,2830950400,91283456,2481692672,0,0,15282,12705
08-12 10:55:00,1.746,0.499,97.756,0,0,28118810624,2830917632,91283456,2481692672,0,0,21818,22591
08-12 10:55:01,1.008,0.252,98.741,0,0,28118712320,2831015936,91283456,2481692672,0,28672,11186,13953
08-12 10:55:02,0.756,0.756,98.489,0,0,28118777856,2830950400,91287552,2481688576,0,12288,10152,10746
