"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-80-workloadb-1024-20201208-160911-0.csv 1 400",,,,"Date:","08 Dec 2020 16:09:21 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 16:09:21,10.387,2.517,86.975,0.091,0.030,28350799872,2418016256,125841408,2605510656,18651.532,508969.788,0,0
08-12 16:09:22,3.030,0.758,96.212,0,0,28350754816,2418057216,125841408,2605518848,0,90112,18194,20499
08-12 16:09:23,3.250,0.750,95.750,0,0.250,28350746624,2418057216,125841408,2605527040,0,32768,50064,50687
08-12 16:09:24,2.757,1.253,95.990,0,0,28350713856,2418089984,125841408,2605527040,0,24576,31137,30562
08-12 16:09:25,4.030,0.756,95.214,0,0,28350779392,2418024448,125841408,2605527040,0,0,29698,27880
08-12 16:09:26,2.519,0.252,97.229,0,0,28350779392,2418024448,125841408,2605527040,0,245760,16547,15134
08-12 16:09:27,6.599,0.508,92.640,0.254,0,28350844928,2417958912,125841408,2605527040,0,24576,28300,25430
08-12 16:09:28,2.771,0.252,96.977,0,0,28350906368,2417893376,125841408,2605531136,0,0,15140,14587
08-12 16:09:29,3.258,0.501,96.241,0,0,28350873600,2417926144,125841408,2605531136,0,0,13788,13431
08-12 16:09:30,17.618,2.233,80.149,0,0,28373860352,2394902528,125841408,2605563904,0,32768,15192,16491
08-12 16:09:31,26.667,2.222,71.111,0,0,28413665280,2355097600,125841408,2605563904,0,61440,13504,14102
08-12 16:09:32,27.654,0.741,71.605,0,0,28428115968,2340646912,125841408,2605563904,0,0,13407,12680
08-12 16:09:33,24.378,2.488,72.886,0,0.249,28424949760,2343809024,125841408,2605568000,0,40960,17322,14938
08-12 16:09:34,23.750,2.500,73.750,0,0,28435820544,2332938240,125841408,2605568000,0,0,15303,14311
08-12 16:09:35,23.383,2.985,73.632,0,0,28436140032,2332614656,125841408,2605572096,0,0,14399,13716
08-12 16:09:36,22.055,3.509,74.185,0,0.251,28441825280,2326929408,125841408,2605572096,0,16384,13333,12115
08-12 16:09:37,24.129,2.488,73.134,0,0.249,28441751552,2327003136,125841408,2605572096,0,53248,22375,19335
08-12 16:09:38,17.975,5.063,76.709,0,0.253,28441817088,2326937600,125841408,2605572096,0,0,14673,15144
08-12 16:09:39,15.938,5.141,78.663,0,0.257,28442042368,2326712320,125841408,2605572096,0,0,19910,18892
08-12 16:09:40,16.624,4.859,78.261,0,0.256,28442816512,2325938176,125841408,2605572096,0,0,15075,14742
08-12 16:09:41,15.423,3.483,80.597,0.249,0.249,28334657536,2434097152,125841408,2605572096,0,1142784,15086,13269
08-12 16:09:42,17.662,0.249,82.090,0,0,28349562880,2418892800,125841408,2605867008,0,0,16710,18215
08-12 16:09:43,3.509,0.501,95.739,0.251,0,28349558784,2418892800,125841408,2605871104,0,65536,10413,10569
08-12 16:09:44,3.242,0.499,96.259,0,0,28349558784,2418892800,125841408,2605871104,0,0,12754,12462
