"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-20-workloada-256-20201207-120829-0.csv 1 400",,,,"Date:","07 Dec 2020 12:08:34 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 12:08:34,10.946,3.639,83.223,2.063,0.130,1100787712,29529407488,97271808,2806013952,68760.395,6340144.574,0,0
07-12 12:08:35,4.467,2.233,93.052,0.248,0,1100267520,29529915392,97271808,2806026240,0,188416,152020,158894
07-12 12:08:36,9.596,3.283,86.616,0.505,0,1100390400,29529784320,97271808,2806034432,0,466944,347613,327113
07-12 12:08:37,17.571,3.618,78.295,0.258,0.258,1100779520,29529358336,97271808,2806038528,0,270336,908800,921756
07-12 12:08:38,36.788,9.326,52.073,1.813,0,1107296256,29522485248,97271808,2806083584,0,1634304,2316944,2274191
07-12 12:08:39,14.883,3.655,80.157,1.305,0,1121034240,29508481024,97271808,2806153216,0,2637824,1113710,1125459
07-12 12:08:40,32.234,5.076,61.421,1.269,0,1147445248,29481168896,97271808,2806546432,0,3338240,981272,1172450
07-12 12:08:41,12.727,2.857,82.857,1.299,0.260,1148772352,29479751680,97271808,2806636544,0,1544192,886868,633680
07-12 12:08:42,10.687,4.580,84.224,0.509,0,1150742528,29477781504,97271808,2806636544,0,1044480,791904,531655
07-12 12:08:43,7.673,3.069,87.468,1.535,0.256,1152167936,29476356096,97271808,2806636544,0,1241088,550792,361686
07-12 12:08:44,8.399,3.937,85.302,2.362,0,1153417216,29475106816,97271808,2806636544,0,1773568,522606,380650
07-12 12:08:45,9.610,4.416,83.377,2.338,0.260,1153892352,29474623488,97271808,2806644736,0,1609728,520517,446486
