"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-20-workloada-256-20201207-121922-client.csv 1 400",,,,"Date:","07 Dec 2020 12:19:27 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 12:19:27,1.182,0.589,98.182,0.028,0.018,435056640,30415572992,46809088,2637443072,63937.473,384786.941,0,0
07-12 12:19:28,4.975,2.114,92.413,0.373,0.124,462094336,30388273152,46931968,2637492224,0,1900544,63708,48505
07-12 12:19:29,10.916,5.897,83.061,0.125,0,461119488,30388355072,46977024,2637627392,0,729088,8035,12053
07-12 12:19:30,53.384,12.388,34.100,0,0.128,702771200,30146199552,46977024,2637668352,0,0,4119166,4006846
07-12 12:19:31,77.456,19.395,3.149,0,0,1136553984,29710376960,46977024,2637922304,0,0,8846509,8425382
07-12 12:19:32,71.142,10.038,18.821,0,0,1223720960,29619929088,46977024,2638360576,0,0,6320051,5665481
07-12 12:19:33,30.972,0.960,68.067,0,0,1244110848,29599424512,46977024,2638364672,0,0,1165797,464589
07-12 12:19:34,3.899,0.252,95.849,0,0,1243627520,29599907840,46977024,2638364672,0,0,819743,338056
07-12 12:19:35,0.502,0.125,99.247,0,0.125,1243328512,29600202752,46981120,2638364672,0,73728,237627,105396
07-12 12:19:36,1.258,0.252,98.491,0,0,1243295744,29600235520,46981120,2638364672,0,0,649454,261644
07-12 12:19:37,0.252,0.126,99.622,0,0,1243230208,29600301056,46981120,2638364672,0,0,277063,123601
07-12 12:19:38,6.030,0.377,93.593,0,0,1270562816,29572968448,46981120,2638364672,0,20480,330921,148973
07-12 12:19:39,1.258,0.126,98.616,0,0,1250615296,29592911872,46981120,2638364672,0,0,330507,137044
07-12 12:19:40,1.757,0.125,97.992,0,0.125,1252454400,29591064576,46989312,2638364672,0,20480,315118,131026
07-12 12:19:41,1.125,0.375,98.500,0,0,1252356096,29591162880,46989312,2638364672,0,0,480236,197228
07-12 12:19:42,1.380,0,98.620,0,0,1252487168,29591031808,46989312,2638364672,0,0,439075,179805
07-12 12:19:43,0.501,0.125,99.374,0,0,1252388864,29591130112,46989312,2638364672,0,0,210204,88311
07-12 12:19:44,0,0.125,99.875,0,0,1241325568,29602193408,46989312,2638364672,0,0,66135,29667
07-12 12:19:45,0.501,0.125,99.373,0,0,1242222592,29601296384,46989312,2638364672,0,0,206693,92050
07-12 12:19:46,0.501,0.125,99.373,0,0,1241886720,29601624064,46997504,2638364672,0,12288,163831,75476
07-12 12:19:47,0.125,0.125,99.624,0,0.125,1242017792,29601492992,46997504,2638364672,0,0,193137,78181
07-12 12:19:48,0.250,0.125,99.625,0,0,1242050560,29601460224,46997504,2638364672,0,0,60021,28100
07-12 12:19:49,0.878,0,99.122,0,0,1241919488,29601591296,46997504,2638364672,0,0,70115,38883
07-12 12:19:50,1.752,0.125,98.123,0,0,1242243072,29601267712,46997504,2638364672,0,0,179029,72487
07-12 12:19:51,1.377,0.375,98.248,0,0,1242300416,29601202176,47005696,2638364672,0,16384,291483,123726
07-12 12:19:52,2.130,0.251,97.619,0,0,1244073984,29599428608,47005696,2638364672,0,0,208236,91859
