"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-40-workloadb-512-20201207-141209-0.csv 1 400",,,,"Date:","07 Dec 2020 14:12:16 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 14:12:16,14.204,4.884,79.467,1.309,0.136,1450418176,28834660352,96342016,3149381632,87367.949,2458729.176,0,0
07-12 14:12:17,12.879,4.293,81.061,1.515,0.253,1450909696,28834160640,96342016,3149385728,0,3280896,846817,568934
07-12 14:12:18,12.935,3.980,81.095,1.990,0,1451921408,28833144832,96342016,3149389824,0,2990080,842385,591345
07-12 14:12:19,18.274,3.807,76.142,1.523,0.254,1455017984,28829822976,96342016,3149615104,0,3440640,843473,627423
07-12 14:12:20,50,5.838,42.893,1.269,0,1392308224,28891156480,96342016,3150991360,0,4124672,1871048,1598236
07-12 14:12:21,49.485,6.701,43.041,0.515,0.258,1408843776,28872548352,96342016,3153125376,0,1904640,1772895,1782248
07-12 14:12:22,36.856,6.443,55.412,1.289,0,1419792384,28859752448,96342016,3154972672,0,3788800,1469582,1397493
07-12 14:12:23,46.982,7.874,43.570,1.312,0.262,1430003712,28847558656,96342016,3156910080,0,2600960,2109833,2076981
07-12 14:12:24,48.177,10.417,39.323,1.823,0.260,1444843520,28830965760,96342016,3158642688,0,3661824,1926225,1928045
07-12 14:12:25,49.223,12.176,37.047,1.295,0.259,1408729088,28875415552,96342016,3150131200,0,11182080,2275247,2328517
07-12 14:12:26,26.410,8.462,63.077,1.795,0.256,1408823296,28875038720,96342016,3150352384,0,1486848,1452100,1468064
07-12 14:12:27,18.961,7.792,69.610,3.377,0.260,1410224128,28873555968,96342016,3150434304,0,4337664,1145856,864607
07-12 14:12:28,19.895,7.853,68.325,3.665,0.262,1412542464,28871135232,96342016,3150536704,0,4542464,1316358,1077433
07-12 14:12:29,26.478,10.026,59.897,3.342,0.257,1415217152,28868378624,96342016,3150614528,0,4505600,1317970,1123976
07-12 14:12:30,19.048,6.614,71.164,2.910,0.265,1418620928,28864925696,96342016,3150663680,0,4489216,1307365,978274
07-12 14:12:31,16.104,8.571,71.948,3.117,0.260,1418747904,28864700416,96342016,3150753792,0,1810432,926259,891319
07-12 14:12:32,30.491,10.336,56.848,2.067,0.258,1418797056,28864557056,96342016,3150843904,0,1957888,1321832,1240854
07-12 14:12:33,13.158,6.842,77.368,2.105,0.526,1418997760,28864266240,96342016,3150934016,0,1449984,801160,779133
07-12 14:12:34,18.684,7.895,70.526,2.632,0.263,1419149312,28863991808,96342016,3151052800,0,1822720,1121436,1048133
07-12 14:12:35,18.750,8.333,69.792,2.604,0.521,1420042240,28862992384,96342016,3151159296,0,1781760,1095747,1099268
07-12 14:12:36,18.037,6.101,73.740,1.857,0.265,1420025856,28862943232,96342016,3151224832,0,1253376,931584,899258
07-12 14:12:37,18.848,7.592,69.895,3.403,0.262,1422397440,28860510208,96342016,3151286272,0,4669440,1282365,982968
07-12 14:12:38,30.334,9.512,56.555,3.342,0.257,1424900096,28857909248,96342016,3151380480,0,4456448,1481822,1255273
07-12 14:12:39,23.500,8.250,64.750,3,0.500,1427734528,28854992896,96342016,3151446016,0,4415488,1376144,1146832
