"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-15",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloada-1024-20201207-172509-15.csv 1 400",,,,"Date:","07 Dec 2020 17:25:21 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 17:25:21,33.640,7.149,57.451,0.851,0.909,1588301824,29972316160,96071680,1907240960,88394.753,2477262.265,0,0
07-12 17:25:22,35.990,6.941,54.242,2.057,0.771,1588498432,29972115456,96071680,1907245056,0,3485696,2553885,2129479
07-12 17:25:23,39.340,8.883,49.746,1.269,0.761,1589497856,29971116032,96071680,1907245056,0,2211840,2750848,2270905
07-12 17:25:24,31.250,8,58.750,1.250,0.750,1591656448,29968953344,96071680,1907249152,0,2383872,2289829,1955582
07-12 17:25:25,35.768,7.305,55.164,1.259,0.504,1593413632,29967196160,96071680,1907249152,0,2170880,2406518,2141942
07-12 17:25:26,38.422,7.379,51.654,1.527,1.018,1595199488,29965406208,96071680,1907253248,0,2170880,2179007,1947941
07-12 17:25:27,45.729,8.040,43.719,1.508,1.005,1598353408,29962244096,96071680,1907261440,0,3354624,2943500,2484728
07-12 17:25:28,39.744,8.974,49.231,1.282,0.769,1600360448,29960228864,96071680,1907269632,0,2412544,2531805,2192865
07-12 17:25:29,39.896,8.549,49.741,0.518,1.295,1602691072,29957890048,96071680,1907277824,0,1335296,2488886,2193194
07-12 17:25:30,40.909,7.828,48.990,0.253,2.020,1602723840,29958053888,96071680,1907277824,0,126976,2098501,1919193
07-12 17:25:31,42.929,10.606,44.697,0.253,1.515,1602785280,29957976064,96071680,1907294208,0,352256,2648834,2394308
07-12 17:25:32,50,12.121,32.576,2.020,3.283,1605378048,29955366912,96071680,1907310592,0,3395584,2981377,2557431
07-12 17:25:33,51.031,11.082,35.309,0.773,1.804,1607491584,29953241088,96071680,1907322880,0,1966080,3016827,2666695
07-12 17:25:34,57.179,11.839,26.952,1.259,2.771,1610059776,29950664704,96071680,1907347456,0,2703360,2951317,2611118
07-12 17:25:35,64.541,9.949,20.153,1.020,4.337,1612410880,29948235776,96071680,1907359744,0,2011136,3238931,2927551
07-12 17:25:36,63.990,10.881,23.316,0.777,1.036,1616924672,29943398400,96071680,1907433472,0,2301952,3495218,3124815
07-12 17:25:37,52.284,10.660,34.772,1.269,1.015,1618927616,29941235712,96071680,1907490816,0,3301376,3203522,2788439
07-12 17:25:38,55.236,13.089,29.581,1.047,1.047,1621725184,29938233344,96071680,1907511296,0,2174976,3074429,2767326
07-12 17:25:39,57.841,10.797,30.077,0.257,1.028,1623617536,29936218112,96071680,1907548160,0,1495040,3138419,2810437
07-12 17:25:40,54.229,13.184,31.343,0.249,0.995,1624244224,29935362048,96071680,1907589120,0,299008,3339669,3185234
07-12 17:25:41,62.016,11.370,25.323,0,1.292,1625698304,29933846528,96071680,1907625984,0,286720,3602849,3410728
07-12 17:25:42,64.631,9.415,24.427,0.763,0.763,1629429760,29929873408,96071680,1907679232,0,2912256,3118954,2706575
07-12 17:25:43,45.995,11.370,40.052,1.292,1.292,1632010240,29927165952,96071680,1907716096,0,2162688,2858913,2543858
