"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-4",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-174942-4.csv 1 400",,,,"Date:","07 Dec 2020 17:49:53 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 17:49:53,35.294,7.868,54.771,1.901,0.165,1994715136,28042694656,96145408,3387031552,69323.560,4528163.546,0,0
07-12 17:49:54,31.139,6.835,60.759,1.266,0,1994858496,28042391552,96145408,3387195392,0,2699264,2556353,2392532
07-12 17:49:55,31.969,6.650,60.102,1.023,0.256,1995616256,28041633792,96145408,3387195392,0,1925120,3088236,2962844
07-12 17:49:56,27.949,6.154,64.359,1.282,0.256,1998241792,28039004160,96145408,3387195392,0,2830336,2267024,2046441
07-12 17:49:57,30.971,6.562,61.155,1.050,0.262,2000711680,28036534272,96145408,3387195392,0,2408448,2851035,2702295
07-12 17:49:58,36.896,5.852,56.489,0.763,0,2002804736,28034441216,96145408,3387195392,0,2228224,2996223,2854368
07-12 17:49:59,39.948,7.572,51.697,0.522,0.261,2002628608,28034605056,96145408,3387207680,0,520192,3302457,3408146
07-12 17:50:00,39.695,8.906,50.382,0.763,0.254,2003681280,28033536000,96145408,3387224064,0,602112,2825917,2817115
07-12 17:50:01,41.146,8.594,48.698,1.562,0,2006171648,28031021056,96145408,3387248640,0,2674688,3290903,3263132
07-12 17:50:02,38.083,8.031,52.332,1.295,0.259,2009333760,28027822080,96145408,3387269120,0,2785280,3110401,2999377
07-12 17:50:03,51.269,10.914,36.041,1.523,0.254,2013184000,28023902208,96145408,3387289600,0,2953216,3924013,3890263
07-12 17:50:04,55.980,8.906,33.333,1.527,0.254,2014158848,28022779904,96145408,3387314176,0,2867200,3682056,3694620
07-12 17:50:05,55.181,10.881,32.124,1.813,0,2020851712,28015759360,96145408,3387355136,0,3440640,4101940,4023818
07-12 17:50:06,47.165,14.433,36.082,2.062,0.258,2025951232,28010496000,96145408,3387371520,0,3756032,3662071,3635520
07-12 17:50:07,61.013,11.392,25.823,1.266,0.506,2032472064,28003893248,96145408,3387424768,0,3047424,4450746,4366103
07-12 17:50:08,50.259,11.917,34.974,2.332,0.518,2038444032,27997720576,96145408,3387490304,0,3506176,3526412,3435088
07-12 17:50:09,54.872,13.846,28.718,1.795,0.769,2044538880,27991511040,96145408,3387518976,0,1400832,3761960,3878604
07-12 17:50:10,51.010,13.131,33.081,2.273,0.505,2050015232,27985862656,96145408,3387555840,0,1634304,3103372,3311184
07-12 17:50:11,49.370,12.091,35.768,2.519,0.252,2057478144,27978379264,96145408,3387576320,0,3260416,3944439,4153006
