"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-180326-client.csv 1 400",,,,"Date:","07 Dec 2020 18:03:37 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 18:03:37,3.495,0.887,95.524,0.019,0.074,476479488,31297847296,46522368,1742295040,61845.222,250711.157,0,0
07-12 18:03:38,2.497,0.125,96.879,0.499,0,476381184,31297671168,46641152,1742348288,0,1527808,317889,278689
07-12 18:03:39,9.172,6.369,84.331,0.127,0,550510592,31223300096,46661632,1742409728,0,573440,248863,240969
07-12 18:03:40,26.255,10.039,63.578,0,0.129,655949824,31116263424,46686208,1742721024,0,196608,104484,230937
07-12 18:03:41,47.323,9.714,42.839,0,0.125,1034825728,30736519168,46686208,1742802944,0,0,2652569,2611493
07-12 18:03:42,75.342,21.046,3.487,0,0.125,1377542144,30390681600,46686208,1743151104,0,0,11553845,11108376
07-12 18:03:43,68.210,22.904,8.761,0,0.125,1776070656,29989167104,46686208,1743499264,0,0,10382137,10078564
07-12 18:03:44,72.160,23.221,4.619,0,0,2144169984,29616373760,46686208,1744027648,0,0,14545442,14004707
07-12 18:03:45,72.431,25.313,2.130,0,0.125,2604437504,29151457280,46690304,1744551936,0,69632,14039792,13591833
07-12 18:03:46,72.966,24.656,2.253,0,0.125,2846810112,28903837696,46690304,1745162240,0,0,17303424,16708407
07-12 18:03:47,72.195,26.309,1.372,0,0.125,3506688000,28239314944,46690304,1745641472,0,0,15013185,14523025
07-12 18:03:48,74.372,22.864,2.513,0,0.251,3916800000,27824177152,46690304,1746272256,0,0,15230368,14727954
07-12 18:03:49,74.088,24.528,1.258,0,0.126,4246466560,27489214464,46690304,1746890752,0,0,16513077,15962962
07-12 18:03:50,73.559,24.311,1.880,0,0.251,4701052928,27029491712,46698496,1747447808,0,16384,15867264,15325369
07-12 18:03:51,71.875,27.750,0.250,0,0.125,5404712960,26321539072,46698496,1747902464,0,0,14013346,13570863
07-12 18:03:52,76.441,22.431,0.752,0,0.376,5640417280,26080493568,46698496,1748561920,0,0,16386524,15819265
07-12 18:03:53,76.846,22.403,0.626,0,0.125,5692162048,26023686144,46698496,1749139456,0,0,16435393,15629467
07-12 18:03:54,72.444,20.075,7.232,0,0.249,5828030464,25883525120,46698496,1749618688,0,0,14584933,13308531
07-12 18:03:55,73.101,24.533,2.242,0,0.125,6374776832,25332805632,46706688,1749999616,0,20480,15717258,13384090
07-12 18:03:56,72.444,25.312,2.120,0,0.125,6870482944,24832483328,46706688,1750614016,0,0,17765961,13686117
07-12 18:03:57,76.654,21.973,0.999,0,0.375,7140548608,24558178304,46706688,1751130112,0,0,18618521,14678876
07-12 18:03:58,80.276,17.839,1.759,0,0.126,7159525376,24535515136,46706688,1751572480,0,0,18827776,13158183
07-12 18:03:59,76.404,22.597,0.999,0,0,7180378112,24510304256,46706688,1752043520,0,0,18931255,14928477
07-12 18:04:00,74.655,23.965,1.380,0,0,7519666176,24166772736,46714880,1752621056,0,16384,19756245,13720958
07-12 18:04:01,80.100,18.023,1.752,0,0.125,7537594368,24144859136,46714880,1753088000,0,0,20023361,13385211
07-12 18:04:02,77.554,14.880,7.566,0,0,7560400896,24119791616,46714880,1753391104,0,0,12164862,8280270
07-12 18:04:03,81.266,9.620,9.114,0,0,7575973888,24102875136,46714880,1753513984,0,0,11029020,6018771
07-12 18:04:04,75.841,8.717,15.318,0,0.125,7724060672,23953801216,46714880,1753731072,0,4096,8876937,4604919
07-12 18:04:05,70.492,4.288,25.221,0,0,7829348352,23848394752,46718976,1753759744,0,16384,8652868,2184173
07-12 18:04:06,43.735,3.194,52.948,0,0.123,7973765120,23703977984,46718976,1753759744,0,0,6328641,1587550
07-12 18:04:07,17.052,0.853,82.095,0,0,7979667456,23698075648,46718976,1753759744,0,0,4616040,1117233
07-12 18:04:08,6.667,0.741,92.469,0,0.123,7979474944,23698268160,46718976,1753759744,0,0,2185669,521992
07-12 18:04:09,7.654,0.988,90.617,0.741,0,7979732992,23698010112,46718976,1753759744,0,733184,4110671,975271
07-12 18:04:10,11.995,1.714,86.169,0,0.122,7969320960,23708418048,46723072,1753759744,0,36864,6345306,1474565
07-12 18:04:11,4.857,0.996,94.022,0,0.125,7970062336,23707656192,46723072,1753763840,0,0,3286338,778964
07-12 18:04:12,5.507,0.626,93.867,0,0,7970258944,23707459584,46723072,1753763840,0,0,3932752,931143
07-12 18:04:13,4.969,1.118,93.789,0,0.124,7970488320,23707230208,46723072,1753763840,0,0,3567585,838283
07-12 18:04:14,9.080,1.472,88.957,0.368,0.123,7970160640,23707557888,46723072,1753763840,0,11177984,5844613,1373586
07-12 18:04:15,8.302,1.115,90.458,0,0.124,7970095104,23707623424,46723072,1753763840,0,0,6132006,1433602
07-12 18:04:16,9.387,2.003,88.486,0,0.125,7977254912,23700455424,46731264,1753763840,0,32768,8342762,1935478
07-12 18:04:17,11.477,1.832,86.569,0,0.122,8001150976,23676559360,46731264,1753763840,0,0,8122496,1885042
07-12 18:04:18,10.111,2.466,87.300,0,0.123,8025993216,23651717120,46731264,1753763840,0,0,8054976,1864206
07-12 18:04:19,9.238,2.122,88.390,0,0.250,8050601984,23627108352,46731264,1753763840,0,0,7827037,1837544
07-12 18:04:20,8.712,1.963,89.202,0,0.123,8069214208,23608492032,46731264,1753767936,0,0,5167932,1215949
07-12 18:04:21,7.834,1.714,90.330,0,0.122,8085991424,23591714816,46731264,1753767936,0,0,5041365,1167209
07-12 18:04:22,8.282,1.483,90.235,0,0,8103534592,23574167552,46735360,1753767936,0,16384,5709834,1346353
07-12 18:04:23,7.037,1.481,91.358,0,0.123,8119627776,23558074368,46735360,1753767936,0,0,4999192,1177486
07-12 18:04:24,5.230,0.872,93.773,0,0.125,8131534848,23546167296,46735360,1753767936,0,0,3862693,915343
07-12 18:04:25,6.551,0.989,92.460,0,0,8145076224,23532625920,46735360,1753767936,0,0,4248723,1020320
07-12 18:04:26,2.375,0.500,97,0,0.125,8149852160,23527849984,46735360,1753767936,0,0,1509819,362724
07-12 18:04:27,1.635,0.377,97.987,0,0,8153300992,23524401152,46735360,1753767936,0,0,1028813,258716
07-12 18:04:28,3.015,0.628,96.231,0,0.126,8161456128,23516237824,46743552,1753767936,0,12288,2452906,583257
07-12 18:04:29,1.627,0.375,97.997,0,0,8163938304,23513755648,46743552,1753767936,0,0,839060,211872
07-12 18:04:30,3.004,0,96.871,0,0.125,8166002688,23511691264,46743552,1753767936,0,0,345361,88822
07-12 18:04:31,0.502,0.376,99.122,0,0,8168665088,23509028864,46743552,1753767936,0,0,213881,76143
07-12 18:04:32,6.196,1.363,92.317,0,0.124,8181297152,23496396800,46743552,1753767936,0,0,4144431,979426
07-12 18:04:33,7.152,1.110,91.615,0,0.123,8194646016,23483047936,46743552,1753767936,0,0,4498971,1064734
07-12 18:04:34,9.057,2.109,88.586,0.124,0.124,8218882048,23458803712,46751744,1753767936,0,131072,7310453,1700677
07-12 18:04:35,9.125,2,88.750,0,0.125,8240754688,23436931072,46751744,1753767936,0,0,7125472,1690553
07-12 18:04:36,30.012,3.113,66.625,0,0.249,8339132416,23338553344,46751744,1753767936,0,0,10660540,2486249
07-12 18:04:37,8.207,2.020,89.520,0,0.253,8339902464,23337783296,46751744,1753767936,0,0,7583304,1775833
07-12 18:04:38,9.774,1.629,88.346,0,0.251,8339771392,23337914368,46751744,1753767936,0,0,8637566,2014686
07-12 18:04:39,11.743,1.731,86.403,0,0.124,8340488192,23337197568,46751744,1753767936,0,0,8837267,2087249
07-12 18:04:40,9.962,1.387,88.525,0,0.126,8324706304,23352975360,46755840,1753767936,0,57344,8982461,2092368
07-12 18:04:41,8.989,1.748,89.139,0,0.125,8324640768,23353040896,46755840,1753767936,0,0,8225458,1909858
07-12 18:04:42,10.771,1.346,87.760,0,0.122,8324640768,23353040896,46755840,1753767936,0,0,7616219,1822906
07-12 18:04:43,10.396,1.609,87.748,0,0.248,8324771840,23352909824,46755840,1753767936,0,0,8212305,2036372
07-12 18:04:44,9.204,1.493,89.179,0,0.124,8324771840,23352909824,46755840,1753767936,0,0,7690653,1876768
07-12 18:04:45,4.089,0.620,95.167,0,0.124,8324763648,23352909824,46764032,1753767936,0,40960,1944271,706556
07-12 18:04:46,5.926,0.617,93.333,0,0.123,8324698112,23352975360,46764032,1753767936,0,0,3258113,879791
07-12 18:04:47,4.957,0.496,94.424,0,0.124,8324960256,23352713216,46764032,1753767936,0,0,2210273,800889
07-12 18:04:48,6.742,0.874,92.260,0,0.125,8324665344,23353008128,46764032,1753767936,0,0,5020964,1352333
07-12 18:04:49,7.654,1.380,90.841,0,0.125,8324923392,23352750080,46764032,1753767936,0,0,6172754,1655616
07-12 18:04:50,14.424,1.939,83.394,0,0.242,8325337088,23352328192,46768128,1753772032,0,16384,7358853,1962574
07-12 18:04:51,18.627,2.206,79.044,0,0.123,8338219008,23339446272,46768128,1753772032,0,0,7831453,2001675
07-12 18:04:52,7.683,0.620,91.574,0,0.124,8338173952,23339491328,46768128,1753772032,0,0,5042573,1407757
07-12 18:04:53,7.617,0.983,91.400,0,0,8338042880,23339622400,46768128,1753772032,0,0,4660747,1255451
07-12 18:04:54,3.713,0.248,95.916,0,0.124,8337944576,23339720704,46768128,1753772032,0,0,1349628,556109
07-12 18:04:55,7.082,0.855,92.063,0,0,8333914112,23343751168,46768128,1753772032,0,8192,3718976,1043893
07-12 18:04:56,35.976,1.463,62.317,0.122,0.122,8335007744,23342653440,46772224,1753772032,0,24576,5096059,1485375
07-12 18:04:57,31.148,0.468,68.384,0,0,8335364096,23342297088,46772224,1753772032,0,0,761511,338804
07-12 18:04:58,32.824,0.706,66.353,0,0.118,8335298560,23342362624,46772224,1753772032,0,0,2815870,971516
07-12 18:04:59,33.782,1.224,64.871,0,0.122,8335785984,23341875200,46772224,1753772032,0,0,6860052,1747173
07-12 18:05:00,34.938,2.099,62.840,0,0.123,8329940992,23347720192,46772224,1753772032,0,0,9095674,2393567
07-12 18:05:01,23.434,2.256,74.185,0,0.125,8424677376,23252983808,46772224,1753772032,0,0,8056782,2169230
07-12 18:05:02,8.425,1.221,90.232,0,0.122,8424771584,23252885504,46776320,1753772032,0,16384,5140567,1412000
07-12 18:05:03,9.436,1.471,88.848,0,0.245,8423763968,23253893120,46776320,1753772032,0,0,6415493,1674724
07-12 18:05:04,13.126,2.029,84.606,0,0.239,8423796736,23253860352,46776320,1753772032,0,0,8233991,2013255
07-12 18:05:05,9.828,1.474,88.452,0,0.246,8423772160,23253884928,46776320,1753772032,0,0,6999553,1753062
07-12 18:05:06,7.222,0.857,91.799,0,0.122,8424132608,23253524480,46776320,1753772032,0,0,3743945,966639
07-12 18:05:07,3.483,0.373,96.020,0,0.124,8423731200,23253925888,46776320,1753772032,0,0,1743043,503573
07-12 18:05:08,9.901,2.228,87.624,0,0.248,8423657472,23253991424,46784512,1753772032,0,12288,8360005,2006746
07-12 18:05:09,5.993,0.499,93.383,0,0.125,8423526400,23254122496,46784512,1753772032,0,0,4260685,1033961
07-12 18:05:10,9.963,1.353,88.315,0,0.369,8423976960,23253671936,46784512,1753772032,0,40960,6429622,1548594
07-12 18:05:11,9.962,1.387,87.894,0,0.757,8424587264,23253061632,46784512,1753772032,0,0,8052068,1925025
07-12 18:05:12,12.758,1.823,84.690,0,0.729,8424587264,23253061632,46784512,1753772032,0,0,7806630,1856016
07-12 18:05:13,10.578,2.337,86.347,0,0.738,8424554496,23253094400,46784512,1753772032,0,0,7539054,1794089
07-12 18:05:14,8.610,1.599,89.422,0,0.369,8424583168,23253061632,46788608,1753772032,0,16384,5368683,1323875
07-12 18:05:15,8.385,1.973,89.149,0,0.493,8424517632,23253127168,46788608,1753772032,0,24576,6100741,1459467
07-12 18:05:16,19.485,2.083,77.941,0,0.490,8424972288,23252672512,46788608,1753772032,0,0,8063452,1990906
07-12 18:05:17,7.081,1.615,90.932,0,0.373,8425005056,23252639744,46788608,1753772032,0,0,5265419,1319246
07-12 18:05:18,5.679,0.617,93.457,0,0.247,8425037824,23252606976,46788608,1753772032,0,0,2716501,762940
07-12 18:05:19,6.357,0.978,92.298,0,0.367,8425070592,23252574208,46788608,1753772032,0,0,2915315,744267
07-12 18:05:20,9.878,1.463,88.171,0,0.488,8424865792,23252770816,46792704,1753776128,0,24576,5717431,1439035
07-12 18:05:21,7.731,0.998,90.773,0,0.499,8424931328,23252705280,46792704,1753776128,0,0,5598967,1389595
07-12 18:05:22,5.868,0.856,93.032,0,0.244,8424865792,23252770816,46792704,1753776128,0,0,2383023,645905
07-12 18:05:23,3.004,0.501,96.245,0,0.250,8424767488,23252869120,46792704,1753776128,0,0,1907103,518850
07-12 18:05:24,2.122,0.250,97.503,0,0.125,8424964096,23252672512,46792704,1753776128,0,0,863592,262922
07-12 18:05:25,2.978,0.496,96.402,0,0.124,8424898560,23252738048,46792704,1753776128,0,0,1272122,362256
07-12 18:05:26,2.509,0.502,96.863,0,0.125,8424792064,23252836352,46800896,1753776128,0,16384,1553985,414833
07-12 18:05:27,8.516,0.973,90.268,0,0.243,8424824832,23252803584,46800896,1753776128,0,0,4573659,1091710
07-12 18:05:28,6.568,0.991,92.193,0,0.248,8424595456,23253032960,46800896,1753776128,0,0,4275491,1068927
07-12 18:05:29,5.890,0.736,93.129,0,0.245,8424853504,23252770816,46800896,1753780224,0,0,2961650,726000
07-12 18:05:30,2.747,0.375,96.754,0,0.125,8424787968,23252836352,46800896,1753780224,0,0,1272348,319568
07-12 18:05:31,2.494,0.249,97.132,0,0.125,8426242048,23251382272,46800896,1753780224,0,8192,927083,254159
07-12 18:05:32,0.750,0.125,99,0.125,0,8426205184,23251415040,46804992,1753780224,0,24576,234336,71690
07-12 18:05:33,0.376,0.125,99.498,0,0,8426205184,23251415040,46804992,1753780224,0,0,151423,66452
07-12 18:05:34,3,0.250,96.625,0,0.125,8427012096,23250608128,46804992,1753780224,0,4096,1564058,422131
07-12 18:05:35,4.218,0.744,94.789,0,0.248,8426782720,23250837504,46804992,1753780224,0,0,2283893,636807
07-12 18:05:36,2.740,0.498,96.638,0,0.125,8426848256,23250771968,46804992,1753780224,0,0,1143021,375458
07-12 18:05:37,8.323,1.863,89.441,0,0.373,8426782720,23250837504,46804992,1753780224,0,0,6685308,1682076
07-12 18:05:38,6.700,1.117,91.687,0.248,0.248,8427008000,23250608128,46809088,1753780224,0,45056,4388351,1135516
07-12 18:05:39,5.707,0.993,93.052,0,0.248,8427106304,23250509824,46809088,1753780224,0,0,3541462,951839
07-12 18:05:40,9.191,0.735,89.951,0,0.123,8426975232,23250640896,46809088,1753780224,0,0,5638701,1417518
07-12 18:05:41,7.606,1.122,91.147,0,0.125,8426909696,23250706432,46809088,1753780224,0,0,5968953,1546933
07-12 18:05:42,6.650,0.739,92.488,0,0.123,8426876928,23250739200,46809088,1753780224,0,0,3889338,1025871
07-12 18:05:43,5.904,0.984,92.989,0,0.123,8426614784,23251001344,46809088,1753780224,0,0,3409454,921516
07-12 18:05:44,6.584,0.870,92.422,0,0.124,8426971136,23250640896,46813184,1753780224,0,16384,4426897,1172472
07-12 18:05:45,4.762,0.877,94.361,0,0,8426864640,23250747392,46813184,1753780224,0,0,3722078,1011832
07-12 18:05:46,4.342,0.372,95.161,0,0.124,8426831872,23250780160,46813184,1753780224,0,65536,2361665,671471
07-12 18:05:47,4.574,0.618,94.808,0,0,8426913792,23250698240,46813184,1753780224,0,0,2355696,637290
07-12 18:05:48,1.993,0.125,97.758,0,0.125,8426889216,23250722816,46813184,1753780224,0,0,518553,271054
07-12 18:05:49,2.978,0.372,96.650,0,0,8426823680,23250788352,46813184,1753780224,0,0,1075391,381762
07-12 18:05:50,1.877,0,97.997,0,0.125,8426684416,23250919424,46821376,1753780224,0,24576,405955,247594
07-12 18:05:51,1.625,0.250,98.125,0,0,8426110976,23251492864,46821376,1753780224,0,0,278787,257845
07-12 18:05:52,1.004,0,98.871,0,0.125,8426102784,23251501056,46821376,1753780224,0,0,249348,200624
07-12 18:05:53,1.498,0,98.502,0,0,8426061824,23251542016,46821376,1753780224,0,0,212047,199040
07-12 18:05:54,0.751,0,99.249,0,0,8425906176,23251697664,46821376,1753780224,0,0,124477,124468
07-12 18:05:55,1.126,0.125,98.623,0,0.125,8425996288,23251607552,46821376,1753780224,0,0,280919,204193
07-12 18:05:56,4.467,0.496,94.913,0,0.124,8425664512,23251935232,46825472,1753780224,0,16384,2209875,657068
07-12 18:05:57,1.750,0.125,98.125,0,0,8425762816,23251836928,46825472,1753780224,0,0,474713,272922
07-12 18:05:58,3.970,0.372,95.533,0,0.124,8425902080,23251697664,46825472,1753780224,0,0,2036218,611350
07-12 18:05:59,2.615,0.249,97.136,0,0,8425893888,23251705856,46825472,1753780224,0,0,772040,380387
07-12 18:06:00,2,0,97.875,0,0.125,8425598976,23252000768,46825472,1753780224,0,0,332714,246240
07-12 18:06:01,3.880,0.250,95.870,0,0,8425836544,23251763200,46825472,1753780224,0,0,2052311,760024
07-12 18:06:02,10.263,1.252,88.360,0,0.125,8425435136,23252156416,46833664,1753780224,0,16384,8497427,2157357
07-12 18:06:03,31.026,1.360,67.491,0,0.124,8425541632,23252049920,46833664,1753780224,0,0,6293815,1721428
07-12 18:06:04,34.386,0.819,64.678,0,0.117,8425361408,23252230144,46833664,1753780224,0,0,4788104,1317867
07-12 18:06:05,34.875,2.254,62.752,0,0.119,8425484288,23252107264,46833664,1753780224,0,0,7604880,1981042
07-12 18:06:06,33.702,1.722,64.453,0,0.123,8425353216,23252238336,46833664,1753780224,0,0,7954956,2001072
07-12 18:06:07,33.688,0.946,65.366,0,0,8426516480,23251075072,46833664,1753780224,0,0,4611736,1213271
07-12 18:06:08,31.877,1.063,66.942,0,0.118,8428306432,23249276928,46841856,1753780224,0,12288,3638999,998230
07-12 18:06:09,3.222,0.372,96.283,0,0.124,8428318720,23249260544,46841856,1753784320,0,0,1436500,431308
07-12 18:06:10,9.653,1.238,88.985,0,0.124,8428343296,23249235968,46841856,1753784320,0,0,7145935,1803272
07-12 18:06:11,6.832,1.118,91.925,0,0.124,8428924928,23248654336,46841856,1753784320,0,0,4687755,1240803
07-12 18:06:12,9.268,1.220,89.390,0,0.122,8428843008,23248736256,46841856,1753784320,0,4096,5587998,1462028
07-12 18:06:13,7.540,1.112,91.224,0,0.124,8428859392,23248719872,46841856,1753784320,0,0,5074342,1348354
07-12 18:06:14,7.275,0.617,91.862,0,0.247,8428638208,23248932864,46850048,1753784320,0,16384,4226871,1116117
07-12 18:06:15,7.862,0.983,91.032,0,0.123,8428589056,23248982016,46850048,1753784320,0,0,4857434,1278358
07-12 18:06:16,10.037,1.469,88.372,0,0.122,8428564480,23249006592,46850048,1753784320,0,0,7183798,1852685
07-12 18:06:17,3.607,0.373,95.896,0,0.124,8428658688,23248908288,46854144,1753784320,0,24576,1901883,597145
