"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-20-workloada-256-20201206-104307-0.csv 1 400",,,,"Date:","06 Dec 2020 10:43:09 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 10:43:09,5.316,1.398,92.921,0.319,0.047,4851896320,25941716992,40837120,2708705280,259422.838,1701594.527,0,0
06-12 10:43:10,0.758,0.505,98.232,0.253,0.253,4850511872,25943080960,40845312,2708713472,0,94208,46563,52143
06-12 10:43:11,0.759,0.506,98.734,0,0,4850368512,25943212032,40853504,2708717568,0,24576,41966,42623
06-12 10:43:12,0.505,0.505,98.990,0,0,4850368512,25943212032,40853504,2708717568,0,0,36372,39706
06-12 10:43:13,2.020,0.505,97.475,0,0,4850401280,25943179264,40853504,2708717568,0,0,51525,45418
06-12 10:43:14,37.150,3.053,59.542,0,0.254,4850941952,25942614016,40857600,2708738048,0,8192,316309,405003
06-12 10:43:15,69.211,8.142,22.646,0,0,4864348160,25928724480,40857600,2708996096,0,0,1201731,1261605
06-12 10:43:16,50.633,5.063,44.304,0,0,4888944640,25903759360,40857600,2709258240,0,0,894034,851536
06-12 10:43:17,61.637,9.463,28.645,0,0.256,4891750400,25900302336,40865792,2709786624,0,36864,1511207,1756475
06-12 10:43:18,79.135,8.397,12.468,0,0,4914130944,25877155840,40865792,2710474752,0,0,2032771,2168564
06-12 10:43:19,56.203,10.886,32.658,0,0.253,4997709824,25792933888,40865792,2711056384,0,0,1557616,1666599
06-12 10:43:20,48.120,8.521,43.108,0,0.251,5067419648,25722736640,40865792,2711543808,0,0,1220787,1316115
06-12 10:43:21,62.887,10.309,26.546,0,0.258,5105852416,25683812352,40865792,2712035328,0,0,1549053,1587247
06-12 10:43:22,60,11.392,28.354,0,0.253,5106139136,25682681856,40873984,2712870912,0,20480,2197330,2215009
06-12 10:43:23,52.756,14.173,32.808,0,0.262,5118976000,25669107712,40873984,2713591808,0,0,2062005,2083844
06-12 10:43:24,43.223,10.742,45.780,0,0.256,5119614976,25667747840,40873984,2714296320,0,0,1753870,1997023
06-12 10:43:25,43.878,13.520,42.347,0,0.255,5119541248,25667035136,40873984,2715082752,0,0,2026247,2033110
06-12 10:43:26,63.158,11.779,24.812,0,0.251,5126311936,25659314176,40873984,2716033024,0,0,2378534,2424727
06-12 10:43:27,78.228,11.139,10.380,0,0.253,5132664832,25651986432,40882176,2716999680,0,20480,2677719,2633916
06-12 10:43:28,71.788,9.572,18.640,0,0,5155708928,25628073984,40882176,2717868032,0,0,2052451,2112579
06-12 10:43:29,43.108,19.549,36.090,0.752,0.501,5162504192,25620426752,40882176,2718720000,0,315392,2365130,2370855
06-12 10:43:30,43.947,15.263,40.526,0,0.263,5163655168,25618522112,40882176,2719473664,0,0,2171918,2239081
06-12 10:43:31,37.150,17.812,44.784,0,0.254,5168930816,25612558336,40882176,2720157696,0,0,2006051,2079424
06-12 10:43:32,49.747,14.899,35.101,0,0.253,5180370944,25600139264,40890368,2721120256,0,24576,2581816,2525000
06-12 10:43:33,45.455,14.646,39.646,0,0.253,5180391424,25599234048,40890368,2722000896,0,0,2417314,2323075
06-12 10:43:34,46.891,13.472,39.378,0,0.259,5187448832,25590898688,40890368,2723258368,0,65536,2286987,2338717
06-12 10:43:35,46.615,10.938,42.188,0,0.260,5189115904,25598656512,40890368,2714030080,0,0,1696514,1727892
06-12 10:43:36,44.081,14.610,41.058,0,0.252,5198233600,25588883456,40890368,2714677248,0,0,1696380,1919931
06-12 10:43:37,38.875,13.043,47.826,0,0.256,5198290944,25588187136,40898560,2715308032,0,61440,1813429,1808483
06-12 10:43:38,48.469,17.347,33.929,0,0.255,5212815360,25572896768,40898560,2716073984,0,4096,2441420,2454061
06-12 10:43:39,48.985,19.543,30.964,0,0.508,5213069312,25571721216,40898560,2716991488,0,77824,2684068,2929071
06-12 10:43:40,53.368,17.098,29.275,0,0.259,5217419264,25566203904,40898560,2718150656,0,0,3076631,3197809
06-12 10:43:41,59.744,13.846,26.410,0,0,5217869824,25564971008,40898560,2718932992,0,0,2055361,2075156
06-12 10:43:42,65.285,13.212,21.244,0,0.259,5221326848,25560498176,40906752,2719936512,0,53248,2835917,2737617
06-12 10:43:43,57.623,12.661,29.457,0,0.258,5230063616,25550770176,40906752,2720915456,0,0,2632602,2774447
06-12 10:43:44,46.582,17.975,32.911,2.278,0.253,5230059520,25549963264,40906752,2721722368,0,14032896,2287623,2425758
06-12 10:43:45,48.586,14.910,36.247,0,0.257,5239209984,25539919872,40906752,2722590720,0,0,2347979,2434626
06-12 10:43:46,47.570,12.020,40.153,0,0.256,5240647680,25537642496,40906752,2723422208,0,0,2151390,2182229
06-12 10:43:47,56.853,14.213,28.426,0.254,0.254,5256290304,25520848896,40914944,2724540416,0,36864,2786946,2857455
06-12 10:43:48,51.786,15.816,32.143,0,0.255,5258600448,25517633536,40914944,2725433344,0,0,2707197,2762385
06-12 10:43:49,61.697,12.853,25.193,0,0.257,5266677760,25508077568,40914944,2726871040,0,0,3126401,3506786
06-12 10:43:50,47.980,18.939,32.828,0,0.253,5274324992,25499697152,40914944,2727596032,0,8192,2359102,2431193
06-12 10:43:51,42.893,16.751,39.848,0,0.508,5259071488,25514209280,40914944,2728316928,0,0,2245505,2196676
06-12 10:43:52,58.794,12.814,28.141,0,0.251,5265838080,25506349056,40923136,2729385984,0,28672,2819411,2910368
06-12 10:43:53,55.412,14.948,29.639,0,0,5272821760,25498120192,40923136,2730590208,0,0,2975971,2974847
06-12 10:43:54,46.335,11.780,41.361,0,0.524,5272870912,25497313280,40923136,2731335680,0,0,1952400,2073964
06-12 10:43:55,49.495,15.909,34.343,0,0.253,5275717632,25493561344,40923136,2732220416,0,0,2390183,2628780
06-12 10:43:56,49.118,17.884,32.746,0,0.252,5284442112,25483886592,40923136,2733150208,0,0,2668526,2692675
06-12 10:43:57,55.216,15.522,29.008,0,0.254,5287763968,25479516160,40931328,2734166016,0,16384,3010324,3151888
06-12 10:43:58,37.626,18.434,43.687,0,0.253,5287800832,25478590464,40931328,2735030272,0,0,2124404,2270275
06-12 10:43:59,56.888,18.112,24.745,0,0.255,5303820288,25461485568,40931328,2736099328,0,0,3032354,3023236
06-12 10:44:00,39.740,15.325,44.675,0,0.260,5291868160,25472741376,40931328,2736783360,0,0,1941416,1997687
06-12 10:44:01,36.061,15.345,48.082,0,0.512,5291069440,25472831488,40931328,2737459200,0,0,1978603,2064652
06-12 10:44:02,43.223,16.113,40.409,0,0.256,5294444544,25468571648,40939520,2738311168,0,16384,2438142,2611908
06-12 10:44:03,41.860,16.279,41.602,0,0.258,5304520704,25457741824,40939520,2739048448,0,0,2116798,2178846
06-12 10:44:04,52.926,19.084,27.735,0,0.254,5314293760,25446875136,40939520,2740117504,0,0,3071343,3016271
06-12 10:44:05,47.208,13.706,37.563,1.015,0.508,5323804672,25433100288,40939520,2744270848,0,11563008,1588068,1699708
06-12 10:44:06,51.429,18.182,29.610,0,0.779,5327142912,25437671424,40939520,2736435200,0,0,2530177,2469019
06-12 10:44:07,56.122,19.898,23.214,0,0.765,5336268800,25425973248,40947712,2738946048,0,65536,2570434,2625728
06-12 10:44:08,55.750,17,26.250,0,1,5340127232,25421045760,40947712,2740002816,0,0,3167506,3061203
06-12 10:44:09,42.821,18.892,38.035,0,0.252,5340766208,25419431936,40947712,2740961280,0,0,2406283,2517342
06-12 10:44:10,44.531,16.146,39.062,0,0.260,5350580224,25409085440,40947712,2741481472,0,0,2232973,2221912
06-12 10:44:11,58.656,14.212,26.615,0,0.517,5354979328,25412833280,40947712,2733477888,0,0,2650830,2551217
06-12 10:44:12,51.938,15.504,32.041,0,0.517,5361999872,25404825600,40955904,2734444544,0,65536,2709024,2720480
06-12 10:44:13,47.716,18.274,33.756,0,0.254,5361664000,25404231680,40955904,2735362048,0,0,2713533,2847364
06-12 10:44:14,54.615,16.667,28.462,0,0.256,5369401344,25395384320,40955904,2736463872,0,0,3019497,3123902
06-12 10:44:15,46.597,18.848,32.984,1.047,0.524,5374226432,25389682688,40955904,2737332224,0,10969088,2532998,2663902
06-12 10:44:16,44.020,12.468,43.257,0,0.254,5375516672,25386020864,40955904,2739621888,0,0,2070998,1964152
06-12 10:44:17,59.162,14.398,25.916,0.262,0.262,5383884800,25396502528,40964096,2721046528,0,65536,3079608,2968504
06-12 10:44:18,49.347,16.188,34.204,0,0.261,5383577600,25395892224,40964096,2721959936,0,0,2955280,2788711
06-12 10:44:19,51.042,15.885,32.812,0,0.260,5385711616,25392508928,40964096,2723196928,0,0,2870559,2903053
06-12 10:44:20,47.558,18.766,33.419,0,0.257,5389926400,25387278336,40964096,2724212736,0,0,2697587,2828214
06-12 10:44:21,51.145,17.812,30.534,0,0.509,5397544960,25378623488,40964096,2725240832,0,0,2806168,2898217
06-12 10:44:22,48.312,17.143,34.286,0,0.260,5401436160,25373847552,40972288,2726109184,0,57344,2423153,2556305
06-12 10:44:23,38.083,15.026,46.632,0,0.259,5409624064,25365041152,40972288,2726719488,0,0,1973390,1964165
06-12 10:44:24,49.742,18.814,31.186,0,0.258,5413044224,25360539648,40972288,2727796736,0,0,2884806,3017162
06-12 10:44:25,38.845,14.436,46.719,0,0,5417709568,25355079680,40972288,2728579072,0,0,2356512,2674377
06-12 10:44:26,51.414,17.995,30.077,0,0.514,5427019776,25344708608,40972288,2729623552,0,8192,2586307,2629462
06-12 10:44:27,50.895,19.437,29.412,0,0.256,5430296576,25340264448,40980480,2730774528,0,36864,3145600,3185742
06-12 10:44:28,51.026,19.744,28.974,0,0.256,5438021632,25331511296,40980480,2731786240,0,0,2792024,2933972
06-12 10:44:29,48.205,14.872,36.667,0,0.256,5453885440,25314648064,40980480,2732777472,0,0,2644487,2613671
06-12 10:44:30,47.716,17.005,35.025,0,0.254,5454868480,25312714752,40980480,2733703168,0,0,2707178,2837487
06-12 10:44:31,49.738,18.325,31.414,0.262,0.262,5457977344,25308463104,40996864,2734809088,0,73728,2835739,2942231
06-12 10:44:32,48.615,15.869,35.264,0,0.252,5470388224,25295175680,40996864,2735673344,0,0,2351885,2407007
06-12 10:44:33,35.678,14.824,49.246,0,0.251,5470289920,25294528512,40996864,2736398336,0,0,2188035,2132393
06-12 10:44:34,50.127,15.949,33.671,0,0.253,5473738752,25289543680,40996864,2737905664,0,0,2550381,2711764
06-12 10:44:35,38.501,12.920,48.320,0,0.258,5474521088,25298264064,40996864,2728476672,0,0,1931296,2248425
06-12 10:44:36,52.051,15.385,31.538,0.513,0.513,5486956544,25284841472,41005056,2729447424,0,4026368,2499053,2430979
06-12 10:44:37,51.918,17.136,30.435,0,0.512,5490085888,25280651264,41005056,2730479616,0,0,2813248,3152624
06-12 10:44:38,50.524,18.586,30.628,0,0.262,5489983488,25279700992,41005056,2731524096,0,0,2966778,2964226
06-12 10:44:39,55.556,16.021,28.165,0,0.258,5512196096,25256460288,41005056,2732539904,0,4096,2628822,2692307
06-12 10:44:40,48.092,9.415,42.239,0,0.254,5509648384,25258192896,41005056,2733342720,0,0,2016216,2033409
06-12 10:44:41,45.780,16.113,37.084,0.767,0.256,5513465856,25253498880,41013248,2734198784,0,10829824,2494757,2613201
06-12 10:44:42,45.897,17.436,36.410,0,0.256,5513195520,25252884480,41013248,2735071232,0,0,2492420,2653017
06-12 10:44:43,31.429,9.870,58.442,0,0.260,5521547264,25244049408,41013248,2735546368,0,0,1658016,1613953
06-12 10:44:44,45.823,17.468,36.456,0,0.253,5549993984,25214582784,41013248,2736558080,0,0,2664021,2722661
06-12 10:44:45,48.837,19.897,31.008,0,0.258,5633519616,25130008576,41013248,2737582080,0,0,2885768,2953763
06-12 10:44:46,54.922,16.839,26.425,1.554,0.259,5672693760,25089667072,41021440,2738728960,0,14213120,2820205,2935569
06-12 10:44:47,59.033,10.433,30.280,0,0.254,5676249088,25085345792,41021440,2739486720,0,0,2401127,2240146
06-12 10:44:48,42.159,18.509,39.075,0,0.257,5676113920,25084354560,41021440,2740588544,0,0,2529497,2637722
06-12 10:44:49,46.851,16.373,36.272,0,0.504,5679509504,25080119296,41021440,2741420032,0,0,2503559,2644542
06-12 10:44:50,44.987,18.252,36.504,0,0.257,5680586752,25078034432,41021440,2742398976,0,0,2614736,2711143
06-12 10:44:51,42.607,16.541,40.602,0,0.251,5744484352,25013297152,41029632,2743209984,0,151552,2346150,2352934
06-12 10:44:52,53.608,16.237,29.897,0,0.258,5855899648,24900788224,41029632,2744283136,0,0,2884649,2685723
06-12 10:44:53,36.318,15.672,47.761,0,0.249,5855592448,24900222976,41029632,2745135104,0,0,2158508,2179468
06-12 10:44:54,40.155,13.731,46.114,0,0,5858971648,24895926272,41029632,2746028032,0,0,2444399,2622173
06-12 10:44:55,32.987,12.468,54.286,0,0.260,5859139584,24895238144,41029632,2746535936,0,0,1744743,1777132
06-12 10:44:56,47.859,17.128,34.761,0,0.252,5862432768,24890966016,41037824,2747494400,0,28672,2740079,2867065
06-12 10:44:57,48.454,18.299,32.732,0,0.515,5862772736,24889442304,41037824,2748653568,0,0,3160610,3087293
06-12 10:44:58,51.036,17.358,31.088,0,0.518,5925531648,24825614336,41037824,2749689856,0,0,2617650,2541232
06-12 10:44:59,42.569,17.884,39.043,0,0.504,5928427520,24821784576,41037824,2750603264,0,0,2358329,2437723
06-12 10:45:00,32.911,14.684,52.152,0,0.253,5928562688,24820977664,41037824,2751258624,0,0,1950412,1895640
06-12 10:45:01,48.214,15.306,36.224,0,0.255,5931806720,24816521216,41046016,2752442368,0,163840,2575375,2705259
06-12 10:45:02,56.203,14.430,29.114,0,0.253,5944233984,24812781568,41046016,2743857152,0,0,2407642,2402169
06-12 10:45:03,48.232,9.848,41.667,0,0.253,5939519488,24816939008,41046016,2744406016,0,0,1714057,1585259
06-12 10:45:04,57.990,14.433,27.320,0,0.258,5965971456,24788885504,41046016,2745974784,0,0,3108240,2891629
06-12 10:45:05,44.949,15.657,39.141,0,0.253,5966983168,24797052928,41046016,2736844800,0,0,2215104,2243447
06-12 10:45:06,43.223,16.624,39.130,0.256,0.767,5966413824,24796946432,41054208,2737504256,0,90112,2074727,2165489
06-12 10:45:07,46.632,14.508,38.342,0,0.518,5977153536,24785432576,41054208,2738274304,0,983040,2261370,2395298
06-12 10:45:08,52.806,18.367,28.061,0,0.765,6055555072,24706039808,41054208,2739261440,0,0,2594455,2810135
