"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-20-workloada-256-20201206-110042-client.csv 1 400",,,,"Date:","06 Dec 2020 11:00:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 11:00:47,4.998,2.050,92.642,0.055,0.254,417783808,31413932032,40853504,1689755648,172495.825,674410.807,0,0
06-12 11:00:48,4.528,2.264,92.956,0.126,0.126,415313920,31416115200,40980480,1689804800,0,1159168,83986,64184
06-12 11:00:49,8.915,7.494,83.075,0.258,0.258,435699712,31395229696,41029632,1689894912,0,745472,8382,8436
06-12 11:00:50,23.486,4.326,66.255,0,5.933,512356352,31318269952,41041920,1689944064,0,0,4174,2391
06-12 11:00:51,24.935,12.920,61.111,0,1.034,678719488,31149445120,41041920,1689944064,0,4096,4725,1323
06-12 11:00:52,11.598,10.309,77.191,0,0.902,685268992,31142621184,41041920,1689944064,0,0,64191,91327
06-12 11:00:53,29.583,10.999,58.786,0,0.632,729137152,31098753024,41041920,1689944064,0,0,490122,379580
06-12 11:00:54,68.914,20.974,9.363,0,0.749,901378048,30922342400,41041920,1690013696,0,0,3000365,2637699
06-12 11:00:55,54.963,9.926,34.491,0.124,0.496,1019842560,30800830464,41050112,1690021888,0,114688,1734572,1525877
06-12 11:00:56,62.250,12.500,24.500,0,0.750,1251246080,30567206912,41050112,1690021888,0,0,2819603,2163403
06-12 11:00:57,54.534,7.053,37.657,0,0.756,1332846592,30483587072,41050112,1690021888,0,0,2697792,1891012
06-12 11:00:58,48.298,3.531,47.793,0,0.378,1354215424,30461067264,41050112,1690021888,0,0,1531749,1101206
06-12 11:00:59,74.561,8.897,16.165,0,0.376,1367760896,30446837760,41050112,1690021888,0,0,2168003,1499204
06-12 11:01:00,27.444,4.762,64.536,0,3.258,1375723520,30438645760,41050112,1690021888,0,0,2027527,1402930
06-12 11:01:01,24.495,6.313,68.687,0,0.505,1384939520,30429073408,41058304,1690021888,0,16384,2294912,1615170
06-12 11:01:02,31.418,7.152,60.792,0,0.639,1521422336,30292447232,41058304,1690021888,0,0,2771919,1919855
06-12 11:01:03,27.945,7.268,64.035,0,0.752,1526738944,30287069184,41058304,1690021888,0,0,2785495,1962322
06-12 11:01:04,36.295,8.886,54.193,0,0.626,1538711552,30275039232,41058304,1690021888,0,0,3627345,2558537
06-12 11:01:05,51.341,6.003,42.146,0,0.511,1549520896,30264229888,41058304,1690021888,0,0,3034046,2181607
06-12 11:01:06,47.522,6.734,45.108,0,0.635,1556746240,30257000448,41058304,1690021888,0,0,3625094,2553443
06-12 11:01:07,28.661,6.508,64.330,0,0.501,1556639744,30257098752,41066496,1690021888,0,12288,2484538,1798462
06-12 11:01:08,20.603,3.392,75.754,0,0.251,1557409792,30256328704,41066496,1690021888,0,0,1325848,931044
06-12 11:01:09,14.994,5.337,79.288,0,0.381,1557770240,30255968256,41066496,1690021888,0,0,2086412,1533557
06-12 11:01:10,18.170,7.268,74.185,0,0.376,1545801728,30267936768,41066496,1690021888,0,0,2616182,1877375
06-12 11:01:11,17.839,8.203,73.438,0,0.521,1545375744,30268362752,41066496,1690021888,0,0,3486334,2524171
06-12 11:01:12,18.401,8.503,72.589,0,0.508,1545670656,30268067840,41066496,1690021888,0,0,3525479,2573482
06-12 11:01:13,17.557,6.870,75.191,0,0.382,1545695232,30268035072,41074688,1690021888,0,20480,2991106,2222074
