"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-7",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-40-workloadb-512-20201206-141424-7.csv 1 400",,,,"Date:","06 Dec 2020 14:14:31 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 14:14:31,19.385,4.955,75.401,0.205,0.054,2960343040,28331241472,42893312,2219134976,204416.153,1565883.453,0,0
06-12 14:14:32,1.768,0.758,97.475,0,0,2960351232,28331229184,42893312,2219139072,0,0,65224,65094
06-12 14:14:33,1.253,1.003,97.494,0,0.251,2960252928,28331327488,42893312,2219139072,0,0,54965,57511
06-12 14:14:34,1.010,0.505,98.485,0,0,2960318464,28331261952,42893312,2219139072,0,0,53665,52417
06-12 14:14:35,2.015,1.008,96.977,0,0,2960359424,28331220992,42893312,2219139072,0,0,56177,60854
06-12 14:14:36,14.464,0.998,84.539,0,0,2960314368,28331253760,42901504,2219143168,0,69632,133042,186895
06-12 14:14:37,42.711,4.859,52.430,0,0,2962272256,28329209856,42901504,2219216896,0,0,586628,675552
06-12 14:14:38,68.069,7.673,24.257,0,0,3011760128,28279431168,42901504,2219323392,0,0,1113252,1149611
06-12 14:14:39,71.679,8.271,20.050,0,0,3021856768,28268466176,42901504,2219778048,0,0,1587665,1802154
06-12 14:14:40,51.646,8.861,39.241,0,0.253,3025690624,28264157184,42901504,2220036096,0,0,1286403,1426569
06-12 14:14:41,34.750,6.500,58.750,0,0,3035783168,28253884416,42909696,2220163072,0,20480,873763,1002268
06-12 14:14:42,56.784,13.065,30.151,0,0,3040915456,28247863296,42909696,2220773376,0,0,1971960,2379363
06-12 14:14:43,75.064,10.797,13.882,0,0.257,3049197568,28238802944,42909696,2221424640,0,0,2250135,2639002
06-12 14:14:44,67.532,9.610,22.857,0,0,3058921472,28228161536,42909696,2222174208,0,0,1947758,2346211
06-12 14:14:45,75.750,10,14.250,0,0,3069480960,28216901632,42909696,2222833664,0,0,2075606,2484346
06-12 14:14:46,75.188,7.268,17.544,0,0,3071008768,28214697984,42917888,2223460352,0,20480,1996077,2463622
06-12 14:14:47,61.026,11.795,27.179,0,0,3072053248,28212940800,42917888,2224132096,0,0,1996140,2322028
06-12 14:14:48,51.654,12.214,35.878,0,0.254,3075112960,28209324032,42917888,2224676864,0,0,1921883,2268258
06-12 14:14:49,70.426,9.774,19.799,0,0,3084480512,28199329792,42917888,2225258496,0,0,1968684,2318895
06-12 14:14:50,60,14.615,25.385,0,0,3105329152,28177883136,42917888,2225852416,0,0,2233683,2643715
06-12 14:14:51,59.591,12.276,28.133,0,0,3088842752,28193533952,42926080,2226663424,0,20480,2514490,2879276
06-12 14:14:52,77.889,11.307,10.804,0,0,3093331968,28188135424,42926080,2227490816,0,0,2376487,2981866
06-12 14:14:53,65.092,13.123,21.785,0,0,3104489472,28175962112,42926080,2228482048,0,0,2458087,3044366
06-12 14:14:54,60.957,12.594,26.196,0,0.252,3106463744,28173336576,42926080,2229129216,0,0,2147823,2489562
06-12 14:14:55,53.627,10.622,27.979,7.772,0,3107893248,28171354112,42926080,2229657600,0,132149248,1922655,2251883
06-12 14:14:56,37.374,16.667,38.131,7.828,0,3109519360,28169179136,42934272,2230185984,0,82186240,1962228,2293501
06-12 14:14:57,54.005,14.212,31.525,0,0.258,3112730624,28165251072,42934272,2230878208,0,0,2606559,2998087
06-12 14:14:58,56.923,15.641,27.436,0,0,3115790336,28161314816,42934272,2231742464,0,0,2923055,3508750
