"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-14",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloada-1024-20201206-162704-14.csv 1 400",,,,"Date:","06 Dec 2020 16:27:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 16:27:14,20.125,4.572,75.013,0.173,0.116,4731551744,26291662848,46551040,2475335680,117575.638,1253084.940,0,0
06-12 16:27:15,1.263,0.505,98.232,0,0,4731523072,26291683328,46551040,2475343872,0,0,91098,87628
06-12 16:27:16,1.008,0.756,97.985,0,0.252,4731490304,26291716096,46551040,2475343872,0,0,70634,66950
06-12 16:27:17,1.508,0.754,97.739,0,0,4731490304,26291716096,46551040,2475343872,0,0,72734,72662
06-12 16:27:18,1.768,0.505,97.727,0,0,4731555840,26291650560,46551040,2475343872,0,1650688,68410,67856
06-12 16:27:19,1.263,0.505,98.232,0,0,4731490304,26291716096,46559232,2475335680,0,90112,69196,68609
06-12 16:27:20,5.025,1.256,93.719,0,0,4731482112,26291716096,46559232,2475343872,0,0,93780,114742
06-12 16:27:21,10.406,1.523,88.071,0,0,4731478016,26291716096,46559232,2475347968,0,0,161962,273513
06-12 16:27:22,6.818,1.010,92.172,0,0,4731666432,26291519488,46559232,2475356160,0,0,111554,121440
06-12 16:27:23,25.750,3,71,0,0.250,4733059072,26290061312,46559232,2475380736,0,69632,358009,403777
06-12 16:27:24,69.095,5.276,25.628,0,0,4738863104,26284052480,46559232,2475458560,0,0,612813,615422
06-12 16:27:25,85.714,7.519,6.516,0,0.251,4811051008,26211545088,46567424,2475618304,0,28672,733474,708911
06-12 16:27:26,39.250,4.250,56.500,0,0,4832423936,26190016512,46567424,2475692032,0,0,533697,540415
06-12 16:27:27,29.008,5.852,65.140,0,0,4836646912,26185437184,46567424,2475843584,0,0,886765,909287
06-12 16:27:28,32.368,7.368,60,0,0.263,4855078912,26166624256,46567424,2476019712,0,0,1059296,1054449
06-12 16:27:29,30.491,6.202,63.307,0,0,4901883904,26119421952,46567424,2476191744,0,0,906895,915537
06-12 16:27:30,31.486,5.038,63.224,0,0.252,4958531584,26062434304,46575616,2476408832,0,20480,745012,979745
06-12 16:27:31,20.202,5.051,74.747,0,0,4998975488,26021851136,46575616,2476515328,0,0,591941,713774
06-12 16:27:32,28.682,6.460,64.599,0,0.258,5002354688,26018140160,46575616,2476691456,0,0,902170,960876
06-12 16:27:33,44.361,8.772,46.867,0,0,5025492992,25994600448,46575616,2476871680,0,0,1047967,1071904
06-12 16:27:34,30.075,8.020,61.905,0,0,5011505152,26008276992,46575616,2477072384,0,0,994302,1036397
06-12 16:27:35,34.074,6.173,59.506,0,0.247,5013188608,26006220800,46583808,2477273088,0,20480,937801,1062135
06-12 16:27:36,35.696,8.101,56.203,0,0,5016219648,26002825216,46583808,2477514752,0,0,1116503,1151867
06-12 16:27:37,16.497,4.822,78.426,0,0.254,5016748032,26002169856,46583808,2477613056,0,0,491374,503219
06-12 16:27:38,24.439,4.988,70.574,0,0,5019824128,25998729216,46583808,2477883392,0,0,805041,1150583
06-12 16:27:39,24.479,6.510,68.750,0,0.260,5083504640,25917689856,46583808,2495016960,0,0,499245,538647
