"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloadb-1024-20201206-170456-client.csv 1 400",,,,"Date:","06 Dec 2020 17:05:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 17:05:05,21.720,7.084,71.107,0.020,0.069,487452672,31328030720,46751744,1696751616,75214.345,305762.437,0,0
06-12 17:05:06,1.003,0,98.872,0.125,0,487124992,31328108544,46854144,1696796672,0,2093056,16291,9565
06-12 17:05:07,9.470,5.177,85.101,0.126,0.126,493658112,31321456640,46874624,1696817152,0,638976,573385,533015
06-12 17:05:08,18.672,4.261,76.942,0.125,0,540352512,31273996288,46915584,1696931840,0,225280,7834,10935
06-12 17:05:09,10.968,10.323,78.581,0,0.129,719138816,31094349824,46915584,1696931840,0,0,35011,31725
06-12 17:05:10,12.583,12.053,75.232,0,0.132,742961152,31069790208,46915584,1696931840,0,0,291,372
06-12 17:05:11,28.125,7.552,64.193,0,0.130,1084030976,30722166784,46915584,1696931840,0,8192,54813,52926
06-12 17:05:12,78.046,6.345,15.609,0,0,1233104896,30572564480,46915584,1696931840,0,0,548,670
06-12 17:05:13,39.685,17.871,42.444,0,0,1488191488,30315454464,46915584,1696931840,0,0,283573,391286
06-12 17:05:14,5.634,7.554,86.684,0,0.128,1488445440,30315196416,46919680,1696931840,0,90112,91,170
06-12 17:05:15,7.603,8.247,84.021,0,0.129,1504419840,30299222016,46919680,1696931840,0,0,45365,42100
06-12 17:05:16,6.347,9.197,84.326,0,0.130,1511854080,30291787776,46919680,1696931840,0,0,71559,79173
06-12 17:05:17,13.510,8.344,78.013,0,0.132,1526706176,30276935680,46919680,1696931840,0,0,720896,160268
06-12 17:05:18,29.188,11.802,58.883,0,0.127,1570115584,30233526272,46919680,1696931840,0,0,596794,262259
06-12 17:05:19,33.206,10.473,56.194,0,0.128,1630388224,30173261824,46919680,1696931840,0,0,688317,251990
06-12 17:05:20,39.263,12.961,47.649,0,0.127,1694576640,30109073408,46923776,1696985088,0,16384,1061108,387652
06-12 17:05:21,58.438,18.514,23.048,0,0,1851723776,29951356928,46923776,1697234944,0,0,3918505,2330147
06-12 17:05:22,78.868,18.491,2.642,0,0,2047455232,29741047808,46923776,1697234944,0,0,8120683,5801675
06-12 17:05:23,58.728,36.035,5.112,0,0.125,2209267712,29569245184,46923776,1697234944,0,0,6029822,4910062
06-12 17:05:24,42.911,52.025,5.063,0,0,2428162048,29341523968,46923776,1697234944,0,0,4631983,3613702
06-12 17:05:25,75.032,23.329,1.639,0,0,2603270144,29150871552,46923776,1697234944,0,0,10063041,7796752
06-12 17:05:26,60.025,33.998,5.978,0,0,2810265600,28934770688,46931968,1697234944,0,20480,5857356,4446448
06-12 17:05:27,30.139,61.665,8.197,0,0,2990972928,28749000704,46931968,1697234944,0,0,3498852,2522961
06-12 17:05:28,61.683,32.035,6.281,0,0,3147239424,28582469632,46931968,1697234944,0,0,7204309,5468749
06-12 17:05:29,77.419,16.377,6.079,0,0.124,3269083136,28450017280,46931968,1697234944,0,0,7209916,5297384
06-12 17:05:30,44.780,43.899,11.321,0,0,3535069184,28179324928,46931968,1697234944,0,0,4235455,2860595
06-12 17:05:31,29.593,63.872,6.535,0,0,3754307584,27954741248,46931968,1697234944,0,0,4187000,2728683
06-12 17:05:32,14.268,74.069,11.663,0,0,3887316992,27818921984,46940160,1697234944,0,16384,2427571,1559210
06-12 17:05:33,61.461,33.627,4.912,0,0,4091936768,27602923520,46940160,1697234944,0,0,9778355,6801795
