"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloadb-1024-20201206-171732-0.csv 1 400",,,,"Date:","06 Dec 2020 17:17:42 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 17:17:42,23.328,5.722,70.608,0.271,0.071,4803784704,26211848192,58241024,2467254272,66074.757,1598097.687,0,0
06-12 17:17:43,1.768,0.505,97.727,0,0,4803584000,26212040704,58241024,2467258368,0,106496,87768,90073
06-12 17:17:44,1.511,1.259,96.977,0.252,0,4803584000,26212040704,58241024,2467258368,0,4096,66490,64707
06-12 17:17:45,2.785,0.506,96.456,0,0.253,4803649536,26211975168,58241024,2467258368,0,0,67926,67492
06-12 17:17:46,0.763,0.509,98.728,0,0,4803551232,26212073472,58241024,2467258368,0,1224704,61259,59618
06-12 17:17:47,1.263,0.505,98.232,0,0,4803485696,26212139008,58241024,2467258368,0,0,58155,56207
06-12 17:17:48,0.763,0.509,98.728,0,0,4803571712,26212052992,58241024,2467258368,0,49152,85070,84188
06-12 17:17:49,3.960,0.990,95.050,0,0,4803358720,26212265984,58241024,2467258368,0,0,75581,69120
06-12 17:17:50,1.266,0.506,98.228,0,0,4803293184,26212331520,58241024,2467258368,0,0,58778,55451
06-12 17:17:51,1.259,0.504,98.237,0,0,4803649536,26211975168,58241024,2467258368,0,0,56263,56833
06-12 17:17:52,2.267,0.756,96.977,0,0,4803551232,26212073472,58241024,2467258368,0,0,60917,60556
06-12 17:17:53,2.545,0.763,96.692,0,0,4803694592,26211926016,58241024,2467262464,0,0,74300,111056
06-12 17:17:54,1.781,0.254,97.964,0,0,4804284416,26211332096,58245120,2467262464,0,24576,63203,71958
06-12 17:17:55,8.794,1.005,90.201,0,0,4804349952,26211266560,58245120,2467262464,0,0,71884,87179
06-12 17:17:56,1.272,0.509,98.219,0,0,4804317184,26211299328,58245120,2467262464,0,0,70168,86371
06-12 17:17:57,4.020,0.754,94.975,0,0.251,4804640768,26210975744,58245120,2467262464,0,0,106214,156979
06-12 17:17:58,38.250,3,58.750,0,0,4807979008,26207588352,58245120,2467307520,0,0,387407,445938
06-12 17:17:59,61.179,5.651,33.170,0,0,4830511104,26184699904,58253312,2467434496,0,32768,865243,924758
06-12 17:18:00,40.351,4.261,55.388,0,0,4845031424,26169987072,58253312,2467520512,0,0,594001,633444
06-12 17:18:01,54.822,9.137,36.041,0,0,4900712448,26113966080,58253312,2467692544,0,0,1136486,1199245
06-12 17:18:02,43.655,8.629,47.462,0.254,0,4937027584,26077159424,58253312,2467901440,0,1466368,1281250,1388101
06-12 17:18:03,56.675,11.839,31.234,0,0.252,5044645888,25914241024,58253312,2521923584,0,0,810230,867635
06-12 17:18:04,62.779,15.385,21.836,0,0,5141696512,25700429824,58261504,2635776000,0,81920,452629,503096
06-12 17:18:05,86.035,8.728,5.237,0,0,5193023488,25553555456,58261504,2728767488,0,0,681087,653285
06-12 17:18:06,61.965,10.831,11.083,16.121,0,5219950592,25453694976,58269696,2799329280,0,118247424,1040952,1361112
06-12 17:18:07,49.746,10.914,37.817,1.523,0,5247676416,25499160576,58294272,2727424000,0,10838016,948025,1078614
06-12 17:18:08,53.383,6.767,39.850,0,0,5265113088,25417142272,58294272,2790416384,0,0,550146,612195
06-12 17:18:09,25.871,4.478,55.473,14.179,0,5269164032,25441316864,58310656,2762448896,0,126644224,333331,391325
06-12 17:18:10,11.168,1.777,86.548,0.508,0,5262782464,25514246144,58335232,2697490432,0,2383872,258980,300859
06-12 17:18:11,43.401,11.929,44.416,0,0.254,5355372544,25421053952,58335232,2697830400,0,0,1783406,1993641
06-12 17:18:12,59.601,11.721,28.678,0,0,5406429184,25369444352,58335232,2698182656,0,0,1545603,1776613
06-12 17:18:13,40.712,6.616,52.672,0,0,5409595392,25365970944,58335232,2698383360,0,0,1031635,1179367
06-12 17:18:14,17.337,7.035,75.628,0,0,5460967424,25314398208,58335232,2698498048,0,0,602010,679345
06-12 17:18:15,14.536,4.261,80.952,0,0.251,5461729280,25313484800,58343424,2698571776,0,49152,503790,555439
06-12 17:18:16,22.646,5.852,71.501,0,0,5462392832,25312673792,58343424,2698694656,0,0,807284,866060
06-12 17:18:17,48.586,8.997,42.416,0,0,5491376128,25283366912,58343424,2698960896,0,0,1599972,1717834
06-12 17:18:18,52.030,6.345,41.624,0,0,5492088832,25282174976,58343424,2699309056,0,0,1221454,1423272
06-12 17:18:19,48.849,9.719,41.176,0,0.256,5534048256,25239715840,58343424,2699681792,0,0,1676347,1896738
06-12 17:18:20,63.990,11.399,24.611,0,0,5556506624,25216548864,58343424,2700259328,0,20480,2222778,2573083
06-12 17:18:21,52.750,11.250,36,0,0,5553934336,25218502656,58343424,2700771328,0,0,1854188,2116047
06-12 17:18:22,13.077,3.590,83.333,0,0,5553983488,25218355200,58343424,2700869632,0,0,460216,545092
06-12 17:18:23,24.485,4.897,70.619,0,0,5555490816,25216659456,58343424,2701033472,0,0,886592,977355
06-12 17:18:24,25.445,6.870,67.430,0,0.254,5557428224,25214496768,58343424,2701205504,0,0,982720,1108388
06-12 17:18:25,18.252,5.398,76.350,0,0,5558157312,25213550592,58347520,2701365248,0,32768,792713,879415
06-12 17:18:26,44.275,9.415,46.310,0,0,5559283712,25211944960,58347520,2701766656,0,0,1981133,2222300
06-12 17:18:27,63.239,10.540,26.221,0,0,5560975360,25209368576,58347520,2702569472,0,0,2609553,3156246
06-12 17:18:28,66.244,12.690,20.812,0,0.254,5570502656,25198993408,58347520,2703273984,0,0,2777223,3282265
06-12 17:18:29,58.987,12.911,28.101,0,0,5623164928,25145544704,58347520,2704007168,0,0,2438039,2933181
06-12 17:18:30,53.077,13.077,33.846,0,0,5667926016,25100152832,58351616,2704572416,0,20480,2079037,2542014
06-12 17:18:31,71.574,13.452,14.975,0,0,5743005696,25024503808,58351616,2705108992,0,0,1983929,2422199
06-12 17:18:32,62.338,12.727,24.416,0.260,0.260,5800304640,24966537216,58351616,2705743872,0,9510912,2392916,2767134
06-12 17:18:33,44.730,11.311,43.959,0,0,5834874880,24931540992,58351616,2706132992,0,0,1680509,2032151
06-12 17:18:34,38.421,8.421,53.158,0,0,5850193920,24915927040,58351616,2706427904,0,0,1257015,1556550
06-12 17:18:35,55.325,13.247,31.169,0,0.260,5850304512,24915017728,58355712,2707189760,0,36864,2666500,3431732
06-12 17:18:36,62.850,14.758,22.392,0,0,5852274688,24912113664,58355712,2708103168,0,0,3169558,3791725
06-12 17:18:37,69.388,12.755,17.857,0,0,5853769728,24909803520,58359808,2708873216,0,122880,2748472,3337930
06-12 17:18:38,65.990,13.452,15.228,5.330,0,5868351488,24894324736,58359808,2709745664,0,139390976,2666329,3332580
06-12 17:18:39,52.393,15.365,31.234,0.756,0.252,5868298240,24893714432,58359808,2710392832,0,23613440,2568009,3094685
06-12 17:18:40,56.923,13.590,29.487,0,0,5868847104,24892407808,58359808,2711097344,0,0,2485440,3021390
06-12 17:18:41,48.586,14.396,36.761,0,0.257,5869015040,24891592704,58359808,2711707648,0,0,2403708,2816451
06-12 17:18:42,61.832,13.995,24.173,0,0,5898506240,24861278208,58363904,2712498176,0,40960,2952047,3504284
06-12 17:18:43,60.417,15.104,24.479,0,0,5921787904,24837083136,58363904,2713391104,0,0,3114597,3614645
06-12 17:18:44,59.591,14.834,25.320,0,0.256,5923770368,24834240512,58363904,2714234880,0,0,2949616,3473901
06-12 17:18:45,61.183,14.396,24.422,0,0,5929582592,24827555840,58363904,2715095040,0,0,2917033,3504313
06-12 17:18:46,61.183,13.882,24.679,0,0.257,5935034368,24821276672,58363904,2715906048,0,0,2672095,3120255
06-12 17:18:47,53.728,13.625,32.391,0.257,0,5934379008,24821280768,58372096,2716536832,0,24576,2544469,2941329
06-12 17:18:48,65.570,11.139,23.291,0,0,5936529408,24818466816,58372096,2717192192,0,0,2691935,3038903
06-12 17:18:49,41.500,12.500,45.750,0,0.250,5945618432,24809021440,58372096,2717536256,0,0,1710964,1950727
06-12 17:18:50,9.278,3.093,87.629,0,0,5945937920,24808599552,58372096,2717638656,0,0,435861,476583
06-12 17:18:51,64.416,14.026,21.558,0,0,5946314752,24807297024,58372096,2718552064,0,0,3027765,3416359
06-12 17:18:52,58.915,12.661,28.165,0,0.258,5964439552,24798007296,58380288,2709823488,0,49152,2198300,2586167
06-12 17:18:53,64.962,14.578,20.460,0,0,5978529792,24783286272,58380288,2710446080,0,0,3096652,3693511
06-12 17:18:54,62.051,13.333,24.615,0,0,5978193920,24782786560,58380288,2711269376,0,131072,2606229,3095345
06-12 17:18:55,59.241,15.443,25.063,0,0.253,5978296320,24782008320,58380288,2711945216,0,0,2633370,3197593
06-12 17:18:56,63.568,13.065,23.367,0,0,5981163520,24778391552,58380288,2712674304,0,0,2448690,2938056
06-12 17:18:57,66.076,12.405,21.519,0,0,5987061760,24771780608,58384384,2713374720,0,57344,2405516,2891039
06-12 17:18:58,63.384,13.384,22.980,0,0.253,5987622912,24770523136,58384384,2714066944,0,0,2578989,3012402
06-12 17:18:59,47.436,14.103,38.462,0,0,5990387712,24767299584,58384384,2714521600,0,0,2082156,2374908
06-12 17:19:00,61.125,12.276,26.343,0,0.256,5990596608,24766291968,58384384,2715316224,0,0,2737118,3154592
06-12 17:19:01,59.067,14.508,26.425,0,0,6022193152,24734064640,58384384,2715942912,0,0,2387233,2860406
06-12 17:19:02,59.383,16.195,24.165,0,0.257,6022406144,24733110272,58388480,2716667904,0,24576,2875254,3274875
06-12 17:19:03,58.270,13.740,27.990,0,0,6025986048,24728760320,58388480,2717437952,0,4096,2811912,3409470
06-12 17:19:04,54.822,15.228,29.442,0.254,0.254,6025609216,24728481792,58388480,2718089216,0,11755520,2512477,2919421
06-12 17:19:05,61.893,14.322,23.785,0,0,6029266944,24724221952,58388480,2718687232,0,0,2435205,2742041
06-12 17:19:06,38.974,9.487,51.538,0,0,6032195584,24720965632,58388480,2719010816,0,0,1602522,1794677
06-12 17:19:07,21.519,6.076,72.152,0,0.253,6032953344,24720027648,58392576,2719186944,0,69632,1146776,1254547
06-12 17:19:08,60,16.923,23.077,0,0,6033387520,24717766656,58392576,2720976896,0,0,3292869,3946147
06-12 17:19:09,63.636,11.616,24.747,0,0,6038147072,24722313216,58392576,2711756800,0,8192,2912019,3382778
06-12 17:19:10,60.309,14.175,25.258,0,0.258,6040969216,24718589952,58392576,2712641536,0,0,3170593,3848833
06-12 17:19:11,57.653,12.755,29.592,0,0,6042345472,24716410880,58392576,2713432064,0,0,2807078,3217052
06-12 17:19:12,60.305,16.794,22.901,0,0,6042497024,24715526144,58396672,2714152960,0,69632,2946132,3354591
06-12 17:19:13,54.592,14.286,30.867,0,0.255,6045929472,24711368704,58396672,2714865664,0,0,2602482,3104317
06-12 17:19:14,61.832,16.285,21.883,0,0,6045974528,24710504448,58396672,2715680768,0,77824,3196145,3747536
06-12 17:19:15,55.330,14.213,30.457,0,0,6049542144,24706166784,58396672,2716434432,0,0,2756499,3157698
06-12 17:19:16,60.202,12.594,26.952,0,0.252,6052667392,24702439424,58396672,2717024256,0,0,2726604,3071916
06-12 17:19:17,54.987,15.601,29.412,0,0,6054674432,24699621376,58400768,2717822976,0,20480,2791670,3277671
