"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloada-512-20201207-200747-0.csv 1 400",,,,"Date:","07 Dec 2020 20:07:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 20:07:52,7.919,2.028,89.854,0.168,0.030,27783393280,3239686144,107528192,2388545536,72116.814,993589.237,0,0
07-12 20:07:53,1.985,1.489,96.526,0,0,27783532544,3239534592,107528192,2388553728,0,94208,37368,41393
07-12 20:07:54,1.253,0.752,97.995,0,0,27783462912,3239600128,107528192,2388557824,0,36864,18349,20303
07-12 20:07:55,1.256,0,98.744,0,0,27783495680,3239567360,107528192,2388557824,0,0,18547,18610
07-12 20:07:56,41.878,3.553,54.315,0,0.254,27790577664,3232210944,107528192,2388832256,0,0,99614,193008
07-12 20:07:57,68.912,11.658,19.430,0,0,27808497664,3214286848,107528192,2388832256,0,0,840082,1031121
07-12 20:07:58,84.848,14.141,1.010,0,0,27823460352,3198251008,107528192,2389897216,0,8192,2410068,2906046
07-12 20:07:59,83.879,14.861,1.008,0,0.252,27846742016,3174825984,107528192,2390036480,0,53248,2374184,2913912
07-12 20:08:00,81.658,17.085,1.256,0,0,27850088448,3171057664,107528192,2390446080,0,290816,2460079,2924186
07-12 20:08:01,81.841,17.136,1.023,0,0,27854360576,3166347264,107528192,2390872064,0,40960,2636113,2980345
07-12 20:08:02,84.091,14.646,1.263,0,0,27856580608,3163766784,107528192,2391224320,0,851968,2471779,3035326
07-12 20:08:03,80.750,18.500,0.500,0,0.250,27865927680,3153698816,107528192,2391924736,0,921600,2780612,3350981
07-12 20:08:04,81.566,17.677,0.758,0,0,27873415168,3145555968,107528192,2392571904,0,0,2814733,3439154
07-12 20:08:05,82.576,15.657,1.515,0,0.253,27874951168,3143454720,107528192,2393128960,0,0,2639595,3047763
07-12 20:08:06,81.566,17.424,1.010,0,0,27876892672,3141230592,107528192,2393403392,0,0,2306240,2663132
07-12 20:08:07,85.101,12.626,2.273,0,0,27877777408,3139764224,107528192,2393939968,0,0,1460830,1797248
07-12 20:08:08,81.425,17.557,0.763,0,0.254,27878580224,3138666496,107528192,2394222592,0,118784,2817674,3374809
07-12 20:08:09,79.345,19.395,1.259,0,0,27877339136,3139362816,107528192,2394759168,0,0,3104495,3671636
07-12 20:08:10,81.108,16.373,2.519,0,0,27886452736,3129774080,107528192,2395222016,0,1175552,2605142,2968934
07-12 20:08:11,80.916,17.303,1.527,0.254,0,27873878016,3141652480,107532288,2395897856,0,81920,2837155,3471355
07-12 20:08:12,78.934,18.782,2.284,0,0,27863953408,3151396864,107532288,2396078080,0,2064384,2438472,2911283
07-12 20:08:13,80.353,18.388,1.008,0,0.252,27862007808,3152420864,107532288,2396979200,0,1740800,3315522,3917115
07-12 20:08:14,79.146,19.598,1.256,0,0,27861962752,3151777792,107532288,2397642752,0,0,2906230,3459009
07-12 20:08:15,79.293,11.869,8.586,0,0.253,27867561984,3145912320,107532288,2397908992,0,0,1251491,1283973
07-12 20:08:16,78.061,15.561,6.378,0,0,27853459456,3159867392,107532288,2398052352,0,0,1532204,1875252
07-12 20:08:17,80.711,18.274,1.015,0,0,27849695232,3162943488,107532288,2398728192,0,0,2817878,3501943
07-12 20:08:18,81.203,18.045,0.752,0,0,27849703424,3161907200,107532288,2399723520,0,688128,3115870,3677279
07-12 20:08:19,81.266,17.975,0.506,0,0.253,27850903552,3159695360,107532288,2400714752,0,94208,2749733,3273437
07-12 20:08:20,82.741,14.975,2.030,0,0.254,27867107328,3142610944,107532288,2401566720,0,24576,2426853,2728550
07-12 20:08:21,79.949,16.967,3.085,0,0,27872342016,3135619072,107532288,2403291136,0,1245184,1843060,2343837
07-12 20:08:22,82.828,16.162,0.758,0,0.253,27875336192,3131629568,107532288,2404257792,0,1032192,3280221,3822323
07-12 20:08:23,80.711,18.528,0.761,0,0,27886817280,3119357952,107532288,2405027840,0,2908160,3005880,3563629
07-12 20:08:24,80.102,17.602,2.041,0,0.255,27893293056,3111845888,107532288,2406035456,0,0,2178065,2505592
07-12 20:08:25,78.173,20.558,1.269,0,0,27897266176,3107590144,107532288,2406301696,0,0,3031768,3766483
