"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-worker-8",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloada-512-20201207-200747-8.csv 1 400",,,,"Date:","07 Dec 2020 20:07:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 20:07:52,7.047,1.986,90.784,0.168,0.016,27760107520,3325411328,103821312,2335719424,73281.610,948463.914,0,0
07-12 20:07:53,2.261,0.503,97.236,0,0,27747516416,3337994240,103821312,2335723520,0,90112,33203,33588
07-12 20:07:54,1.013,0.253,98.734,0,0,27747332096,3338174464,103821312,2335727616,0,0,15226,18131
07-12 20:07:55,1.003,0.501,98.496,0,0,27747397632,3338108928,103821312,2335727616,0,0,18758,13650
07-12 20:07:56,44.697,5.556,49.495,0,0.253,27753644032,3331715072,103821312,2335875072,0,0,103234,207997
07-12 20:07:57,64.508,9.585,25.907,0,0,27762216960,3323006976,103821312,2336010240,0,45056,965345,1136726
07-12 20:07:58,85.965,13.033,1.003,0,0,27771949056,3312156672,103821312,2337087488,0,8192,2648766,2936445
07-12 20:07:59,83.081,14.394,2.020,0,0.505,27781574656,3302244352,103821312,2337361920,0,0,2271184,2655575
07-12 20:08:00,85.316,12.405,1.772,0,0.506,27794599936,3288731648,103821312,2337841152,0,57344,2444481,2818718
07-12 20:08:01,82.957,15.288,1.253,0,0.501,27800915968,3282010112,103821312,2338230272,0,266240,2673151,3062283
07-12 20:08:02,83.127,14.640,1.489,0,0.744,27801358336,3281059840,103821312,2338697216,0,0,2660860,3085730
07-12 20:08:03,82.412,16.583,0.503,0,0.503,27802820608,3278958592,103825408,2339323904,0,1073152,2902295,3384875
07-12 20:08:04,81.704,17.544,0.501,0,0.251,27800494080,3280445440,103829504,2340151296,0,606208,3016287,3506227
07-12 20:08:05,81.407,17.839,0.754,0,0,27803656192,3276898304,103829504,2340519936,0,741376,2638206,3169974
07-12 20:08:06,80.506,17.215,2.278,0,0,27802460160,3277672448,103829504,2340929536,0,0,2380763,2880297
07-12 20:08:07,84.091,13.384,2.273,0,0.253,27811762176,3267964928,103829504,2341322752,0,24576,1547238,1872466
