"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloada-512-20201207-200747-client.csv 1 400",,,,"Date:","07 Dec 2020 20:07:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 20:07:52,1.739,0.759,97.461,0.014,0.027,422125568,31425884160,41213952,1674899456,73387.467,280736.618,0,0
07-12 20:07:53,3.851,2.236,93.665,0.248,0,448950272,31398797312,41340928,1674956800,0,1220608,255978,222396
07-12 20:07:54,8.647,7.143,83.709,0.125,0.376,435326976,31411445760,41390080,1675227136,0,720896,8435,10076
07-12 20:07:55,30.163,4.255,65.332,0,0.250,622596096,31223963648,41390080,1675231232,0,0,633693,55214
07-12 20:07:56,52.228,7.797,39.233,0,0.743,1217265664,30629093376,41390080,1675288576,0,0,963830,628433
07-12 20:07:57,81.750,6,11.500,0,0.750,1368027136,30478299136,41390080,1675321344,0,0,3970257,1893061
07-12 20:07:58,68.296,10.526,20.551,0,0.627,1451155456,30395170816,41390080,1675321344,0,0,5946083,2376469
07-12 20:07:59,58.543,9.296,31.281,0,0.879,1516384256,30329942016,41390080,1675321344,0,0,5342372,2151461
07-12 20:08:00,57.233,9.686,31.698,0,1.384,1582891008,30263427072,41398272,1675321344,0,77824,5992349,2370264
07-12 20:08:01,29.114,11.899,57.975,0,1.013,1630019584,30216298496,41398272,1675321344,0,0,7804043,3146925
07-12 20:08:02,24.905,11.182,62.897,0,1.017,1637466112,30208851968,41398272,1675321344,0,0,8136767,3208744
07-12 20:08:03,26.415,13.208,59.497,0,0.881,1667457024,30178861056,41398272,1675321344,0,0,8973156,3591486
07-12 20:08:04,26.879,14.522,57.962,0,0.637,1753026560,30093291520,41398272,1675321344,0,0,9269428,3662409
07-12 20:08:05,34.854,11.914,51.965,0.127,1.141,1770876928,30075432960,41406464,1675321344,0,20480,8735503,3544965
07-12 20:08:06,21.193,8.629,69.670,0,0.508,1770917888,30075392000,41406464,1675321344,0,0,7005938,2784042
07-12 20:08:07,15.248,6.226,78.272,0,0.254,1771716608,30074593280,41406464,1675321344,0,0,4934541,2004571
07-12 20:08:08,26.928,11.252,61.062,0,0.759,1776685056,30069624832,41406464,1675321344,0,0,8473176,3440370
07-12 20:08:09,26.615,14.212,58.269,0,0.904,1837166592,30009143296,41406464,1675321344,0,0,9900276,4006143
07-12 20:08:10,26.460,14.658,58.012,0,0.870,1913995264,29932314624,41406464,1675321344,0,0,9352187,3727321
07-12 20:08:11,25.773,11.727,61.598,0.129,0.773,1981308928,29864992768,41414656,1675321344,0,20480,8403737,3399767
07-12 20:08:12,21.320,9.645,68.401,0,0.635,1982599168,29863702528,41414656,1675321344,0,0,7332260,2958985
07-12 20:08:13,29.648,15.075,54.523,0,0.754,1984409600,29861892096,41414656,1675321344,0,4096,10870217,4474350
07-12 20:08:14,27.621,13.299,58.568,0,0.512,1985044480,29861257216,41414656,1675321344,0,4096,10107962,4081420
07-12 20:08:15,14.987,7.809,76.952,0,0.252,1986371584,29859930112,41414656,1675321344,0,0,4791537,1926590
07-12 20:08:16,13.771,5.792,80.180,0,0.257,1988288512,29858004992,41422848,1675321344,0,53248,4721184,1904659
07-12 20:08:17,25.674,11.553,62.388,0,0.385,1991233536,29855055872,41422848,1675325440,0,0,8927339,3626241
07-12 20:08:18,27.532,11.948,60,0,0.519,2001719296,29844570112,41422848,1675325440,0,0,10258872,4084682
07-12 20:08:19,26.020,11.862,61.480,0,0.638,2001383424,29844905984,41422848,1675325440,0,0,9270330,3693923
07-12 20:08:20,24.081,12.294,62.738,0,0.887,2001285120,29845004288,41422848,1675325440,0,0,8556142,3436892
07-12 20:08:21,19.048,7.769,72.807,0,0.376,2001514496,29844766720,41431040,1675325440,0,16384,5742540,2284539
07-12 20:08:22,28.755,13.479,57.125,0,0.642,2000990208,29845291008,41431040,1675325440,0,0,10940733,4477160
07-12 20:08:23,29.899,14.573,54.271,0,1.256,2001022976,29845258240,41431040,1675325440,0,0,10654885,4284403
07-12 20:08:24,20.392,10.719,66.797,0.915,1.176,2001899520,29844381696,41431040,1675325440,0,753664,7097015,2809698
07-12 20:08:25,30.955,15.414,52.229,0,1.401,2003685376,29842595840,41431040,1675325440,0,0,10083898,4078501
07-12 20:08:26,43.380,15.259,39.723,0,1.639,2012741632,29833535488,41431040,1675329536,0,0,11155358,4416298
07-12 20:08:27,23.037,10.940,64.865,0,1.158,2013163520,29833109504,41435136,1675329536,0,45056,7778015,3099857
07-12 20:08:28,30.110,15.300,53.611,0,0.979,2012950528,29833322496,41435136,1675329536,0,0,9960466,3981308
07-12 20:08:29,32.234,15.482,51.142,0,1.142,2014470144,29831802880,41435136,1675329536,0,135168,10891811,4302767
07-12 20:08:30,33.789,15.652,49.068,0,1.491,2014502912,29831770112,41435136,1675329536,0,0,11100635,4389991
07-12 20:08:31,31.321,14.340,52.830,0,1.509,2014404608,29831868416,41435136,1675329536,0,0,10500957,4185424
07-12 20:08:32,32.668,15.711,50.374,0.125,1.122,2015203328,29831028736,41443328,1675325440,0,40960,11428555,4598263
07-12 20:08:33,32.193,16.477,50.317,0,1.014,2014781440,29831446528,41443328,1675329536,0,0,12114841,4820492
07-12 20:08:34,29.367,15.570,54.557,0,0.506,2015289344,29830938624,41443328,1675329536,0,0,11582774,4697950
07-12 20:08:35,11.519,4.304,84.051,0,0.127,2014863360,29831364608,41443328,1675329536,0,0,3547821,1421972
07-12 20:08:36,27.529,12.676,59.283,0,0.512,2015084544,29831143424,41443328,1675329536,0,0,10239374,4088866
07-12 20:08:37,24.873,10.660,63.832,0,0.635,2014953472,29831274496,41443328,1675329536,0,0,8401222,3312433
07-12 20:08:38,22.687,10.139,66.540,0,0.634,2014937088,29831282688,41451520,1675329536,0,20480,7841279,3099910
07-12 20:08:39,21.012,8.690,69.909,0,0.389,2014412800,29831806976,41451520,1675329536,0,0,7427823,2959311
07-12 20:08:40,29.668,14.066,55.754,0,0.512,2014871552,29831348224,41451520,1675329536,0,0,11448142,4538877
07-12 20:08:41,24.453,14.028,61.133,0,0.386,2014625792,29831593984,41451520,1675329536,0,0,9721674,3923360
07-12 20:08:42,27.969,13.027,58.621,0,0.383,2014625792,29831593984,41451520,1675329536,0,0,10467097,4160585
07-12 20:08:43,27.006,13.376,59.108,0,0.510,2014814208,29831397376,41459712,1675329536,0,16384,9943324,3992898
07-12 20:08:44,27.191,13.789,58.376,0.129,0.515,2014527488,29831684096,41459712,1675329536,0,155648,10553925,4235650
07-12 20:08:45,23.452,11.199,64.954,0,0.395,2014691328,29831520256,41459712,1675329536,0,0,9212122,3694112
07-12 20:08:46,19.255,8.344,72.144,0,0.257,2014691328,29831520256,41459712,1675329536,0,0,6917084,2733297
07-12 20:08:47,28.222,14.562,56.572,0,0.644,2014085120,29832126464,41459712,1675329536,0,0,10930448,4356379
07-12 20:08:48,29.987,15.261,53.949,0,0.803,2014420992,29831790592,41459712,1675329536,0,0,12383153,5027629
07-12 20:08:49,33.206,16.158,50,0,0.636,2015723520,29830479872,41467904,1675329536,0,20480,12716080,5136546
07-12 20:08:50,30.508,16.037,52.673,0,0.782,2015690752,29830512640,41467904,1675329536,0,0,12271851,4982394
07-12 20:08:51,27.564,13.205,58.590,0,0.641,2016100352,29830103040,41467904,1675329536,0,0,10200338,4084188
07-12 20:08:52,31.034,14.049,54.151,0,0.766,2016043008,29830160384,41467904,1675329536,0,0,11201380,4559173
