"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-worker-3",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloadb-512-20201208-140917-3.csv 1 400",,,,"Date:","08 Dec 2020 14:09:24 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 14:09:24,6.445,1.713,91.737,0.085,0.020,14018052096,17657106432,114905088,1748480000,24926.006,515619.270,0,0
08-12 14:09:25,0.499,0.499,99.002,0,0,14017912832,17657241600,114905088,1748484096,0,0,33589,32463
08-12 14:09:26,0.251,0.251,99.497,0,0,14017748992,17657405440,114905088,1748484096,0,40960,5746,6273
08-12 14:09:27,0.754,0.503,98.744,0,0,14017847296,17657307136,114905088,1748484096,0,0,15959,16308
08-12 14:09:28,0.251,0.251,99.497,0,0,14016524288,17658630144,114905088,1748484096,0,0,10556,10595
08-12 14:09:29,14.750,1.250,84,0,0,14016585728,17658564608,114905088,1748488192,0,0,8657,10468
08-12 14:09:30,41.371,4.061,54.315,0,0.254,14033100800,17641914368,114905088,1748623360,0,28672,121327,251842
08-12 14:09:31,45.545,6.931,47.525,0,0,14055845888,17619169280,114905088,1748623360,0,9568256,491375,484770
08-12 14:09:32,45.250,6,48.750,0,0,14067515392,17607495680,114905088,1748627456,0,0,738480,725298
08-12 14:09:33,44.975,6.281,48.744,0,0,14069796864,17605206016,114905088,1748635648,0,0,709118,708725
08-12 14:09:34,45,6.250,48.750,0,0,14066925568,17608077312,114905088,1748635648,0,0,688109,664297
08-12 14:09:35,46.552,5.911,47.537,0,0,14066159616,17608847360,114905088,1748631552,0,147456,754094,731994
08-12 14:09:36,45.885,5.985,47.880,0,0.249,14066929664,17608011776,114905088,1748697088,0,24576,883900,875476
08-12 14:09:37,44.162,6.853,48.985,0,0,14062829568,17612107776,114905088,1748701184,0,53248,816505,802324
08-12 14:09:38,45.063,6.835,48.101,0,0,14060277760,17614659584,114905088,1748701184,0,0,790116,812632
08-12 14:09:39,44.444,6.818,48.737,0,0,14060695552,17613979648,114905088,1748963328,0,0,825864,809819
08-12 14:09:40,45.522,6.468,48.010,0,0,14067122176,17607553024,114905088,1748963328,0,36864,891859,884696
08-12 14:09:41,43.609,7.769,48.371,0,0.251,14075346944,17599324160,114905088,1748963328,0,0,910275,916004
08-12 14:09:42,44.584,6.801,48.615,0,0,14072729600,17601810432,114905088,1749094400,0,0,900651,891511
08-12 14:09:43,45.202,6.061,48.737,0,0,14070243328,17604165632,114905088,1749225472,0,0,903790,908018
08-12 14:09:44,45.250,6.500,48.250,0,0,14072180736,17602228224,114905088,1749225472,0,0,915922,924147
08-12 14:09:45,44.776,6.965,48.259,0,0,14074908672,17599840256,114905088,1748885504,0,253952,897398,927350
08-12 14:09:46,44.750,7.250,47.750,0,0.250,14072995840,17601748992,114905088,1748885504,0,20480,892704,895833
08-12 14:09:47,45.113,6.516,48.371,0,0,14077353984,17597390848,114905088,1748885504,0,0,897239,924329
08-12 14:09:48,44.643,6.633,48.724,0,0,14087770112,17586843648,114905088,1749016576,0,0,901603,913357
08-12 14:09:49,43.878,7.143,48.980,0,0,14088089600,17586524160,114905088,1749016576,0,0,909585,930743
08-12 14:09:50,43.367,7.398,48.980,0,0.255,14085283840,17589194752,114905088,1749147648,0,20480,935377,930449
08-12 14:09:51,43.257,7.379,49.364,0,0,14080790528,17593552896,114905088,1749282816,0,0,889958,905100
08-12 14:09:52,43.216,8.794,47.990,0,0,14082629632,17591713792,114905088,1749282816,0,438272,951033,968419
08-12 14:09:53,44.359,6.410,49.231,0,0,14084206592,17590005760,114905088,1749413888,0,0,996855,1012116
08-12 14:09:54,40.838,9.162,49.738,0,0.262,14078693376,17595518976,114905088,1749413888,0,4096,1007909,1044191
08-12 14:09:55,39.947,8.730,51.323,0,0,14079344640,17595326464,114905088,1748955136,0,294912,910927,954103
08-12 14:09:56,42.487,6.477,51.036,0,0,14084407296,17590132736,114905088,1749086208,0,20480,941577,985176
08-12 14:09:57,42.386,9.137,48.223,0,0.254,14087663616,17586876416,114905088,1749086208,0,143360,965549,984092
08-12 14:09:58,40.420,8.924,50.656,0,0,14082981888,17591554048,114905088,1749090304,0,0,997603,1048333
08-12 14:09:59,41.927,8.073,50,0,0,14083039232,17591230464,114905088,1749356544,0,0,985033,1011485
08-12 14:10:00,43.890,7.731,48.130,0.249,0,14087774208,17586491392,114905088,1749360640,0,45056,1010046,1036325
