"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-40-workloadb-512-20201208-141432-0.csv 1 400",,,,"Date:","08 Dec 2020 14:14:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 14:14:38,9.935,2.502,87.436,0.100,0.026,14248644608,17253171200,125349888,1899925504,25255.696,524420.928,0,0
08-12 14:14:39,1.500,0.250,98.250,0,0,14248263680,17253548032,125349888,1899937792,0,0,6280,5237
08-12 14:14:40,1.008,0.504,98.489,0,0,14248259584,17253548032,125349888,1899941888,0,90112,38220,40580
08-12 14:14:41,1.750,0.250,98,0,0,14248259584,17253548032,125349888,1899941888,0,77824,11946,12326
08-12 14:14:42,4.489,0.499,95.012,0,0,14247964672,17253842944,125349888,1899941888,0,0,32917,284960
08-12 14:14:43,15.365,0.504,83.879,0,0.252,14241472512,17259999232,125349888,1900277760,0,0,37278,354880
08-12 14:14:44,26.772,5.512,67.454,0,0.262,14244474880,17256869888,125349888,1900400640,0,32768,124330,280298
08-12 14:14:45,34.605,11.989,52.861,0,0.545,14245302272,17256161280,125349888,1900281856,0,237568,1247478,1550580
08-12 14:14:46,37.629,12.887,49.227,0,0.258,14246322176,17254998016,125349888,1900417024,0,0,2075408,2568200
08-12 14:14:47,38.259,11.873,49.868,0,0,14241550336,17259474944,125349888,1900711936,0,0,2040149,2508701
08-12 14:14:48,37.632,12.895,49.211,0,0.263,14237114368,17263898624,125349888,1900724224,0,0,2145891,2633574
08-12 14:14:49,39.276,12.661,48.062,0,0,14243749888,17257095168,125349888,1900888064,0,4096,2213254,2661595
08-12 14:14:50,39.276,11.886,48.579,0.258,0,14245249024,17255604224,125349888,1900879872,0,339968,2330405,2815496
08-12 14:14:51,38.642,11.749,49.347,0,0.261,14248562688,17252139008,125349888,1901031424,0,249856,2116237,2665352
08-12 14:14:52,39.589,12.082,48.329,0,0,14249967616,17250582528,125349888,1901178880,0,0,2154862,2640161
08-12 14:14:53,39.894,9.840,50,0,0.266,14250999808,17249533952,125349888,1901195264,0,0,2352247,2897612
08-12 14:14:54,40.206,10.825,48.969,0,0,14250807296,17249693696,125349888,1901228032,0,65536,2287797,2643870
08-12 14:14:55,38.522,11.609,49.868,0,0,14251192320,17249230848,125349888,1901301760,0,237568,2377999,3041212
08-12 14:14:56,40.051,11.990,47.704,0,0.255,14252298240,17248104448,125349888,1901318144,0,8192,2325522,3000481
08-12 14:14:57,41.310,10.579,48.111,0,0,14253633536,17246617600,125349888,1901469696,0,0,2378275,2864871
08-12 14:14:58,40.561,11.480,47.959,0,0,14254350336,17245618176,125349888,1901748224,0,0,2325236,2964165
08-12 14:14:59,39.637,11.399,48.705,0,0.259,14254456832,17245487104,125349888,1901764608,0,0,2312171,2917755
08-12 14:15:00,40.909,11.111,47.980,0,0,14258413568,17241751552,125349888,1901543424,0,561152,2509531,3035553
08-12 14:15:01,39.323,11.458,49.219,0,0,14260813824,17239003136,125349888,1901887488,0,0,2252033,2823043
08-12 14:15:02,40,11.282,48.462,0,0.256,14263099392,17236713472,125349888,1901891584,0,0,2326019,2929268
08-12 14:15:03,38.107,13.811,48.082,0,0,14263836672,17235808256,125349888,1902055424,0,0,2382627,2954390
08-12 14:15:04,41.361,9.162,49.215,0,0.262,14260756480,17238679552,125349888,1902260224,0,69632,2158666,2358811
08-12 14:15:05,40.806,12.846,46.348,0,0,14260629504,17238814720,125349888,1902252032,0,266240,1532601,1769955
08-12 14:15:06,41.071,10.204,47.704,0.765,0.255,14262370304,17237073920,125349888,1902252032,0,1077248,1792516,2332660
08-12 14:15:07,37.731,12.665,49.604,0,0,14262837248,17236389888,125349888,1902460928,0,0,2603862,3008569
08-12 14:15:08,38.120,12.794,49.086,0,0,14262603776,17236328448,125349888,1902751744,0,0,2345033,2857035
