"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-80-workloadb-1024-20201208-160349-client.csv 1 400",,,,"Date:","08 Dec 2020 16:04:01 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
08-12 16:04:01,2.840,1.548,95.534,0.008,0.069,414302208,31424131072,45215744,1678544896,29860.351,116914.196,0,0
08-12 16:04:02,2.256,0.627,96.366,0.752,0,414765056,31423307776,45322240,1678741504,0,1040384,439455,421264
08-12 16:04:03,9.722,6.944,82.955,0.126,0.253,448045056,31389794304,45346816,1678794752,0,573440,423464,369337
08-12 16:04:04,20,8.500,71.250,0,0.250,559497216,31277604864,45359104,1678897152,0,192512,7529,13922
08-12 16:04:05,32.544,3.616,63.716,0,0.125,705318912,31131774976,45359104,1678897152,0,0,1149366,81976
08-12 16:04:06,30.483,8.674,60.719,0,0.124,1281277952,30555611136,45359104,1678970880,0,0,229913,280632
08-12 16:04:07,88.579,4.949,6.345,0,0.127,1500983296,30335766528,45359104,1679077376,0,0,3580213,3460146
08-12 16:04:08,92.821,3.401,3.526,0,0.252,1742372864,30094376960,45359104,1679077376,0,0,14588751,3065882
08-12 16:04:09,80.206,10.540,8.869,0,0.386,1788305408,30048436224,45367296,1679077376,0,77824,2300885,2167290
08-12 16:04:10,72.739,16.688,10.191,0,0.382,1833836544,30002905088,45367296,1679077376,0,0,3077477,2993063
08-12 16:04:11,70.791,18.367,10.204,0,0.638,1969766400,29866975232,45367296,1679077376,0,0,4375446,3330576
08-12 16:04:12,69.347,20.352,9.673,0,0.628,2066452480,29770289152,45367296,1679077376,0,0,5041663,3824826
08-12 16:04:13,55.442,23.816,19.846,0,0.896,2110459904,29726281728,45367296,1679077376,0,0,6048102,4295995
08-12 16:04:14,52.523,24.838,21.992,0,0.647,2150727680,29686013952,45367296,1679077376,0,0,6846371,4607904
08-12 16:04:15,49.685,24.968,24.338,0.126,0.883,2193465344,29643268096,45375488,1679077376,0,16384,6811494,4555858
08-12 16:04:16,43.980,24.208,31.052,0,0.760,2196549632,29640183808,45375488,1679077376,0,0,6779565,4390637
08-12 16:04:17,47.342,28.101,23.797,0,0.759,2276143104,29560590336,45375488,1679077376,0,4096,8003693,5193520
08-12 16:04:18,49.172,24.841,25.223,0,0.764,2283028480,29553704960,45375488,1679077376,0,0,8231706,5060474
08-12 16:04:19,52.842,26.227,20.026,0,0.904,2285903872,29550829568,45375488,1679077376,0,0,8401478,5277843
08-12 16:04:20,48.734,25.696,24.810,0,0.759,2361647104,29475086336,45375488,1679077376,0,0,7936256,4881685
08-12 16:04:21,45,25.897,28.333,0,0.769,2478850048,29357875200,45379584,1679077376,0,45056,7594286,4631548
08-12 16:04:22,46.532,26.482,26.230,0,0.757,2606764032,29229961216,45379584,1679077376,0,0,8220381,4900767
08-12 16:04:23,46.044,26.719,26.459,0,0.778,2736586752,29100138496,45379584,1679077376,0,0,8480975,5022088
08-12 16:04:24,45.455,23.816,29.962,0,0.768,2828410880,29008314368,45379584,1679077376,0,0,7440769,4337206
08-12 16:04:25,45.812,28.299,25.127,0,0.761,2843914240,28992811008,45379584,1679077376,0,0,8549256,5203430
08-12 16:04:26,41.762,24.010,33.461,0,0.766,2922049536,28914675712,45379584,1679077376,0,0,7388559,4242681
08-12 16:04:27,47.594,28.479,23.017,0,0.910,3055849472,28780871680,45383680,1679077376,0,16384,8916360,5208385
08-12 16:04:28,45.478,25.478,28.153,0,0.892,3174670336,28662050816,45383680,1679077376,0,0,8022837,4549044
08-12 16:04:29,47.423,25.644,26.160,0,0.773,3268947968,28567773184,45383680,1679077376,0,0,8545670,4961539
08-12 16:04:30,48.020,24.393,26.820,0,0.766,3269267456,28567453696,45383680,1679077376,0,0,8852095,5056412
08-12 16:04:31,49.045,24.968,25.223,0,0.764,3269480448,28567240704,45383680,1679077376,0,0,9121753,5247437
08-12 16:04:32,44.645,26.194,28.516,0,0.645,3271311360,28565409792,45383680,1679077376,0,0,8697410,4946483
08-12 16:04:33,48.325,25.129,25.387,0.258,0.902,3271192576,28565520384,45391872,1679077376,0,757760,9300269,5110158
08-12 16:04:34,51.142,27.792,20.178,0,0.888,3271651328,28565061632,45391872,1679077376,0,0,9885622,5516675
08-12 16:04:35,49.421,25.354,24.582,0,0.644,3272347648,28564361216,45391872,1679081472,0,0,9352720,5170965
08-12 16:04:36,47.970,24.873,26.269,0,0.888,3271856128,28564852736,45391872,1679081472,0,0,8685733,4824214
08-12 16:04:37,46.341,23.235,29.653,0,0.770,3272544256,28564164608,45391872,1679081472,0,0,8512234,4716745
08-12 16:04:38,42.614,22.876,33.856,0,0.654,3274428416,28562280448,45395968,1679077376,0,274432,8113093,4357393
08-12 16:04:39,48.582,25,25.644,0,0.773,3279659008,28557045760,45395968,1679081472,0,0,9610822,5234974
08-12 16:04:40,46.406,24.842,28.121,0,0.631,3299852288,28536852480,45395968,1679081472,0,0,8871848,4809956
08-12 16:04:41,43.814,24.613,30.928,0,0.644,3384954880,28451749888,45395968,1679081472,0,0,8519081,4471491
08-12 16:04:42,48.271,25.480,25.224,0,1.024,3384848384,28451856384,45395968,1679081472,0,0,9538287,5216189
08-12 16:04:43,50.893,26.658,21.556,0,0.893,3384807424,28451897344,45395968,1679081472,0,0,10266234,5567500
08-12 16:04:44,49.105,26.854,23.146,0,0.895,3384958976,28451741696,45400064,1679081472,0,16384,9861801,5292408
08-12 16:04:45,48.974,25.513,24.487,0,1.026,3384623104,28452077568,45400064,1679081472,0,0,9304476,5078670
