"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-20-workloada-256-20201207-111618-client.csv 1 400",,,,"Date:","07 Dec 2020 11:16:22 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 11:16:22,1.368,0.897,97.666,0.050,0.018,419868672,30445068288,41492480,2631557120,130337.832,767644.346,0,0
07-12 11:16:23,3.822,1.726,94.205,0.247,0,436805632,30427922432,41598976,2631581696,0,1765376,60479,47845
07-12 11:16:24,9.799,5.905,84.045,0.251,0,431931392,30432276480,41639936,2631708672,0,720896,5501,8778
07-12 11:16:25,49.421,11.583,38.867,0,0.129,639909888,30223745024,41639936,2631782400,0,0,2862392,2785308
07-12 11:16:26,80.225,17.021,2.753,0,0,1072631808,29789040640,41639936,2632007680,0,0,8114395,7854010
07-12 11:16:27,78.212,15.743,6.045,0,0,1256693760,29602512896,41639936,2632306688,0,0,8062176,7410111
07-12 11:16:28,35.970,1.360,62.670,0,0,1271734272,29586194432,41639936,2632486912,0,0,1645752,715675
07-12 11:16:29,2.256,0.627,97.118,0,0,1275510784,29582417920,41639936,2632486912,0,0,780052,334279
07-12 11:16:30,1.506,0.125,98.369,0,0,1277988864,29579931648,41648128,2632486912,0,69632,461705,196644
07-12 11:16:31,2.253,0.250,97.372,0,0.125,1281368064,29576552448,41648128,2632486912,0,0,726290,308249
07-12 11:16:32,0.877,0.251,98.872,0,0,1284083712,29573836800,41648128,2632486912,0,0,321639,137457
07-12 11:16:33,5.125,0.500,94.375,0,0,1303568384,29554352128,41648128,2632486912,0,20480,744365,333512
07-12 11:16:34,2.138,0.252,97.610,0,0,1312497664,29545422848,41648128,2632486912,0,0,717507,314417
07-12 11:16:35,3.270,0.377,96.352,0,0,1319501824,29538418688,41648128,2632486912,0,0,716871,327297
07-12 11:16:36,15.442,0.249,84.184,0.125,0,1327136768,29530779648,41652224,2632486912,0,16384,1323656,544708
07-12 11:16:37,17.993,0.367,81.518,0,0.122,1339752448,29518163968,41652224,2632486912,0,0,1170481,499654
07-12 11:16:38,3.266,0.503,96.231,0,0,1343922176,29513994240,41652224,2632486912,0,0,617037,278002
07-12 11:16:39,3.350,0.496,96.154,0,0,1347461120,29510455296,41652224,2632486912,0,0,712185,292225
07-12 11:16:40,0.757,0.126,99.117,0,0,1342984192,29514932224,41652224,2632486912,0,0,524530,237585
07-12 11:16:41,0.883,0.378,98.739,0,0,1344655360,29513261056,41652224,2632486912,0,0,721731,309701
07-12 11:16:42,3.383,0.125,96.366,0,0.125,1347227648,29510680576,41660416,2632486912,0,16384,621538,261698
07-12 11:16:43,0.756,0.252,98.992,0,0,1349324800,29508583424,41660416,2632486912,0,0,597862,253433
07-12 11:16:44,1.508,0.503,97.990,0,0,1352679424,29505228800,41660416,2632486912,0,0,707396,301492
07-12 11:16:45,4.397,0.628,94.975,0,0,1359581184,29498327040,41660416,2632486912,0,0,776392,344412
07-12 11:16:46,2.372,0.375,97.253,0,0,1363775488,29494132736,41660416,2632486912,0,0,940420,415893
07-12 11:16:47,0.755,0.126,98.994,0,0.126,1366355968,29491552256,41660416,2632486912,0,0,557902,255975
07-12 11:16:48,1.009,0.252,98.613,0.126,0,1369292800,29488607232,41668608,2632486912,0,20480,452645,212560
07-12 11:16:49,1.887,0.252,97.862,0,0,1372905472,29484994560,41668608,2632486912,0,0,846971,356441
